relevance,doc_type_ai,doc_type_pages,page_count,doi,plant_host,fungal_taxon,tissue,presence_absence,primary_guild,interaction_notes,biome,country,data_source,source_file
Relevant,Abstract,Abstract,0,10.1111/j.1365-3059.1972.tb01745.x,Aphis gossypii,Cephalosporium aphidicola,Implicitly plant surface,Present,Pathogenic (to aphids),"""Inhibition of fungal development observed in vitro; not on individuals feeding on treated cucumber plants""",Implicitly greenhouse or controlled environment,Not specified,Abstract-CSV,DOI_10.1111_j.1365-3059.1972.tb01745.x
Relevant,Abstract,Abstract,0,10.1002/ps.2780050302,Not_Mentioned,Not_Mentioned,Protoplast,Present,Pathogenic,"""Study investigates the effects of tridemorph on fungi; focusing on mycelial growth inhibition and potential protein synthesis interference""",Not_Mentioned,Not_Mentioned,Abstract-CSV,DOI_10.1002_ps.2780050302
Relevant,Abstract,Abstract,0,10.1111/j.1365-2338.1973.tb02093.x,Phaseolus vulgaris (beans),Benomyl,seed,Present,Systemic Fungicide,Seed treatment results in important passage of Benomyl through the teguments.,,,Abstract-CSV,DOI_10.1111_j.1365-2338.1973.tb02093.x
Relevant,Full-Text,Full-Text,13,10.1038/231332a0,Acer pseudoplatanus,Aureobasidium pullulans,leaf,Present,Unknown,Isolated from surface-sterilized leaves,Not specified,Not specified,Full-Text,DOI_10.1038_231332a0
Relevant,Full-Text,Full-Text,13,10.1038/231332a0,Acer pseudoplatanus,Cladosporium herbarum,leaf,Present,Unknown,Isolated from surface-sterilized leaves,Not specified,Not specified,Full-Text,DOI_10.1038_231332a0
Relevant,Full-Text,Full-Text,13,10.1038/231332a0,Acer pseudoplatanus,Epicoccum nigrum,leaf,Present,Unknown,Isolated from surface-sterilized leaves,Not specified,Not specified,Full-Text,DOI_10.1038_231332a0
Relevant,Abstract,Abstract,0,10.1017/S0014479700005330,Cucumis sativus (Cucumber),Oidium sp.,Surface of cucumber,Present,Pathogenic,Caused powdery mildew disease on cucumbers,,,Abstract-CSV,DOI_10.1017_S0014479700005330
Not Relevant,Abstract,Abstract,0,10.1021/jf60188a048,No Plant Host Mentioned,No Fungus Mentioned,,Present,Not Applicable,,,,Abstract-CSV,DOI_10.1021_jf60188a048
Relevant,Abstract,Abstract,0,10.1111/j.1365-2338.1973.tb02094.x,Sphaerotheca fuliginea (Schlecht.) Salm.,Rhizoctonia solani Kühn.,Not specified,Present,Pathogenic,Isolated from plant in field trials,Agricultural,Netherlands,Abstract-CSV,DOI_10.1111_j.1365-2338.1973.tb02094.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1973.tb07301.x,Malus domestica (Apple,Podosphaera leucotricha (Powdery mildew),Not specified,Present,Pathogenic,Fungus causing powdery mildew on apple cultivars,Not specified,Not specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1973.tb07301.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1973.tb07301.x,specifically Cox's Orange Pippin,Podosphaera leucotricha (Powdery mildew),Not specified,Present,Pathogenic,Fungus causing powdery mildew on apple cultivars,Not specified,Not specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1973.tb07301.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1973.tb07301.x,Golden Delicious and Jonathan),Podosphaera leucotricha (Powdery mildew),Not specified,Present,Pathogenic,Fungus causing powdery mildew on apple cultivars,Not specified,Not specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1973.tb07301.x
Relevant,Abstract,Abstract,0,10.1016/0048-4059(75)90088-0,Trifolium (Clover),Vesicular-arbuscular mycorrhizal fungi,Root organ cultures,Present,Mycorrhizal,Infections formed in root organ cultures grown on a modified White's agar medium and liquid culture. Pre-germinated spores were used as inoculum.,,,Abstract-CSV,DOI_10.1016_0048-4059(75)90088-0
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1975.tb01531.x,Rosa spp.,Oidium rosae (Powdery Mildew),Leaf,Present,Pathogenic,"""The text describes the presence of Oidium rosae (Powdery Mildew) on Rosa spp. as a pathogen; but no specific extraction method or interaction notes are provided.""",,,Abstract-CSV,DOI_10.1111_j.1744-7348.1975.tb01531.x
Relevant,Abstract,Abstract,0,10.1080/00288233.1975.10421059,Grasses,['Acaulospora laevis',Roots,Present,Mycorrhizal,Soil-borne spores and vegetative hyphae identification,Not specified,New Zealand,Abstract-CSV,DOI_10.1080_00288233.1975.10421059
Relevant,Abstract,Abstract,0,10.1080/00288233.1975.10421059,Grasses,'Glomus fasciculatus',Roots,Present,Mycorrhizal,Soil-borne spores and vegetative hyphae identification,Not specified,New Zealand,Abstract-CSV,DOI_10.1080_00288233.1975.10421059
Relevant,Abstract,Abstract,0,10.1080/00288233.1975.10421059,Grasses,'Rhizophagus tenuis'],Roots,Present,Mycorrhizal,Soil-borne spores and vegetative hyphae identification,Not specified,New Zealand,Abstract-CSV,DOI_10.1080_00288233.1975.10421059
Relevant,Abstract,Abstract,0,10.1080/00288233.1975.10421059,Legumes,['Acaulospora laevis',Roots,Present,Mycorrhizal,Soil-borne spores and vegetative hyphae identification,Not specified,New Zealand,Abstract-CSV,DOI_10.1080_00288233.1975.10421059
Relevant,Abstract,Abstract,0,10.1080/00288233.1975.10421059,Legumes,'Glomus fasciculatus',Roots,Present,Mycorrhizal,Soil-borne spores and vegetative hyphae identification,Not specified,New Zealand,Abstract-CSV,DOI_10.1080_00288233.1975.10421059
Relevant,Abstract,Abstract,0,10.1080/00288233.1975.10421059,Legumes,'Rhizophagus tenuis'],Roots,Present,Mycorrhizal,Soil-borne spores and vegetative hyphae identification,Not specified,New Zealand,Abstract-CSV,DOI_10.1080_00288233.1975.10421059
Relevant,Abstract,Abstract,0,10.1016/0013-9327(75)90069-5,Not specified,Not specified,Not specified,Present,Unknown,"""Mention of the presence of disease; but no specific fungal species is identified.""",Agricultural regions of New Jersey,United States,Abstract-CSV,DOI_10.1016_0013-9327(75)90069-5
Relevant,Abstract,Abstract,0,10.1080/09670877209413455,Not specified in the text,Powdery mildews,"""Aerial tissues",leaves,"roots""","Present; Pathogenic; ""The compounds are used to control diseases; do not appear to depend on modifying the host plant""",,,Abstract-CSV,DOI_10.1080_09670877209413455
Relevant,Abstract,Abstract,0,10.1111/j.1469-8137.1974.tb02142.x,Grasses and nearly all the dicotyledonous plants (not specified in full),Vesicular-arbuscular mycorrhizal fungi,Root,Present,Mycorrhizal,"""Infecting roots; mixed infections present in some plants""",Coal waste tips in Scotland,Scotland,Abstract-CSV,DOI_10.1111_j.1469-8137.1974.tb02142.x
Relevant,Abstract,Abstract,0,10.1111/j.1469-8137.1974.tb02142.x,Grasses and nearly all the dicotyledonous plants (not specified in full),Endogone spp.,Root,Present,Mycorrhizal,"""Infecting roots; mixed infections present in some plants""",Coal waste tips in Scotland,Scotland,Abstract-CSV,DOI_10.1111_j.1469-8137.1974.tb02142.x
Relevant,Abstract,Abstract,0,10.1007/BF00032749,Brassica oleracea var. botrytis (Cauliflower),Unspecified,Curd portion,Present,Unknown,"""Not directly stated; but the text implies a potential interaction due to grafting.""",Agricultural,Unspecified,Abstract-CSV,DOI_10.1007_BF00032749
Relevant,Abstract,Abstract,0,10.1080/00022470.1972.10469707,Phaseolus vulgaris L (Pinto beans),Not mentioned,leaf,Present,Unknown,"""Experiment involving chemical protectants to reduce ozone injury; not natural plant-fungus interaction""",Not specified,Not specified,Abstract-CSV,DOI_10.1080_00022470.1972.10469707
Relevant,Abstract,Abstract,0,10.1080/0028825X.1977.10432553,Leptospermum scoparium,Vesicular-arbuscular mycorrhizas,shoot,Present,Endophytic,"""Infected the host plant; stimulated P uptake but did not always supply the full P requirements of the host. Presence remained even when high shoot P concentrations were achieved by applying P.""; ","""Te Anau","New Zealand""",Abstract-CSV,DOI_10.1080_0028825X.1977.10432553
Not Relevant,Abstract,Abstract,0,10.1111/j.1365-2338.1973.tb02092.x,,,,Present,,No specific plant-fungus interaction described,,,Abstract-CSV,DOI_10.1111_j.1365-2338.1973.tb02092.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1972.tb04709.x,Triticum aestivum (Wheat),Erysiphe graminis,root,Present,Pathogenic,"""Controlled by the compound N?(2; 2; 2?trichloro?1?methoxyethyl)?formamide when applied to the roots in sand.""",Not-specified,Not-specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1972.tb04709.x
Relevant,Abstract,Abstract,0,10.1139/m76-009,Populus x euramericana (Yellow Poplar),Glomeromycota sp. (Vesicular-arbuscular mycorrhizae),Root,Present,Mycorrhizal,Involved in arbuscule deterioration and nutrient release,Not provided,Not provided,Abstract-CSV,DOI_10.1139_m76-009
Relevant,Abstract,Full-Text,7,10.1626/jcs.44.178,Arabidopsis thaliana (Thale cress),Fusarium oxysporum f. sp. thaliana,root,Present,Pathogenic,Isolated from root tissues of Arabidopsis thaliana.,,,Full-Text,DOI_10.1626_jcs.44.178
Relevant,Abstract,Abstract,0,10.1002/ps.2780070103,Trifolium repens (White Clover),Rhizobium trifolii,Root nodules,Present,Mutualistic,"""Symbiotic nitrogen fixation affected by some fungicides (thiram; oxycarboxin; Ethylan CP); but unchanged by others.""",Not Specified,Not Specified,Abstract-CSV,DOI_10.1002_ps.2780070103
Relevant,Abstract,Abstract,0,10.1071/BT9610057,Pernettya macrostigma (Epacridaceae),Unspecified Ericales endophyte,Root,Present,Endophytic,Isolated from the host and successfully back inoculated under controlled conditions.,Not Specified,New Zealand,Abstract-CSV,DOI_10.1071_BT9610057
Relevant,Abstract,Abstract,0,10.1002/ps.2780020505,Cucumis sativus (Cucumber),Sphaerotheca fuliginea (Cucumber Powdery Mildew),Leaf,Present,Pathogenic,Isolated as a pathogen causing cucumber powdery mildew,Greenhouse,Not-Provided,Abstract-CSV,DOI_10.1002_ps.2780020505
Relevant,Book Chapter,Abstract,0,10.1111/j.1439-0434.1965.tb04085.x,Unknown,Genus Alternaria,,Present,Unknown,Book chapter describing various fungi species,,,Abstract-CSV,DOI_10.1111_j.1439-0434.1965.tb04085.x
Relevant,Abstract,Abstract,0,10.1038/165532a0,Avena spp. (Oats),Helminthosporium aven?,Seed,Present,Pathogenic,Seed-borne phase of leaf stripe disease,Not specified,Not specified,Abstract-CSV,DOI_10.1038_165532a0
Relevant,Abstract,Abstract,0,10.1017/S0021859600064601,Hordeum vulgare (winter barley variety Pella),Cochliobolus sativus (causing eyespot disease),Not specified,Present,Pathogenic,"""Disease-causing organism; not a direct plant-fungus interaction.""",Not specified,Not specified,Abstract-CSV,DOI_10.1017_S0021859600064601
Relevant,Abstract,Abstract,0,10.1002/ps.2780020504,Malus domestica (Apple),Venturia inaequalis,leaf,Present,Pathogenic,Caused apple scab,,,Abstract-CSV,DOI_10.1002_ps.2780020504
Relevant,Abstract,Abstract,0,10.1007/BF02052803,Not Specified,Not Specified (Eight species mentioned in the text),Seeds,Present,Unknown,"""Isolated from plant material coming in from Afghanistan and intercepted at Quarantine Station; Jamrud""",Not Specified (Quarantine location: Jamrud),Afghanistan,Abstract-CSV,DOI_10.1007_BF02052803
Relevant,Abstract,Abstract,0,10.1002/jobm.19640040210,Mycotrophic plants,Unspecified endophyte,Underground or creeping organs,Present,Endophytic,"""Lives with underground or creeping plant organs. Possible mycorrhizae; mycorrhizomes and mycothalli.""",,,Abstract-CSV,DOI_10.1002_jobm.19640040210
Relevant,Abstract,Abstract,0,10.1111/j.1469-8137.1969.tb06492.x,Orchid species,Orchid endophyte fungi,"""protocorms","roots (implied)""",Present,Mutualistic; Utilizes cellulose as a carbon source for protocorm growth,Not specified,Not specified,Abstract-CSV,DOI_10.1111_j.1469-8137.1969.tb06492.x
Relevant,Abstract,Abstract,0,10.1038/165937c0,Ulmus sp. (Elm),Ophiostoma novo-ulmi,Vascular,Present,Pathogenic,,Not specified,Not specified,Abstract-CSV,DOI_10.1038_165937c0
Relevant,Abstract,Abstract,0,10.1080/00288233.1958.10431534,Lolium perenne,Endophytic fungi of New Zealand grasses (not specified in text),Not specified,Present,Endophytic,Isolated from perennial-ryegrass,Not specified,New Zealand,Abstract-CSV,DOI_10.1080_00288233.1958.10431534
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1948.tb07387.x,Linum usitatissimum (Flax),[{'scientific_name': 'Colletotrichum linicola',,Present,Pathogenic,Seed-borne parasites,Not specified,Not specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1948.tb07387.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1948.tb07387.x,Linum usitatissimum (Flax),'tissue': 'Seed'},,Present,Pathogenic,Seed-borne parasites,Not specified,Not specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1948.tb07387.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1948.tb07387.x,Linum usitatissimum (Flax),{'scientific_name': 'Polyspora Lini',,Present,Pathogenic,Seed-borne parasites,Not specified,Not specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1948.tb07387.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1948.tb07387.x,Linum usitatissimum (Flax),'tissue': 'Seed'},,Present,Pathogenic,Seed-borne parasites,Not specified,Not specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1948.tb07387.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1948.tb07387.x,Linum usitatissimum (Flax),{'scientific_name': 'Botrytis cinerea',,Present,Pathogenic,Seed-borne parasites,Not specified,Not specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1948.tb07387.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1948.tb07387.x,Linum usitatissimum (Flax),'tissue': 'Seed'},,Present,Pathogenic,Seed-borne parasites,Not specified,Not specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1948.tb07387.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1948.tb07387.x,Linum usitatissimum (Flax),{'scientific_name': 'Phoma sp.',,Present,Pathogenic,Seed-borne parasites,Not specified,Not specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1948.tb07387.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1948.tb07387.x,Linum usitatissimum (Flax),'tissue': 'Seed'}],,Present,Pathogenic,Seed-borne parasites,Not specified,Not specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1948.tb07387.x
Relevant,Abstract,Abstract,0,10.1093/oxfordjournals.aob.a083369,Cirsium arvense (Creeping Thistle),Puccinia suaveolens,root,Present,Pathogenic,"""Isolated uredospores initially produce pustules; mycelium grows systemically into roots; and produces spermogonia.""",,,Abstract-CSV,DOI_10.1093_oxfordjournals.aob.a083369
Not Relevant,Abstract,Abstract,0,10.1007/BF02023673,,,,Present,,No fungal interaction mentioned in the text.,,,Abstract-CSV,DOI_10.1007_BF02023673
Relevant,Abstract,Abstract,0,10.1080/00378941.1968.10838593,Cryptogamic organisms,Seed borne fungi,Seeds,Present,Pathogenic,"""Isolated from seeds; presence can be superficial or in the testa or seed embryo. Specific methods are required for detection due to organisms' susceptibility toward environment factors.""; Agronomical; Not specified; Abstract-CSV; DOI_10.1080_00378941.1968.10838593 Relelevant; Abstract; Abstract; 0; 10.1007/BF01976649; Not specified in text; Not specified in text; Not specified in text; Present; Unknown; ""Discusses potential fungicides that may interact with plants and fungi; but no specific plant-fungus interactions are described.""",,Netherlands,Abstract-CSV,DOI_10.1007_BF01976649
Relevant,Abstract,Abstract,0,10.1007/BF01995923,Apple,Powdery Mildew (species not specified),Leaves,Present,Pathogenic,Pesticidal activity observed in laboratory and greenhouse tests,,,Abstract-CSV,DOI_10.1007_BF01995923
Relevant,Abstract,Abstract,0,10.1007/BF01995923,Cucumber,Powdery Mildew (species not specified),Leaves,Present,Pathogenic,Pesticidal activity observed in laboratory and greenhouse tests,,,Abstract-CSV,DOI_10.1007_BF01995923
Relevant,Abstract,Abstract,0,10.1007/BF01995923,Barley,Powdery Mildew (species not specified),Leaves,Present,Pathogenic,Pesticidal activity observed in laboratory and greenhouse tests,,,Abstract-CSV,DOI_10.1007_BF01995923
Relevant,Abstract,Abstract,0,10.1007/BF01372858,Eleusine coracana Gaertn.,Unknown (Mentioned as part of the rhizosphere microflora,Rhizosphere,Present,"""Saprotrophic or Unknown (Role is not explicitly stated as pathogenic or symbiotic","but they are part of the rhizosphere microflora)""; ""Part of the rhizosphere microflora; influence observed on enzyme activities""",Not specified,Not specified,Abstract-CSV,DOI_10.1007_BF01372858
Relevant,Abstract,Abstract,0,10.1007/BF01372858,Eleusine coracana Gaertn.,not specified at species level),Rhizosphere,Present,"""Saprotrophic or Unknown (Role is not explicitly stated as pathogenic or symbiotic","but they are part of the rhizosphere microflora)""; ""Part of the rhizosphere microflora; influence observed on enzyme activities""",Not specified,Not specified,Abstract-CSV,DOI_10.1007_BF01372858
Relevant,Abstract,Abstract,0,10.1080/00362176485190201,Rattus rattus,Microsporum gypseum,Internal organs (liver and spleen),Present,Pathogenic,Isolated from internal organs of house rat,Egyptian Delta,Egypt,Abstract-CSV,DOI_10.1080_00362176485190201
Relevant,Abstract,Abstract,0,10.1071/BT9580025,Thismia rodwayi,Unspecified endophyte,Not specified,Present,Endophytic,Associated mycorrhiza. Osmic-staining fat from fungal hyphae into the cells of the higher plant.,,,Abstract-CSV,DOI_10.1071_BT9580025
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1953.tb01106.x,Plum fruitlets and tomato and broad bean foliage,Sclerotinia laxa,Foliage,Present,Pathogenic,Interaction is described as fungicidal activity of the compound on these fungi.,,,Abstract-CSV,DOI_10.1111_j.1744-7348.1953.tb01106.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1953.tb01106.x,Plum fruitlets and tomato and broad bean foliage,Botrytis fabae,Foliage,Present,Pathogenic,Interaction is described as fungicidal activity of the compound on these fungi.,,,Abstract-CSV,DOI_10.1111_j.1744-7348.1953.tb01106.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1953.tb01106.x,Plum fruitlets and tomato and broad bean foliage,Cladosporium fulvum,Foliage,Present,Pathogenic,Interaction is described as fungicidal activity of the compound on these fungi.,,,Abstract-CSV,DOI_10.1111_j.1744-7348.1953.tb01106.x
Relevant,Abstract,Abstract,0,10.1080/09670877109413315,Eupatorium odoratum,Fusarium culmorum,Seeds,Present,Pathogenic,Isolated from seeds,Not specified,Nigeria,Abstract-CSV,DOI_10.1080_09670877109413315
Relevant,Abstract,Abstract,0,10.1080/09670877109413315,Eupatorium odoratum,F. moniliforme,Seeds,Present,Pathogenic,Isolated from seeds,Not specified,Nigeria,Abstract-CSV,DOI_10.1080_09670877109413315
Relevant,Abstract,Abstract,0,10.1080/09670877109413315,Eupatorium odoratum,F. semitectum,Seeds,Present,Pathogenic,Isolated from seeds,Not specified,Nigeria,Abstract-CSV,DOI_10.1080_09670877109413315
Relevant,Abstract,Abstract,0,10.1080/09670877109413315,Eupatorium odoratum,F. solani,Seeds,Present,Pathogenic,Isolated from seeds,Not specified,Nigeria,Abstract-CSV,DOI_10.1080_09670877109413315
Relevant,Abstract,Abstract,0,10.1080/09670877109413315,Eupatorium odoratum,Cladosporium herbarum,Seeds,Present,Pathogenic,Isolated from seeds,Not specified,Nigeria,Abstract-CSV,DOI_10.1080_09670877109413315
Relevant,Abstract,Abstract,0,10.1080/09670877109413315,Eupatorium odoratum,Curvularia lunata,Seeds,Present,Pathogenic,Isolated from seeds,Not specified,Nigeria,Abstract-CSV,DOI_10.1080_09670877109413315
Relevant,Abstract,Abstract,0,10.1111/j.1469-8137.1971.tb02507.x,Caladenia,Sebacina vermifera,root,Present,Endophytic,"""Isolated from roots; stimulated germination of C. cornea seed in one test.""",Terrestrial,Australia,Abstract-CSV,DOI_10.1111_j.1469-8137.1971.tb02507.x
Relevant,Abstract,Abstract,0,10.1111/j.1469-185X.1950.tb00591.x,Not specified in text,Fomes annosus (not specified as fungal taxon,root,Present,Pathogenic,"""Isolated from root; parasitic phase on the living host plant""",,,Abstract-CSV,DOI_10.1111_j.1469-185X.1950.tb00591.x
Relevant,Abstract,Abstract,0,10.1111/j.1469-185X.1950.tb00591.x,Not specified in text,but mentioned),root,Present,Pathogenic,"""Isolated from root; parasitic phase on the living host plant""",,,Abstract-CSV,DOI_10.1111_j.1469-185X.1950.tb00591.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1969.tb02875.x,Celery,Multiple (13 seed-borne pathogens mentioned but not fully listed here),Seeds,Present,Pathogenic,Control by thiram seed soak treatment,Not_Provided,Not_Provided,Abstract-CSV,DOI_10.1111_j.1744-7348.1969.tb02875.x
