"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean"
"Relevant","abstract","abstract",0,"10.1080/00288233.1975.10421059","grasses","rhizophagus tenuis","roots","present","mycorrhizal","soil-borne spores and vegetative hyphae identification","not specified","new zealand","abstract-csv","doi_10.1080_00288233.1975.10421059","Abstract"
"Relevant","abstract","abstract",0,"10.1080/00288233.1975.10421059","legumes","acaulospora laevis","roots","present","mycorrhizal","soil-borne spores and vegetative hyphae identification","not specified","new zealand","abstract-csv","doi_10.1080_00288233.1975.10421059","Abstract"
"Relevant","abstract","abstract",0,"10.1080/00288233.1975.10421059","legumes","glomus fasciculatus","roots","present","mycorrhizal","soil-borne spores and vegetative hyphae identification","not specified","new zealand","abstract-csv","doi_10.1080_00288233.1975.10421059","Abstract"
"Relevant","abstract","abstract",0,"10.1080/00288233.1975.10421059","legumes","rhizophagus tenuis","roots","present","mycorrhizal","soil-borne spores and vegetative hyphae identification","not specified","new zealand","abstract-csv","doi_10.1080_00288233.1975.10421059","Abstract"
"Relevant","abstract","abstract",0,"10.1016/0013-9327(75)90069-5","not specified",NA,"not specified","present","unknown","""mention of the presence of disease; but no specific fungal species is identified.""","agricultural regions of new jersey","united states","abstract-csv","doi_10.1016_0013-9327(75)90069-5","Abstract"
"Relevant","abstract","abstract",0,"10.1080/09670877209413455","not specified in the text","powdery mildews","""aerial tissues","leaves","roots""","present; pathogenic; ""the compounds are used to control diseases; do not appear to depend on modifying the host plant""",NA,NA,"abstract-csv","doi_10.1080_09670877209413455","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1469-8137.1974.tb02142.x","grasses and nearly all the dicotyledonous plants (not specified in full)","vesicular-arbuscular mycorrhizal fungi","root","present","mycorrhizal","""infecting roots; mixed infections present in some plants""","coal waste tips in scotland","scotland","abstract-csv","doi_10.1111_j.1469-8137.1974.tb02142.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1469-8137.1974.tb02142.x","grasses and nearly all the dicotyledonous plants (not specified in full)","endogone spp.","root","present","mycorrhizal","""infecting roots; mixed infections present in some plants""","coal waste tips in scotland","scotland","abstract-csv","doi_10.1111_j.1469-8137.1974.tb02142.x","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf00032749","brassica oleracea var. botrytis (cauliflower)",NA,"curd portion","present","unknown","""not directly stated; but the text implies a potential interaction due to grafting.""","agricultural","unspecified","abstract-csv","doi_10.1007_bf00032749","Abstract"
"Relevant","abstract","abstract",0,"10.1080/00022470.1972.10469707","phaseolus vulgaris l (pinto beans)",NA,"leaf","present","unknown","""experiment involving chemical protectants to reduce ozone injury; not natural plant-fungus interaction""","not specified","not specified","abstract-csv","doi_10.1080_00022470.1972.10469707","Abstract"
"Relevant","abstract","abstract",0,"10.1080/0028825x.1977.10432553","leptospermum scoparium","vesicular-arbuscular mycorrhizas","shoot","present","endophytic","""infected the host plant; stimulated p uptake but did not always supply the full p requirements of the host. presence remained even when high shoot p concentrations were achieved by applying p."";","""te anau","new zealand""","abstract-csv","doi_10.1080_0028825x.1977.10432553","Abstract"
"Uncertain","abstract","abstract",0,"10.1111/j.1365-2338.1973.tb02092.x",NA,NA,NA,"present",NA,"no specific plant-fungus interaction described",NA,NA,"abstract-csv","doi_10.1111_j.1365-2338.1973.tb02092.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1972.tb04709.x","triticum aestivum (wheat)","erysiphe graminis","root","present","pathogenic","""controlled by the compound n?(2; 2; 2?trichloro?1?methoxyethyl)?formamide when applied to the roots in sand.""","not-specified","not-specified","abstract-csv","doi_10.1111_j.1744-7348.1972.tb04709.x","Abstract"
"Relevant","abstract","abstract",0,"10.1139/m76-009","populus x euramericana (yellow poplar)","glomeromycota sp.","root","present","mycorrhizal","involved in arbuscule deterioration and nutrient release","not provided","not provided","abstract-csv","doi_10.1139_m76-009","Abstract"
"Relevant","abstract","full-text",7,"10.1626/jcs.44.178","arabidopsis thaliana (thale cress)","fusarium oxysporum f. sp. thaliana","root","present","pathogenic","isolated from root tissues of arabidopsis thaliana.",NA,NA,"full-text","doi_10.1626_jcs.44.178","Abstract"
"Relevant","abstract","abstract",0,"10.1002/ps.2780070103","trifolium repens (white clover)","rhizobium trifolii","root nodules","present","mutualistic","""symbiotic nitrogen fixation affected by some fungicides (thiram; oxycarboxin; ethylan cp); but unchanged by others.""","not specified","not specified","abstract-csv","doi_10.1002_ps.2780070103","Abstract"
"Relevant","abstract","abstract",0,"10.1071/bt9610057","pernettya macrostigma (epacridaceae)","unspecified ericales endophyte","root","present","endophytic","isolated from the host and successfully back inoculated under controlled conditions.","not specified","new zealand","abstract-csv","doi_10.1071_bt9610057","Abstract"
"Relevant","abstract","abstract",0,"10.1002/ps.2780020505","cucumis sativus (cucumber)","sphaerotheca fuliginea","leaf","present","pathogenic","isolated as a pathogen causing cucumber powdery mildew","greenhouse","not-provided","abstract-csv","doi_10.1002_ps.2780020505","Abstract"
"Relevant","book chapter","abstract",0,"10.1111/j.1439-0434.1965.tb04085.x","unknown","alternaria",NA,"present","unknown","book chapter describing various fungi species",NA,NA,"abstract-csv","doi_10.1111_j.1439-0434.1965.tb04085.x","Abstract"
"Relevant","abstract","abstract",0,"10.1038/165532a0","avena spp. (oats)","helminthosporium aven?","seed","present","pathogenic","seed-borne phase of leaf stripe disease","not specified","not specified","abstract-csv","doi_10.1038_165532a0","Abstract"
"Relevant","abstract","abstract",0,"10.1017/s0021859600064601","hordeum vulgare (winter barley variety pella)","cochliobolus sativus","not specified","present","pathogenic","""disease-causing organism; not a direct plant-fungus interaction.""","not specified","not specified","abstract-csv","doi_10.1017_s0021859600064601","Abstract"
"Relevant","abstract","abstract",0,"10.1002/ps.2780020504","malus domestica (apple)","venturia inaequalis","leaf","present","pathogenic","caused apple scab",NA,NA,"abstract-csv","doi_10.1002_ps.2780020504","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf02052803","not specified",NA,"seeds","present","unknown","""isolated from plant material coming in from afghanistan and intercepted at quarantine station; jamrud""","not specified (quarantine location: jamrud)","afghanistan","abstract-csv","doi_10.1007_bf02052803","Abstract"
"Relevant","abstract","abstract",0,"10.1002/jobm.19640040210","mycotrophic plants","unspecified endophyte","underground or creeping organs","present","endophytic","""lives with underground or creeping plant organs. possible mycorrhizae; mycorrhizomes and mycothalli.""",NA,NA,"abstract-csv","doi_10.1002_jobm.19640040210","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1469-8137.1969.tb06492.x","orchid species","orchid endophyte fungi","""protocorms","roots (implied)""","present","mutualistic; utilizes cellulose as a carbon source for protocorm growth","not specified","not specified","abstract-csv","doi_10.1111_j.1469-8137.1969.tb06492.x","Abstract"
"Relevant","abstract","abstract",0,"10.1038/165937c0","ulmus sp. (elm)","ophiostoma novo-ulmi","vascular","present","pathogenic",NA,"not specified","not specified","abstract-csv","doi_10.1038_165937c0","Abstract"
"Relevant","abstract","abstract",0,"10.1080/00288233.1958.10431534","lolium perenne","endophytic fungi of new zealand grasses","not specified","present","endophytic","isolated from perennial-ryegrass","not specified","new zealand","abstract-csv","doi_10.1080_00288233.1958.10431534","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1948.tb07387.x","linum usitatissimum (flax)","colletotrichum linicola",NA,"present","pathogenic","seed-borne parasites","not specified","not specified","abstract-csv","doi_10.1111_j.1744-7348.1948.tb07387.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1948.tb07387.x","linum usitatissimum (flax)",NA,NA,"present","pathogenic","seed-borne parasites","not specified","not specified","abstract-csv","doi_10.1111_j.1744-7348.1948.tb07387.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1948.tb07387.x","linum usitatissimum (flax)","polyspora lini",NA,"present","pathogenic","seed-borne parasites","not specified","not specified","abstract-csv","doi_10.1111_j.1744-7348.1948.tb07387.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1948.tb07387.x","linum usitatissimum (flax)",NA,NA,"present","pathogenic","seed-borne parasites","not specified","not specified","abstract-csv","doi_10.1111_j.1744-7348.1948.tb07387.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1948.tb07387.x","linum usitatissimum (flax)","botrytis cinerea",NA,"present","pathogenic","seed-borne parasites","not specified","not specified","abstract-csv","doi_10.1111_j.1744-7348.1948.tb07387.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1948.tb07387.x","linum usitatissimum (flax)",NA,NA,"present","pathogenic","seed-borne parasites","not specified","not specified","abstract-csv","doi_10.1111_j.1744-7348.1948.tb07387.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1948.tb07387.x","linum usitatissimum (flax)","phoma sp.",NA,"present","pathogenic","seed-borne parasites","not specified","not specified","abstract-csv","doi_10.1111_j.1744-7348.1948.tb07387.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1948.tb07387.x","linum usitatissimum (flax)",NA,NA,"present","pathogenic","seed-borne parasites","not specified","not specified","abstract-csv","doi_10.1111_j.1744-7348.1948.tb07387.x","Abstract"
"Relevant","abstract","abstract",0,"10.1093/oxfordjournals.aob.a083369","cirsium arvense (creeping thistle)","puccinia suaveolens","root","present","pathogenic","""isolated uredospores initially produce pustules; mycelium grows systemically into roots; and produces spermogonia.""",NA,NA,"abstract-csv","doi_10.1093_oxfordjournals.aob.a083369","Abstract"
"Uncertain","abstract","abstract",0,"10.1007/bf02023673",NA,NA,NA,"present",NA,"no fungal interaction mentioned in the text.",NA,NA,"abstract-csv","doi_10.1007_bf02023673","Abstract"
"Relevant","abstract","abstract",0,"10.1080/00378941.1968.10838593","cryptogamic organisms","seed borne fungi","seeds","present","pathogenic","""isolated from seeds; presence can be superficial or in the testa or seed embryo. specific methods are required for detection due to organisms' susceptibility toward environment factors.""; agronomical; not specified; abstract-csv; doi_10.1080_00378941.1968.10838593 relelevant; abstract; abstract; 0; 10.1007/bf01976649; not specified in text; not specified in text; not specified in text; present; unknown; ""discusses potential fungicides that may interact with plants and fungi; but no specific plant-fungus interactions are described.""",NA,"netherlands","abstract-csv","doi_10.1007_bf01976649","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf01995923","apple","powdery mildew","leaves","present","pathogenic","pesticidal activity observed in laboratory and greenhouse tests",NA,NA,"abstract-csv","doi_10.1007_bf01995923","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf01995923","cucumber","powdery mildew","leaves","present","pathogenic","pesticidal activity observed in laboratory and greenhouse tests",NA,NA,"abstract-csv","doi_10.1007_bf01995923","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf01995923","barley","powdery mildew","leaves","present","pathogenic","pesticidal activity observed in laboratory and greenhouse tests",NA,NA,"abstract-csv","doi_10.1007_bf01995923","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf01372858","eleusine coracana gaertn.",NA,"rhizosphere","present","""saprotrophic or unknown (role is not explicitly stated as pathogenic or symbiotic","but they are part of the rhizosphere microflora)""; ""part of the rhizosphere microflora; influence observed on enzyme activities""","not specified","not specified","abstract-csv","doi_10.1007_bf01372858","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf01372858","eleusine coracana gaertn.","not specified at species level)","rhizosphere","present","""saprotrophic or unknown (role is not explicitly stated as pathogenic or symbiotic","but they are part of the rhizosphere microflora)""; ""part of the rhizosphere microflora; influence observed on enzyme activities""","not specified","not specified","abstract-csv","doi_10.1007_bf01372858","Abstract"
"Relevant","abstract","abstract",0,"10.1080/00362176485190201","rattus rattus","microsporum gypseum","internal organs (liver and spleen)","present","pathogenic","isolated from internal organs of house rat","egyptian delta","egypt","abstract-csv","doi_10.1080_00362176485190201","Abstract"
"Relevant","abstract","abstract",0,"10.1071/bt9580025","thismia rodwayi","unspecified endophyte","not specified","present","endophytic","associated mycorrhiza. osmic-staining fat from fungal hyphae into the cells of the higher plant.",NA,NA,"abstract-csv","doi_10.1071_bt9580025","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1953.tb01106.x","plum fruitlets and tomato and broad bean foliage","sclerotinia laxa","foliage","present","pathogenic","interaction is described as fungicidal activity of the compound on these fungi.",NA,NA,"abstract-csv","doi_10.1111_j.1744-7348.1953.tb01106.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1953.tb01106.x","plum fruitlets and tomato and broad bean foliage","botrytis fabae","foliage","present","pathogenic","interaction is described as fungicidal activity of the compound on these fungi.",NA,NA,"abstract-csv","doi_10.1111_j.1744-7348.1953.tb01106.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1953.tb01106.x","plum fruitlets and tomato and broad bean foliage","cladosporium fulvum","foliage","present","pathogenic","interaction is described as fungicidal activity of the compound on these fungi.",NA,NA,"abstract-csv","doi_10.1111_j.1744-7348.1953.tb01106.x","Abstract"
"Relevant","abstract","abstract",0,"10.1080/09670877109413315","eupatorium odoratum","fusarium culmorum","seeds","present","pathogenic","isolated from seeds","not specified","nigeria","abstract-csv","doi_10.1080_09670877109413315","Abstract"
"Relevant","abstract","abstract",0,"10.1080/09670877109413315","eupatorium odoratum","f. moniliforme","seeds","present","pathogenic","isolated from seeds","not specified","nigeria","abstract-csv","doi_10.1080_09670877109413315","Abstract"
"Relevant","abstract","abstract",0,"10.1080/09670877109413315","eupatorium odoratum","f. semitectum","seeds","present","pathogenic","isolated from seeds","not specified","nigeria","abstract-csv","doi_10.1080_09670877109413315","Abstract"
"Relevant","abstract","abstract",0,"10.1080/09670877109413315","eupatorium odoratum","f. solani","seeds","present","pathogenic","isolated from seeds","not specified","nigeria","abstract-csv","doi_10.1080_09670877109413315","Abstract"
"Relevant","abstract","abstract",0,"10.1080/09670877109413315","eupatorium odoratum","cladosporium herbarum","seeds","present","pathogenic","isolated from seeds","not specified","nigeria","abstract-csv","doi_10.1080_09670877109413315","Abstract"
"Relevant","abstract","abstract",0,"10.1080/09670877109413315","eupatorium odoratum","curvularia lunata","seeds","present","pathogenic","isolated from seeds","not specified","nigeria","abstract-csv","doi_10.1080_09670877109413315","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1469-8137.1971.tb02507.x","caladenia","sebacina vermifera","root","present","endophytic","""isolated from roots; stimulated germination of c. cornea seed in one test.""","terrestrial","australia","abstract-csv","doi_10.1111_j.1469-8137.1971.tb02507.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1469-185x.1950.tb00591.x","not specified in text",NA,"root","present","pathogenic","""isolated from root; parasitic phase on the living host plant""",NA,NA,"abstract-csv","doi_10.1111_j.1469-185x.1950.tb00591.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1469-185x.1950.tb00591.x","not specified in text","but mentioned)","root","present","pathogenic","""isolated from root; parasitic phase on the living host plant""",NA,NA,"abstract-csv","doi_10.1111_j.1469-185x.1950.tb00591.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1969.tb02875.x","celery",NA,"seeds","present","pathogenic","control by thiram seed soak treatment","not_provided","not_provided","abstract-csv","doi_10.1111_j.1744-7348.1969.tb02875.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1969.tb02875.x","brassicas",NA,"seeds","present","pathogenic","control by thiram seed soak treatment","not_provided","not_provided","abstract-csv","doi_10.1111_j.1744-7348.1969.tb02875.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1969.tb02875.x","red beet",NA,"seeds","present","pathogenic","control by thiram seed soak treatment","not_provided","not_provided","abstract-csv","doi_10.1111_j.1744-7348.1969.tb02875.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1469-8137.1969.tb06494.x","zea mays (maize)","endogone sp.","root","present","endophytic","""influenced by varying amounts of soluble phosphate during growth; with increased phosphate leading to reduced endophyte production.""","not-specified","not-specified","abstract-csv","doi_10.1111_j.1469-8137.1969.tb06494.x","Abstract"
"Relevant","abstract","abstract",0,"10.1126/science.169.3949.997","triticum aestivum (wheat)","puccinia recondita rob.","leaf","present","pathogenic","used as a fungicide to control the growth of this specific pathogen","wheat fields","not specified","abstract-csv","doi_10.1126_science.169.3949.997","Abstract"
