iso_a3,country_name,study_count,centroid_lat,centroid_lon,gdp_year,gdp_current_usd,gdp_log10
MNG,Mongolia,30,46.9562038928415,103.123972155588,2024,23794540024.5132,10.376477313810273
KEN,Kenya,28,0.599448825411532,37.7962282749356,2024,120339557905.932,11.080408411681423
PRY,Paraguay,28,-23.2089093473312,-58.443433000362,2024,44458118397.4445,10.647951078090832
AUT,Austria,27,47.5922934419805,14.110430068073,2024,534790720466.822,11.728183862903675
CZE,Czechia,27,49.7379966835855,15.3194407108538,2024,347034062928.479,11.540372104807693
PER,Peru,27,-9.10714962593639,-74.4207415923271,2024,289221969062.941,11.461231278527174
VNM,Vietnam,27,16.5442974922136,106.346507808996,2024,476388230307.175,11.6779610232226
TUN,Tunisia,26,34.0889554725266,9.55612880879074,2024,51332285656.5422,10.71039060238513
HUN,Hungary,23,47.1659125090957,19.37926775879,2024,222722738925.641,11.34776455868558
ISR,Israel,23,31.4329786269405,34.9911381969568,2024,540379921261.681,11.732699203697035
DNK,Denmark,21,55.9749821640371,10.0422117619727,2024,424524722037.047,11.627902986291733
ETH,Ethiopia,21,8.61440064916273,39.6097922793135,2024,149740297952.986,11.17533869295129
PHL,Philippines,20,11.7293432249664,122.919280085372,2024,461617509782.355,11.664282273842717
UKR,Ukraine,20,49.1956082304315,31.3155838482439,2024,190741262414.705,11.280444652671521
OMN,Oman,18,20.5857751222821,56.0621306377702,2024,107137198769.386,11.029940287034952
GRC,Greece,17,39.0479595974168,22.9642854447218,2024,256238371778.118,11.408644166016266
SVN,Slovenia,17,46.1158904650478,14.8005232442775,2024,72972015197.3859,10.863156339907867
MLI,Mali,16,17.3151390059251,-3.59047300385746,2024,26794747239.8805,10.428049664613708
IRQ,Iraq,15,33.0096663987365,43.7736761009852,2024,279641257615.385,11.446601246590262
GEO,Georgia,14,42.1729419874369,43.5242560197085,2024,34189423544.9955,10.533891778382495
SRB,Serbia,14,44.2113198320201,20.8066062928335,2024,90097765959.1114,10.954714022458985
UZB,Uzbekistan,14,41.7754007521081,63.3030925490054,2024,114965293466.611,11.060566752259195
VEN,Venezuela,14,7.12227407973977,-66.1705444163479,2024,119802963257.783,11.078467560211788
BEL,Belgium,13,50.638894962931,4.64593819889158,2024,671370081636.406,11.8269619838144
GHA,Ghana,12,7.94769971488172,-1.21698963069079,2024,82308110386.4641,10.915442631354964
HKG,Hong Kong,11,22.3982609030819,114.113750104641,2024,406863396487.342,11.60944862025727
PRI,Puerto Rico,11,18.2285799319745,-66.4730682024606,2024,126029527033.705,11.100472306431126
UGA,Uganda,11,1.27423154246739,32.3686653753119,2024,53911907086.1525,10.731684694884532
HRV,Croatia,10,45.0758927621117,16.401052951655,2024,92983810328.9088,10.96840733891002
EST,Estonia,10,58.6729024296997,25.5450328781709,2024,43130419829.35,10.634783685567298
NPL,Nepal,10,28.258042513136,83.946844426502,2024,42914268286.7109,10.632601711950006
TZA,Tanzania,10,-6.26824779747904,34.8018106480897,2024,78844405385.2195,10.89677088223653
URY,Uruguay,10,-32.79134091527,-56.0252057322354,2024,80961511073.5797,10.908278605286155
PNG,Papua New Guinea,9,-6.4685813912893,145.200496710606,2024,31800428265.5246,10.502432968792663
SVK,Slovakia,9,48.7112808146637,19.4689717853406,2024,140934076532.375,11.149016014121912
BOL,Bolivia,8,-16.681984236519,-64.6984386207499,2024,54881327452.9667,10.73942460740945
CUB,Cuba,8,21.6379353455023,-78.9870541353367,2020,107352000000,11.030810139884263
LTU,Lithuania,8,55.3237700627497,23.8970998762319,2024,84869215513.3648,10.928750187804186
SDN,Sudan,8,15.9679661132356,29.9074652465699,2024,49672435513.1126,10.696115454619221
BFA,Burkina Faso,7,12.2707262425414,-1.76113831482965,2024,23124729853.0218,10.364076667939623
ARE,United Arab Emirates,7,23.9053203375377,54.2926697940931,2024,552324846834.581,11.742194580794616
GIN,Guinea,6,10.4373187593583,-10.9342459987654,2024,25008678293.4084,10.398090739909337
MNE,Montenegro,6,42.7880033068397,19.2386306670085,2024,8270016670.86774,9.917506385013075
SGS,S. Geo. and the Is.,6,-54.4633925671473,-36.4874247589072,NA,NA,NA
SYR,Syria,6,35.0167773212797,38.4844621379467,2022,23622827079.5047,10.373331870904838
BGR,Bulgaria,5,42.7712410532641,25.2091326182523,2024,113343355779.985,11.054396066741642
HND,Honduras,5,14.8290802786515,-86.6176147798508,2024,37093565854.0437,10.569298584644223
IRL,Ireland,5,53.1625330760006,-8.1457183415326,2024,609157459747.205,11.78472956695204
JEY,Jersey,5,49.2183874346051,-2.12689068199444,NA,NA,NA
JOR,Jordan,5,31.2387026477013,36.7576835960932,2024,53352289577.4648,10.727153061614707
KAZ,Kazakhstan,5,48.3616709131595,67.2455026260148,2024,291480274648.826,11.464609170069215
MDG,Madagascar,5,-19.3164837077413,46.742890054662,2024,17420501490.1231,10.241060653040089
MMR,Myanmar,5,21.1129068828629,96.4947556027671,2024,74068349523.8095,10.86963266731005
NAM,Namibia,5,-22.0696900150308,17.1950199598704,2024,13372354511.716,10.126207881564053
ROU,Romania,5,45.8484139837285,24.9831818039956,2024,382564217988.866,11.58270434714265
SGP,Singapore,5,1.35876224689065,103.817255828195,2024,547386645891.847,11.73829419810475
BLR,Belarus,4,53.519520553022,28.0149551024805,2024,75961865471.9129,10.880595621602234
COG,Congo,4,-0.836992405518094,15.2211423451147,2024,15719986076.6464,10.196452157044464
PYF,Fr. Polynesia,4,-14.7131078941411,-144.785420676587,2024,6323716355.05009,9.80097238178528
GRL,Greenland,4,73.081215348893707,-41.8136722760146,2023,3326543974.39193,9.521993268864145
GUY,Guyana,4,4.78964291142976,-58.9799209901224,2024,24662709832.1343,10.392040793285098
ISL,Iceland,4,64.9978841290345,-18.5800336627103,2024,33255181468.938202,10.521859322061719
LBY,Libya,4,27.016716394901,18.0667932088379,2024,48487151215.345,10.685626668590668
MLT,Malta,4,35.9214721137047,14.4053767979931,2024,24971574502.4475,10.397445926258714
ZWE,Zimbabwe,4,-18.9970468184375,29.8510133848713,2024,41539411516.4448,10.61846033964802
AZE,Azerbaijan,3,40.2866618419871,47.5478416625625,2024,74315882352.9412,10.871081638540256
BMU,Bermuda,3,32.3136780686167,-64.7546002002701,2024,9233600000,9.965371056964587
BRN,Brunei,3,4.51968373105294,114.721966207324,2024,15340808592.48,10.185848251268585
LUX,Luxembourg,3,49.7667823865565,6.07215816344379,2024,93279851863.4062,10.969787847717722
MUS,Mauritius,3,-20.2776195923663,57.5712647063556,2024,14937861786.17,10.17428843677486
MOZ,Mozambique,3,-17.1958575415341,35.6027277377491,2024,22745341305.0622,10.356892458017724
NCL,New Caledonia,3,-21.3008860717208,165.679742554398,2024,8548919387.12607,9.931911221878137
AFG,Afghanistan,2,33.8187564243444,65.9259998083738,2023,17152234636.8715,10.234320709057542
BEN,Benin,2,9.63561224093508,2.32661465004568,2024,21482643706.4249,10.332087725652393
BTN,Bhutan,2,27.4121377982848,90.4021595967148,2023,3012896789.24928,9.478984254598265
BIH,Bosnia and Herz.,2,44.1714743324181,17.7748915739944,2024,29613572022.8993,10.47149079564564
BDI,Burundi,2,-3.35921514928519,29.8752284293783,2024,3082433067.32634,9.488893654998044
COD,Dem. Rep. Congo,2,-2.86548803879883,23.637747242281,2024,70962185790.7094,10.851026984250723
DOM,Dominican Rep.,2,18.8951155518329,-70.5052413454715,2024,124282245638.568,11.094409091860273
ERI,Eritrea,2,15.3611244552047,38.8572739697296,2011,2065001626.01626,9.314920397963176
JAM,Jamaica,2,18.1574508770119,-77.3143958349437,2024,22014397089.7689,10.342706795897206
LVA,Latvia,2,56.8595216467315,24.9204470200195,2024,43684254432.3609,10.640324927922917
LBN,Lebanon,2,33.9215988442913,35.8776957799568,2023,20078620356.9931,10.302733868237446
NIC,Nicaragua,2,12.8449927189211,-85.0319410654719,2024,19693982967.5926,10.294333557982576
QAT,Qatar,2,25.3048623619667,51.1846516738005,2024,219162637362.637,11.340766518013577
SEN,Senegal,2,14.3648110913115,-14.469447943744,2024,32808056600.9436,10.515980505531326
YEM,Yemen,2,15.9172806798621,47.5677872484439,2018,21606160663.0318,10.334577601173088
ZMB,Zambia,2,-13.4555254959824,27.8085818823144,2024,25303185342.2511,10.40317519664951
ALB,Albania,1,41.1348736944403,20.0518459027133,2024,27046429296.6673,10.43210993712782
BRB,Barbados,1,13.1814498004285,-59.5597850951858,2024,7498050000,9.874948332144706
BWA,Botswana,1,-22.1652447872488,23.8086129025041,2024,19402063512.9066,10.287847921920465
TCD,Chad,1,15.2753594087916,18.6349974957478,2024,19518819751.283,10.290453553545747
CIV,Côte d'Ivoire,1,7.62587837122098,-5.56910294110321,2024,87113179149.284,10.940083863375412
DMA,Dominica,1,15.4394350108441,-61.3577005414183,2024,688881481.481481,8.838144510200683
GTM,Guatemala,1,15.6901195659811,-90.3672121144358,2024,113199581158.203,11.053844819952802
GNB,Guinea-Bissau,1,12.0477507940677,-14.9499240579018,2024,2218393804.54798,9.346038643689178
IMN,Isle of Man,1,54.2240959079977,-4.53903854050941,2022,7431257410.92713,9.87106230506933
LAO,Laos,1,18.4874181969114,103.774934402365,2024,16502933121.3379,10.217561139680774
MWI,Malawi,1,-13.2044253769335,34.2828475303045,2024,11316411329.4619,10.053708724828514
MDA,Moldova,1,47.1871728331026,28.4656191736062,2024,18200340853.6517,10.260079521472653
TLS,Timor-Leste,1,-8.8293216519627,125.845107842137,2024,1865608515.41321,9.270820515384091
TGO,Togo,1,8.52077978485004,0.963859665348354,2024,10651180146.531,10.027397730096924
TTO,Trinidad and Tobago,1,10.4571725762484,-61.2659018391326,2024,25633544529.4849,10.408808663272096
VUT,Vanuatu,1,-16.216969027294,167.675345929342,2024,1117972034.22642,9.048430939925133
ASM,American Samoa,0,-14.3044663343105,-170.718018842331,2022,871000000,8.940018155007664
AND,Andorra,0,42.5422864057591,1.56052469127473,2024,4039842405.48117,9.60636442358465
AGO,Angola,0,-12.2706139262687,17.5317833751037,2024,100998916781.079,11.004316715975486
AIA,Anguilla,0,18.2239725989557,-63.0649996801631,NA,NA,NA
ATG,Antigua and Barb.,0,17.2771040484643,-61.7946721591689,2024,2207622874.07407,9.343924885317433
ARM,Armenia,0,40.287327772931,44.9383117991992,2024,25955275380.0321,10.414225641012745
ABW,Aruba,0,12.5208780608318,-69.9826639657359,2024,4265650673.00236,9.629985286884786
BHS,Bahamas,0,24.2800187934338,-76.5901602884017,2024,15832800000,10.199557725792058
BHR,Bahrain,0,26.0419637708084,50.5419933611208,2024,47109734308.5106,10.673110654892593
BLZ,Belize,0,17.1982988461335,-88.7110676211934,2024,3203631800,9.505642595921215
IOT,Br. Indian Ocean Ter.,0,-7.33059326968775,72.4454107176736,NA,NA,NA
VGB,British Virgin Is.,0,18.5258126284725,-64.4716170380985,NA,NA,NA
CPV,Cabo Verde,0,15.9533055041819,-23.9565439780904,2024,2725414150.72735,9.435432506505856
KHM,Cambodia,0,12.719494904645,104.905337580996,2024,46352647037.2406,10.666074540224674
CYM,Cayman Is.,0,19.4298043674924,-80.9134943394325,2023,7241244269.45972,9.859813197817418
CAF,Central African Rep.,0,6.57229915888353,20.4618329844356,2024,2751494281.06887,9.439568614474883
COM,Comoros,0,-11.8779085448706,43.681656759567,2024,1440991455.45188,9.158661405615446
COK,Cook Is.,0,-21.2192740081892,-159.787243023607,NA,NA,NA
CUW,Curaçao,0,12.1955184194906,-68.9711179452218,2024,3561178196.20713,9.55159370568582
CYP,Cyprus,0,34.917087328158,33.0058102965142,2024,37634533331.8902,10.575586535153299
DJI,Djibouti,0,11.7483067109973,42.5600788811058,2024,4152145939.98458,9.618272609728677
SLV,El Salvador,0,13.7398637309967,-88.8709570558223,2024,35364960000,10.548573171204296
GNQ,Eq. Guinea,0,1.705405643432,10.3417277888309,2024,12765777677.0622,10.106047276685839
FRO,Faeroe Is.,0,62.0522625282412,-6.88046143028574,2024,4052937169.76536,9.607769871189088
FLK,Falkland Is.,0,-51.7464413294786,-59.3498833437913,NA,NA,NA
FJI,Fiji,0,-17.4275459921746,178.512028294341,2024,5968125909.27126,9.775837976851495
ATF,Fr. S. Antarctic Lands,0,-49.2683171943331,69.1998846442835,NA,NA,NA
GAB,Gabon,0,-0.586446585293701,11.7887417164631,2024,20895684425.6752,10.320056600769234
GMB,Gambia,0,13.4509534894153,-15.3963233144452,2024,2404888749.21907,9.381094990598502
GRD,Grenada,0,12.1172424371992,-61.6822117335207,2024,1371918518.51852,9.137328318361535
GUM,Guam,0,13.4416293676101,144.767851873217,2022,6910000000,9.839478047374199
GGY,Guernsey,0,49.468103758266,-2.57240443102482,NA,NA,NA
HTI,Haiti,0,18.9345751430787,-72.6867625315242,2024,25224154990.7946,10.401816626287266
HMD,Heard I. and McDonald Is.,0,-53.0872651198047,73.5203521795845,NA,NA,NA
KIR,Kiribati,0,0.892900961239435,-167.919700936462,2024,307862564.489711,8.48835688271944
KWT,Kuwait,0,29.3332785767072,47.5877796880973,2024,160227273053.334,11.204736441388997
KGZ,Kyrgyzstan,0,41.4743103610779,74.5090861452259,2024,17478259659.2625,10.242498186993645
LSO,Lesotho,0,-29.5790637034594,28.2289621119569,2024,2271759454.51107,9.356362344156466
LBR,Liberia,0,6.45195767187024,-9.3198326185766,2024,4779300900,9.679364374127365
LIE,Liechtenstein,0,47.1366265853552,9.53575260315686,2023,8239379403.22096,9.915894501514268
MAC,Macao,0,22.2231175774803,113.509319741433,2024,49467258923.3244,10.694317845932076
MDV,Maldives,0,3.72846121928285,73.4570805442108,2024,7061608267.25451,9.848903622022258
MHL,Marshall Is.,0,7.00279059022283,170.342582564537,2024,290108489.990234,8.462560438564669
MRT,Mauritania,0,20.2206937789848,-10.369916721834,2024,10908045686.8808,10.03774694825737
FSM,Micronesia,0,7.53089158668559,153.322721650955,2024,471425099.488675,8.673412701394165
MCO,Monaco,0,43.7527482443154,7.40627449424239,2024,11125783372.4794,10.046330599641056
MSR,Montserrat,0,16.7394123859652,-62.1851850423942,NA,NA,NA
MNP,N. Mariana Is.,0,15.8171137794661,145.618094756082,2022,1096000000,9.03981055414835
NRU,Nauru,0,-0.519126365152906,166.932568247741,2024,162588620.632234,8.211090146611271
NIU,Niue,0,-19.0494561591082,-169.869942739257,NA,NA,NA
NFK,Norfolk Island,0,-29.0514598846554,167.949215558769,NA,NA,NA
PRK,North Korea,0,40.1400742694836,127.159122775815,NA,NA,NA
MKD,North Macedonia,0,41.5951915568665,21.6805957755044,2024,16951682245.4202,10.229212803049483
PLW,Palau,0,7.28668468125613,134.405780945831,2023,276733062.744141,8.442061049670523
PSE,Palestine,0,31.9152202929032,35.1954797208278,2024,13711100000,10.137072298317332
PCN,Pitcairn Is.,0,-24.3650031851063,-128.317044328348,NA,NA,NA
RWA,Rwanda,0,-1.99032494652451,29.9199828908339,2024,14251642235.0968,10.153864911540788
SSD,S. Sudan,0,7.30869694761169,30.251333835259,2015,11997800760.2242,10.079101645611633
SHN,Saint Helena,0,-12.3792423437637,-9.67419767139882,NA,NA,NA
LCA,Saint Lucia,0,13.8947730044762,-60.9697106588895,2024,2549062962.96296,9.406380562864193
WSM,Samoa,0,-13.7534008948444,-172.165304583466,2024,1175749785.65113,9.070314908242663
SMR,San Marino,0,43.9418652349619,12.4592152183486,2023,2027527227.831,9.306966695098907
SYC,Seychelles,0,-4.66098974524066,55.4760277998135,2024,2167239562.46013,9.33590692004343
SLE,Sierra Leone,0,8.56249233442925,-11.7926118516903,2024,6971127235.3123,9.843303009445696
SXM,Sint Maarten,0,18.0508225280051,-63.0571336446886,2024,1797836665.95136,9.254750233393779
SLB,Solomon Is.,0,-8.92311721222479,159.622342602782,2024,1583964703.75061,9.19974549976791
SOM,Somalia,0,4.73940621544563,45.6792928368265,2024,11967000000,10.077985291029503
BLM,St-Barthélemy,0,17.8988056284832,-62.840676930188,NA,NA,NA
MAF,St-Martin,0,18.0888907568131,-63.0597289426657,2021,649206262.847519,8.812382700782967
KNA,St. Kitts and Nevis,0,17.264578665519,-62.687467247912,2024,1122388888.88889,9.05014335873473
SPM,St. Pierre and Miquelon,0,46.9190002073809,-56.303060329307,NA,NA,NA
VCT,St. Vin. and Gren.,0,13.2246770323331,-61.2013173917894,2024,1157207407.40741,9.063411204949906
SUR,Suriname,0,4.12984829312196,-55.9124311661924,2024,4416775112.09627,9.64510528695093
STP,São Tomé and Principe,0,0.443840111655542,6.72421638168838,2024,822154621.088897,8.91495350217607
TJK,Tajikistan,0,38.5365490337492,71.0268540220455,2024,14204575548.5536,10.152428260961095
TON,Tonga,0,-20.4205125691269,-174.801931117209,2023,591139749.44287,8.771690163177826
TKM,Turkmenistan,0,39.1254707125414,59.4464223563841,2024,51387209872.2994,10.7108550378066
TCA,Turks and Caicos Is.,0,21.8306218778817,-71.9739066622584,2024,1745378000,9.241889497505106
TUV,Tuvalu,0,-8.50345062035297,179.205565197762,2023,62280311.5852172,7.794350776654625
VIR,U.S. Virgin Is.,0,17.9545678583165,-64.8028713164479,2022,4672000000,9.669502834104343
VAT,Vatican,0,41.9017498858824,12.4338717583753,NA,NA,NA
ESH,W. Sahara,0,24.2117292428168,-12.2714969904972,NA,NA,NA
WLF,Wallis and Futuna Is.,0,-13.8882289701232,-177.344320004362,NA,NA,NA
SWZ,eSwatini,0,-26.5575464900803,31.4818696059185,2024,4858885840.77236,9.686536695460404
ALA,Åland,0,60.2148676916094,19.9535538088688,NA,NA,NA
