paper_id,fungal_taxon_resolved
doi:10.1111/ddi.12310,glomeromycota
doi:10.1017/inp.2019.19,glomeromycota
doi:10.1016/j.rhisph.2020.100283,glomeromycota
doi:10.1007/s11104-009-0197-5,glomeromycota
doi:10.1111/1365-2745.13546,glomeromycota
doi:10.1094/pdis-06-21-1164-re,erysiphe necator
doi:10.1080/15226514.2022.2092060,glomeromycota
doi:10.1016/j.funeco.2022.101143,glomeromycota
doi:10.1007/s00572-018-0863-7,glomeromycota
doi:10.31055/1851.2372.v59.n3.44744,glomeromycota
doi:10.1007/s11356-014-3957-6,glomeromycota
doi:10.1007/s00572-008-0181-6,glomeromycota
doi:10.1016/j.jaridenv.2007.07.005,glomeromycota
doi:10.1007/s11104-024-06671-1,glomeromycota
doi:10.1016/j.apsoil.2024.105492,glomeromycota
doi:10.1002/ecs2.2640,glomeromycota
doi:10.1890/13-1454.1,glomeromycota
doi:10.1007/s00572-006-0064-7,glomeromycota
doi:10.1007/s11104-016-3108-6,glomeromycota
doi:10.1007/s00442-013-2759-8,glomeromycota
doi:10.1016/j.biocontrol.2019.03.005,glomeromycota
doi:10.1080/21683565.2025.2508204,glomeromycota
doi:10.1371/journal.pone.0254076,glomeromycota
doi:10.1890/05-1606,glomeromycota
doi:10.1002/jpln.200800153,glomeromycota
doi:10.3390/jof7110976,glomeromycota
doi:10.1016/j.scitotenv.2021.147660,glomeromycota
doi:10.1016/0038-0717(86)90019-2,glomeromycota
doi:10.1016/j.stress.2024.100686,glomeromycota
doi:10.15835/nbha50412915,glomeromycota
doi:10.21786/bbrc/13.2/64,glomeromycota
doi:10.1016/0038-0717(77)90055-4,glomeromycota
doi:10.3390/microorganisms7120662,erysiphe necator
doi:10.1007/s11104-022-05483-5,glomeromycota
doi:10.1016/j.agee.2014.04.008,glomeromycota
doi:10.1016/j.femsec.2005.04.011,glomeromycota
doi:10.1016/j.pedobi.2023.150929,glomeromycota
doi:10.1016/bs.abr.2025.06.003,glomeromycota
doi:10.1007/s42360-024-00808-z,erysiphe polygoni
doi:10.1016/j.scitotenv.2024.175006,glomeromycota
doi:10.13346/j.mycosystema.230209,glomeromycota
doi:10.31055/1851.2372.v59.n3.44533,glomeromycota
doi:10.1016/0169-5347(94)90290-9,glomeromycota
doi:10.1007/s00572-023-01107-7,glomeromycota
doi:10.1007/s00248-022-02131-4,erythrobasidium
doi:10.3390/biology11060861,glomeromycota
doi:10.1016/j.pld.2021.06.005,glomeromycota
doi:10.3390/biology10020101,glomeromycota
doi:10.1002/agj2.70075,glomeromycota
doi:10.1007/s11104-024-06808-2,glomeromycota
doi:10.1016/j.aquabot.2009.01.001,glomeromycota
doi:10.1007/s13199-015-0320-8,glomeromycota
doi:10.1007/s00572-025-01215-6,glomeromycota
doi:10.1016/j.indcrop.2018.05.022,apiognomonia erythrostoma
doi:10.3390/jof9050508,glomeromycota
doi:10.1016/j.cropro.2017.07.017,erysiphe quercicola
doi:10.1016/j.apsoil.2021.104308,glomeromycota
doi:10.1007/s00572-017-0794-8,glomeromycota
doi:10.3390/jof9090893,glomeromycota
doi:10.3390/agronomy9020073,glomeromycota
doi:10.3390/plants12112116,glomeromycota
doi:10.1016/j.scitotenv.2025.178538,glomeromycota
doi:10.1016/j.plantsci.2024.112261,glomeromycota
doi:10.3390/jof10030174,glomeromycota
doi:10.1016/j.pmpp.2025.102856,glomeromycota
doi:10.3390/plants12162990,glomeromycota
doi:10.1071/cp17340,glomeromycota
doi:10.1007/s11104-023-06347-2,glomeromycota
doi:10.1007/s11627-015-9666-0,glomeromycota
doi:10.3233/jbr-150110,glomeromycota
doi:10.1080/00103628709367907,glomeromycota
doi:10.1016/j.scitotenv.2022.157407,glomeromycota
doi:10.1007/bf00203249,glomeromycota
doi:10.1007/s11104-017-3216-y,glomeromycota
doi:10.1016/j.soilbio.2008.07.006,glomeromycota
doi:10.1007/s13199-019-00633-3,glomeromycota
doi:10.1007/s005720050120,glomeromycota
doi:10.1002/eap.2807,glomeromycota
doi:10.1007/s00705-016-2911-y,erysiphe cichoracearum
doi:10.1007/s00572-002-0164-y,glomeromycota
doi:10.3389/fpls.2021.686274,glomeromycota
doi:10.1016/j.agee.2012.03.011,glomeromycota
doi:10.1139/b06-085,glomeromycota
doi:10.1111/1462-2920.16227,glomeromycota
doi:10.1111/1462-2920.16148,glomeromycota
doi:10.1007/bf02181758,glomeromycota
doi:10.1016/j.agwat.2024.108802,glomeromycota
doi:10.1111/j.1469-8137.1983.tb04868.x,glomeromycota
doi:10.1016/j.chmed.2022.11.004,glomeromycota
doi:10.1007/s003740050504,glomeromycota
doi:10.1016/s0232-4393(89)80051-4,glomeromycota
doi:10.1007/s00572-007-0124-7,glomeromycota
doi:10.1080/03650340.2022.2117302,glomeromycota
doi:10.1016/j.scitotenv.2021.152515,glomeromycota
doi:10.1007/s13199-024-01009-y,glomeromycota
doi:10.1104/pp.103.032342,glomeromycota
doi:10.1016/0038-0717(79)90009-9,glomeromycota
doi:10.3390/agronomy9120808,glomeromycota
doi:10.1007/s00572-017-0785-9,glomeromycota
doi:10.1111/j.1469-8137.1979.tb07465.x,glomeromycota
doi:10.1111/rec.13862,glomeromycota
doi:10.1016/j.funbio.2023.04.005,glomeromycota
doi:10.3767/persoonia.2020.44.11,erysiphe medicaginis
doi:10.1080/15320383.2011.528470,glomeromycota
doi:10.1111/aec.13438,glomeromycota
doi:10.1640/0002-8444(2008)98[117:amadsf]2.0.co;2,glomeromycota
doi:10.1016/j.soilbio.2007.09.023,ascomycota; glomeromycota
doi:10.1139/b04-111,glomeromycota
doi:10.1139/cjb-2013-0178,glomeromycota
doi:10.1016/j.ejsobi.2016.09.005,glomeromycota
doi:10.1007/s00572-011-0417-8,glomeromycota
doi:10.1080/15226514.2023.2176466,glomeromycota
doi:10.1016/j.ecolmodel.2020.109321,glomeromycota
doi:10.1007/s00572-006-0081-6,glomeromycota
doi:10.1080/00275514.2018.1492846,glomeromycota
doi:10.1016/j.scitotenv.2018.08.350,glomeromycota
doi:10.1007/s11258-020-01059-4,glomeromycota
doi:10.1080/15230430.2025.2475570,glomeromycota
doi:10.1007/s00442-011-1928-x,glomeromycota
doi:10.1016/j.rhisph.2018.12.003,glomeromycota
doi:10.1007/s00442-015-3470-8,glomeromycota
doi:10.1016/j.scitotenv.2021.148808,glomeromycota
doi:10.1007/s00572-016-0736-x,glomeromycota
doi:10.1080/00275514.2023.2206930,glomeromycota
doi:10.1016/j.rhisph.2018.06.006,glomeromycota
doi:10.1016/j.flora.2016.03.011,glomeromycota
doi:10.1127/0029-5035/2012/0024,glomeromycota
doi:10.1080/01904167.2015.1087032,glomeromycota
doi:10.1139/cjb-2013-0174,glomeromycota
doi:10.1007/s11356-021-14716-6,glomeromycota
doi:10.1016/j.funeco.2018.05.002,glomeromycota; zygomycota
doi:10.1111/j.1574-6941.2011.01291.x,glomeromycota
doi:10.1007/s13157-010-0017-y,glomeromycota
doi:10.1007/s11104-005-1740-7,glomeromycota
doi:10.1007/s00572-003-0264-3,glomeromycota
doi:10.1016/j.foreco.2013.08.052,glomeromycota
doi:10.1007/s00572-010-0339-x,glomeromycota
doi:10.4268/cjcmm20111701,glomeromycota
doi:10.1111/j.1574-6941.2010.00900.x,glomeromycota
doi:10.1007/s13199-010-0083-1,glomeromycota
doi:10.4081/ija.2010.225,glomeromycota
doi:10.1016/s1672-6308(08)60095-5,glomeromycota
doi:10.1007/s11703-009-0026-x,glomeromycota
doi:10.1080/03650340009366129,glomeromycota
doi:10.1111/j.1469-8137.1996.tb04350.x,glomeromycota
doi:10.1007/bf00210586,glomeromycota
doi:10.1016/s0580-9517(08)70100-4,glomeromycota
doi:10.1016/s0580-9517(08)70103-x,glomeromycota
doi:10.1111/j.1526-100x.1993.tb00013.x,glomeromycota
doi:10.1007/bf00206137,glomeromycota
doi:10.1007/bf02374337,glomeromycota
doi:10.1007/bf03053332,glomeromycota
doi:10.1002/ps.2780130213,erysiphe pisi
doi:10.1016/j.aquabot.2010.03.012,glomeromycota
doi:10.1007/s00572-001-0145-6,glomeromycota
doi:10.1002/jpln.201100173,glomeromycota
doi:10.1002/ppp3.10290,glomeromycota
doi:10.1128/aem.60.6.1810-1813.1994,glomeromycota
doi:10.1007/s11104-009-0207-7,glomeromycota
doi:10.1016/j.funeco.2020.100914,glomeromycota
doi:10.1890/12-1943.1,glomeromycota
doi:10.1016/j.apsoil.2022.104778,glomeromycota
doi:10.14719/pst.2019.6.1.474,glomeromycota
doi:10.1016/j.agee.2016.04.022,glomeromycota
doi:10.1016/0167-8809(94)00563-t,glomeromycota
doi:10.1111/j.1600-0706.2012.20153.x,glomeromycota
doi:10.1007/s00035-014-0138-7,glomeromycota
doi:10.1016/j.funeco.2020.101034,glomeromycota
doi:10.1016/j.apsoil.2021.104358,glomeromycota
doi:10.1007/s11258-011-9966-3,glomeromycota
doi:10.1016/j.aquabot.2006.07.001,glomeromycota
doi:10.1016/j.envexpbot.2018.06.016,glomeromycota
doi:10.1016/j.landurbplan.2014.04.014,glomeromycota
doi:10.1016/j.apsoil.2009.05.007,glomeromycota
doi:10.1007/s11258-018-0900-9,glomeromycota
doi:10.1007/s11258-010-9799-5,glomeromycota
doi:10.7717/peerj.5682,glomeromycota
doi:10.2307/3760351,glomeromycota
doi:10.3390/plants11223154,glomeromycota
doi:10.1111/j.1438-8677.2009.00270.x,glomeromycota
doi:10.1016/j.apsoil.2012.04.008,glomeromycota
doi:10.1002/ecs2.1527,glomeromycota
doi:10.1016/j.rhisph.2017.09.003,glomeromycota
doi:10.2307/3760989,glomeromycota
doi:10.1139/cjfr-2024-0259,glomeromycota
doi:10.1007/s00374-009-0361-3,glomeromycota
doi:10.1007/s13199-019-00629-z,glomeromycota
doi:10.1111/j.1469-8137.1992.tb00076.x,glomeromycota
doi:10.24425/aep.2019.125916,glomeromycota
doi:10.1007/s13199-021-00748-6,glomeromycota
doi:10.1016/j.aquabot.2009.10.013,glomeromycota
doi:10.3390/agronomy15061443,glomeromycota
doi:10.1016/s1002-0160(18)60056-6,glomeromycota
doi:10.1111/j.1365-2486.2008.01760.x,glomeromycota
doi:10.1016/j.agee.2012.04.020,glomeromycota
doi:10.3390/plants10050892,glomeromycota
doi:10.7717/peerj.4020,neoerysiphe galeopsidis
doi:10.3390/plants12071552,glomeromycota
doi:10.1111/1574-6968.12533,glomeromycota
doi:10.1016/0038-0717(92)90006-j,glomeromycota
doi:10.1016/j.funeco.2024.101407,glomeromycota
doi:10.1007/bf00336426,glomeromycota
doi:10.1023/a:1004312413711,glomeromycota
doi:10.1073/pnas.0705902104,glomeromycota
doi:10.1007/s11104-006-9034-2,glomeromycota
doi:10.1139/b07-044,glomeromycota
doi:10.1016/j.scitotenv.2020.142273,glomeromycota
doi:10.1016/j.soilbio.2024.109441,glomeromycota
doi:10.1016/j.apsoil.2019.07.001,glomeromycota
doi:10.1007/s005720050217,glomeromycota
doi:10.1128/aem.63.9.3531-3538.1997,glomeromycota
doi:10.1007/s11104-011-0965-x,glomeromycota
doi:10.1111/j.1469-8137.1994.tb03972.x,glomeromycota
doi:10.3897/mycokeys.107.125549,glomeromycota
doi:10.1111/j.1469-8137.1988.tb00272.x,glomeromycota
doi:10.3389/fmicb.2022.855890,glomeromycota
doi:10.3897/mycokeys.59.38055,erythrogloeaceae
doi:10.1139/b81-006,glomeromycota
doi:10.1007/bf02370649,glomeromycota
doi:10.1023/a:1025539100767,glomeromycota
doi:10.1007/s11104-015-2522-5,glomeromycota
doi:10.1111/j.1439-037x.2008.00349.x,glomeromycota
doi:10.1016/j.revpalbo.2012.11.006,glomeromycota
doi:10.1007/bf00203244,glomeromycota
doi:10.1016/j.apsoil.2005.02.015,glomeromycota
doi:10.7717/peerj.9732,glomeromycota
doi:10.1016/0038-0717(85)90020-3,glomeromycota
doi:10.1111/j.1469-8137.1993.tb03837.x,glomeromycota
doi:10.1007/s11104-009-0213-9,glomeromycota
doi:10.1139/cjb-2013-0263,glomeromycota
doi:10.1111/j.1744-7348.1984.tb03025.x,glomeromycota
doi:10.1046/j.1469-8137.1999.00532.x,glomeromycota
doi:10.1016/j.apsoil.2023.105235,glomeromycota
doi:10.1016/j.scitotenv.2016.12.031,glomeromycota
doi:10.1094/phyto-69-1190,erysiphe betae
doi:10.1094/phyto-69-1190,erysiphe polygoni
doi:10.1640/0002-8444-100.2.126,glomeromycota
doi:10.1046/j.1469-8137.2002.00504.x,glomeromycota
doi:10.1007/s13199-009-0010-5,glomeromycota
doi:10.1007/s00572-008-0165-6,glomeromycota
doi:10.1016/j.rhisph.2023.100757,glomeromycota
doi:10.1007/s00572-013-0526-7,glomeromycota
doi:10.1007/s13199-015-0319-1,glomeromycota
doi:10.1007/s10342-013-0751-9,glomeromycota
doi:10.1016/j.bcab.2025.103510,glomeromycota
doi:10.1111/j.1469-8137.2009.02990.x,erysiphe
doi:10.1007/s00572-009-0284-8,glomeromycota
doi:10.1111/j.1438-8677.2012.00673.x,glomeromycota
doi:10.1007/s13199-019-00661-z,glomeromycota
doi:10.1007/s00248-012-0151-6,glomeromycota
doi:10.1016/j.jaridenv.2011.04.034,ascomycota; glomeromycota
doi:10.3389/fpls.2020.567388,glomeromycota
doi:10.1139/b10-021,glomeromycota
doi:10.1016/j.scitotenv.2018.05.377,glomeromycota
doi:10.1007/s10457-023-00816-4,glomeromycota
doi:10.7501/j.issn.0253-2670.2023.09.034,glomeromycota
doi:10.3390/ijerph20043689,glomeromycota
doi:10.12403/j.1001-1498.20220099,glomeromycota
doi:10.13199/j.cnki.cst.2022-2167,glomeromycota
doi:10.13343/j.cnki.wsxb.20220126,glomeromycota
doi:10.1007/s42535-021-00258-2,glomeromycota
doi:10.1016/j.jplph.2021.153544,glomeromycota
doi:10.1002/ldr.3955,glomeromycota
doi:10.1016/s1002-0160(20)60091-1,glomeromycota
doi:10.5943/cream/11/1/29,glomeromycota
doi:10.11829/j.issn.1001-0629.2019-0276,glomeromycota
doi:10.4025/actasciagron.v35i1.15047,glomeromycota
doi:10.1111/j.1439-0434.1995.tb00194.x,erysiphe necator
doi:10.3390/horticulturae7070178,glomeromycota
doi:10.1016/j.soilbio.2006.08.007,glomeromycota
doi:10.1111/j.1654-1103.2005.tb02353.x,glomeromycota
doi:10.3390/agronomy12040912,glomeromycota
doi:10.2307/2426593,glomeromycota
doi:10.1139/b07-042,glomeromycota
doi:10.1016/j.aquabot.2011.02.003,glomeromycota
doi:10.1134/s1067413622030122,glomeromycota
doi:10.1111/1365-2435.14516,glomeromycota
doi:10.1007/s13199-023-00902-2,glomeromycota
doi:10.1093/jpe/rtw022,glomeromycota
doi:10.1111/1365-2745.13143,glomeromycota
doi:10.2307/1551943,glomeromycota
doi:10.1046/j.1365-2486.1999.00251.x,glomeromycota
doi:10.1098/rspb.2013.0207,glomeromycota
doi:10.1111/1365-2745.14410,glomeromycota
doi:10.1016/j.stress.2024.100475,glomeromycota
doi:10.3390/microorganisms7120587,glomeromycota
doi:10.1155/ioa/4671361,glomeromycota
doi:10.2307/2261445,glomeromycota
doi:10.3389/fmicb.2019.00481,glomeromycota
doi:10.1016/j.apsoil.2025.106288,glomeromycota
doi:10.1007/s12088-020-00866-7,glomeromycota
doi:10.1007/bf00336425,glomeromycota
doi:10.2307/2389862,glomeromycota
doi:10.1002/sae2.12032,glomeromycota
doi:10.1016/j.soilbio.2024.109405,glomeromycota
doi:10.1080/153249801300000770,glomeromycota
doi:10.1016/j.catena.2024.107945,glomeromycota
doi:10.1111/nph.12805,glomeromycota
doi:10.1016/j.funeco.2024.101354,glomeromycota
doi:10.1007/s13199-023-00946-4,glomeromycota
doi:10.1016/j.apsoil.2011.03.011,glomeromycota
doi:10.4014/jmb.2303.03026,glomeromycota
doi:10.1111/wre.12200,glomeromycota
doi:10.1007/s00572-004-0315-4,glomeromycota
doi:10.1007/s00248-021-01937-y,glomeromycota
doi:10.1016/s1146-609x(02)01165-7,glomeromycota
doi:10.1094/pbiomes-08-20-0058-r,glomeromycota
doi:10.1093/femsec/fiu015,glomeromycota
doi:10.3390/plants11070924,glomeromycota
doi:10.1640/0002-8444-104.2.67,ascomycota; glomeromycota
doi:10.3732/ajb.1200558,glomeromycota
doi:10.2134/agronj2016.10.0597,glomeromycota
doi:10.1007/s10646-019-02042-0,glomeromycota
doi:10.1007/s11104-004-7942-6,glomeromycota
doi:10.1007/s13199-012-0185-z,glomeromycota
doi:10.1111/j.1469-8137.1993.tb03872.x,glomeromycota
doi:10.3390/jof7090764,erythrobasidium
doi:10.1111/1365-2435.13479,glomeromycota
doi:10.1016/j.jenvrad.2022.106973,glomeromycota
doi:10.1016/j.aquabot.2016.05.003,glomeromycota
doi:10.1007/s00035-021-00275-6,glomeromycota
