country,relationship_type,study_count
MMR,Endophytic,3
NER,Unknown/Other,3
NOR,Endophytic,3
PAK,Unknown/Other,3
PRY,Pathogenic,3
RUS,Unknown/Other,3
SWE,Endophytic,3
TUN,Endophytic,3
VNM,Endophytic,3
ZAF,Antagonistic/Biocontrol,3
ARG,Mutualistic,2
BEL,Endophytic,2
BEL,Pathogenic,2
BFA,Pathogenic,2
BGD,Mycorrhizal,2
BGD,Pathogenic,2
BOL,Pathogenic,2
CHE,Mycorrhizal,2
CHE,Unknown/Other,2
CHL,Antagonistic/Biocontrol,2
CHL,Mutualistic,2
CHL,Mycorrhizal,2
CHL,Pathogenic,2
COG,Pathogenic,2
COL,Mycorrhizal,2
CRI,Mycorrhizal,2
CUB,Endophytic,2
CUB,Mycorrhizal,2
CUB,Pathogenic,2
DEU,Mycorrhizal,2
ESP,Mycorrhizal,2
EST,Endophytic,2
FRA,Antagonistic/Biocontrol,2
GRC,Endophytic,2
HND,Endophytic,2
HRV,Pathogenic,2
IND,Mutualistic,2
IRL,Endophytic,2
IRL,Pathogenic,2
ISR,Endophytic,2
ISR,Pathogenic,2
ISR,Unknown/Other,2
KOR,Unknown/Other,2
LBY,Endophytic,2
MDG,Endophytic,2
MEX,Antagonistic/Biocontrol,2
NAM,Pathogenic,2
NER,Antagonistic/Biocontrol,2
NLD,Mutualistic,2
NLD,Unknown/Other,2
NOR,Mycorrhizal,2
NPL,Pathogenic,2
NZL,Mycorrhizal,2
OMN,Antagonistic/Biocontrol,2
PAK,Mycorrhizal,2
PER,Antagonistic/Biocontrol,2
PHL,Pathogenic,2
POL,Mutualistic,2
PRT,Antagonistic/Biocontrol,2
PRY,Unknown/Other,2
ROU,Pathogenic,2
SAU,Mycorrhizal,2
SGP,Endophytic,2
SVK,Pathogenic,2
SVN,Mycorrhizal,2
SVN,Pathogenic,2
SWE,Mycorrhizal,2
TUR,Antagonistic/Biocontrol,2
TWN,Unknown/Other,2
TZA,Endophytic,2
TZA,Pathogenic,2
UGA,Pathogenic,2
UKR,Mycorrhizal,2
URY,Endophytic,2
UZB,Endophytic,2
UZB,Pathogenic,2
VEN,Endophytic,2
VNM,Pathogenic,2
VNM,Unknown/Other,2
ZAF,Mycorrhizal,2
ZAF,Unknown/Other,2
ZMB,Pathogenic,2
multiple,Pathogenic,2
uk,Mutualistic,2
AFG,Unknown/Other,1
AGO,Pathogenic,1
ALB,Pathogenic,1
ARE,Antagonistic/Biocontrol,1
ARE,Mutualistic,1
ATA,Mutualistic,1
ATA,Pathogenic,1
AUS,Antagonistic/Biocontrol,1
AUT,Antagonistic/Biocontrol,1
AUT,Mutualistic,1
AUT,Mycorrhizal,1
BDI,Pathogenic,1
BEL,Unknown/Other,1
BEN,Unknown/Other,1
BGR,Unknown/Other,1
BIH,Unknown/Other,1
BLR,Endophytic,1
BLR,Mycorrhizal,1
BLR,Pathogenic,1
BRA,Saprotrophic,1
BTN,Pathogenic,1
CAF,Endophytic,1
CAN,Mutualistic,1
CHN,Saprotrophic,1
CMR,Antagonistic/Biocontrol,1
CMR,Pathogenic,1
CMR,Unknown/Other,1
COD,Endophytic,1
COD,Pathogenic,1
COG,Endophytic,1
COL,Unknown/Other,1
CUB,Antagonistic/Biocontrol,1
CZE,Unknown/Other,1
DNK,Mutualistic,1
DNK,Unknown/Other,1
DZA,Antagonistic/Biocontrol,1
DZA,Mycorrhizal,1
ECU,Mycorrhizal,1
ECU,Unknown/Other,1
EGY,Mutualistic,1
EST,Mycorrhizal,1
ETH,Unknown/Other,1
FRA,Saprotrophic,1
FRO,Endophytic,1
FRO,Unknown/Other,1
GAB,Pathogenic,1
GBR,Mutualistic,1
GBR,Mycorrhizal,1
GBR,Unknown/Other,1
GEO,Pathogenic,1
GHA,Pathogenic,1
GHA,Unknown/Other,1
GIN,Endophytic,1
GIN,Unknown/Other,1
GRC,Antagonistic/Biocontrol,1
GRC,Unknown/Other,1
GRL,Endophytic,1
GUF,Endophytic,1
GUY,Endophytic,1
HKG,Endophytic,1
HKG,Pathogenic,1
HND,Pathogenic,1
HRV,Endophytic,1
HUN,Mutualistic,1
HUN,Mycorrhizal,1
HUN,Unknown/Other,1
IDN,Mutualistic,1
IND,Saprotrophic,1
IRL,Unknown/Other,1
IRN,Antagonistic/Biocontrol,1
IRN,Unknown/Other,1
IRQ,Unknown/Other,1
ISL,Endophytic,1
ISR,Antagonistic/Biocontrol,1
ITA,Mutualistic,1
JAM,Unknown/Other,1
JOR,Pathogenic,1
KAZ,Pathogenic,1
KEN,Antagonistic/Biocontrol,1
KOR,Mycorrhizal,1
KWT,Endophytic,1
LKA,Antagonistic/Biocontrol,1
LTU,Pathogenic,1
LUX,Pathogenic,1
MAR,Mycorrhizal,1
MDA,Pathogenic,1
MDG,Pathogenic,1
MLI,Endophytic,1
MLI,Pathogenic,1
MLT,Endophytic,1
MLT,Pathogenic,1
MOZ,Pathogenic,1
MTQ,Endophytic,1
MUS,Pathogenic,1
MWI,Endophytic,1
MYS,Mutualistic,1
NAM,Endophytic,1
NAM,Mycorrhizal,1
NCL,Pathogenic,1
NGA,Antagonistic/Biocontrol,1
NIC,Endophytic,1
NLD,Antagonistic/Biocontrol,1
NLD,Mycorrhizal,1
NOR,Antagonistic/Biocontrol,1
OMN,Pathogenic,1
OMN,Unknown/Other,1
PAN,Antagonistic/Biocontrol,1
PAN,Mutualistic,1
PAN,Pathogenic,1
PER,Mycorrhizal,1
PER,Unknown/Other,1
PHL,Antagonistic/Biocontrol,1
PHL,Mycorrhizal,1
PHL,Unknown/Other,1
PNG,Endophytic,1
PNG,Unknown/Other,1
PRI,Endophytic,1
PRI,Pathogenic,1
PRT,Unknown/Other,1
PRY,Antagonistic/Biocontrol,1
PRY,Mycorrhizal,1
PYF,Antagonistic/Biocontrol,1
QAT,Antagonistic/Biocontrol,1
REU,Endophytic,1
REU,Mycorrhizal,1
REU,Unknown/Other,1
ROU,Antagonistic/Biocontrol,1
ROU,Endophytic,1
RUS,Mycorrhizal,1
SAU,Mutualistic,1
SDN,Endophytic,1
SDN,Pathogenic,1
SEN,Endophytic,1
SEN,Mycorrhizal,1
SEN,Pathogenic,1
SRB,Endophytic,1
SVN,Unknown/Other,1
SWE,Unknown/Other,1
SYR,Antagonistic/Biocontrol,1
SYR,Endophytic,1
SYR,Pathogenic,1
THA,Antagonistic/Biocontrol,1
THA,Saprotrophic,1
TTO,Pathogenic,1
TTO,Unknown/Other,1
TUN,Antagonistic/Biocontrol,1
TUN,Mutualistic,1
TUN,Pathogenic,1
TUR,Mycorrhizal,1
TWN,Mutualistic,1
TWN,Mycorrhizal,1
TWN,Saprotrophic,1
URY,Antagonistic/Biocontrol,1
URY,Pathogenic,1
USA,Saprotrophic,1
UZB,Unknown/Other,1
VEN,Mutualistic,1
VEN,Pathogenic,1
VEN,Unknown/Other,1
XKX,Pathogenic,1
ZAF,Mutualistic,1
ZWE,Endophytic,1
ZWE,Mycorrhizal,1
africa,Pathogenic,1
americas,Unknown/Other,1
"and the americas)""",Pathogenic,1
arabian peninsula,Unknown/Other,1
asia,Pathogenic,1
asian and african countries,Endophytic,1
"but plant is native to asia)""",Endophytic,1
caribbean,Endophytic,1
central europe,Endophytic,1
central europe,Pathogenic,1
central europe,Unknown/Other,1
czechia,Mycorrhizal,1
earth,Endophytic,1
europe,Mutualistic,1
europe,Mycorrhizal,1
europe and western asia,Pathogenic,1
"extract from reference list if available)""",Pathogenic,1
"extract if available)""",Endophytic,1
"extracted from the title or database search]""",Pathogenic,1
"extracted text)""",Endophytic,1
foreign countries,Pathogenic,1
global,Mutualistic,1
global,Mycorrhizal,1
global,Unknown/Other,1
leningrad region,Endophytic,1
"marine environment)""",Endophytic,1
mediterranean,Endophytic,1
mediterranean basin,Endophytic,1
multiple,Unknown/Other,1
nine countries across six continents,Unknown/Other,1
northern europe,Pathogenic,1
not-specified,Endophytic,1
not-specified,Pathogenic,1
not-specified,Unknown/Other,1
not_mentioned,Unknown/Other,1
not_mentioned_specifically_in_text,Endophytic,1
notprovided,Endophytic,1
red sea,Endophytic,1
red sea coast,Unknown/Other,1
saskatchewan,Mycorrhizal,1
southeast asia,Pathogenic,1
southeastern asian countries,Pathogenic,1
"subarctic and temperate regions""",Endophytic,1
"uk""",Endophytic,1
ussr,Mycorrhizal,1
various,Endophytic,1
"west nusa tenggara""",Endophytic,1
worldwide,Endophytic,1
worldwide,Pathogenic,1
