"code","iso","country","FLI.raw.2020"
104,"MMR","Myanmar",71.7482930200092
516,"NAM","Namibia",NA
520,"NRU","Nauru",NA
524,"NPL","Nepal",72.31353104153
528,"NLD","Netherlands",5.67925020031207
540,"NCL","New Caledonia",85.4684261232414
554,"NZL","New Zealand",70.9083029845627
558,"NIC","Nicaragua",36.1130710454794
562,"NER","Niger",NA
566,"NGA","Nigeria",61.7825506179195
570,"NIU","Niue",NA
408,"PRK","North Korea",80.2263264716901
807,"MKD","North Macedonia",74.332553344181
578,"NOR","Norway",69.7141337544729
512,"OMN","Oman",NA
586,"PAK","Pakistan",NA
585,"PLW","Palau",84.6827811598847
591,"PAN","Panama",63.2639076787436
598,"PNG","Papua New Guinea",88.5871715438909
600,"PRY","Paraguay",63.9369657080521
604,"PER","Peru",88.5641366210566
608,"PHL","Philippines",59.0698195063378
616,"POL","Poland",22.4377399928063
620,"PRT","Portugal",8.6472648009505
634,"QAT","Qatar",NA
178,"COG","Republic of Congo",88.9248178143149
642,"ROU","Romania",59.5667463089926
643,"RUS","Russia",90.1759263331191
646,"RWA","Rwanda",39.8126335184567
652,"BLM","Saint Barthelemy",14.8003529411765
659,"KNA","Saint Kitts and Nevis",46.0744444444444
662,"LCA","Saint Lucia",61.9627175008398
670,"VCT","Saint Vincent and the Grenadines",69.9061610486891
882,"WSM","Samoa",NA
674,"SMR","San Marino",0.0896296296296296
678,"STP","Sao Tome and Principe",NA
682,"SAU","Saudi Arabia",NA
686,"SEN","Senegal",71.166684322305
688,"SRB","Serbia",52.7597611217931
690,"SYC","Seychelles",NA
694,"SLE","Sierra Leone",27.3972638715207
702,"SGP","Singapore",4.14435011269722
534,"SXM","Sint Maarten",11.4984795321637
703,"SVK","Slovakia",43.1723196304058
705,"SVN","Slovenia",37.8755015348013
90,"SLB","Solomon Islands",72.2704935264469
706,"SOM","Somalia",NA
710,"ZAF","South Africa",NA
410,"KOR","South Korea",60.2772347192477
728,"SSD","South Sudan",94.444711252635
724,"ESP","Spain",42.333025205896
144,"LKA","Sri Lanka",58.3689987555108
275,"PSE","State of Palestine",NA
729,"SDN","Sudan",NA
740,"SUR","Suriname",93.8923663630133
752,"SWE","Sweden",53.4967734923226
756,"CHE","Switzerland",35.1798389586648
760,"SYR","Syria",NA
158,"TWN","Taiwan",64.1093901024453
762,"TJK","Tajikistan",NA
834,"TZA","Tanzania",71.3080129043697
764,"THA","Thailand",60.1259199833548
626,"TLS","Timor-Leste",71.0295829296844
768,"TGO","Togo",59.6000811722368
776,"TON","Tonga",NA
780,"TTO","Trinidad and Tobago",66.2918332814515
788,"TUN","Tunisia",NA
792,"TUR","Turkiye",63.8342155819005
795,"TKM","Turkmenistan",NA
796,"TCA","Turks and Caicos Islands",NA
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",43.4931852335886
804,"UKR","Ukraine",32.1671151815743
784,"ARE","United Arab Emirates",NA
826,"GBR","United Kingdom",16.135162963276
840,"USA","United States of America",66.5372793762791
858,"URY","Uruguay",NA
860,"UZB","Uzbekistan",NA
548,"VUT","Vanuatu",88.6708218842624
862,"VEN","Venezuela",87.7795411561628
704,"VNM","Viet Nam",53.8781975581051
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",NA
894,"ZMB","Zambia",75.1242738947193
716,"ZWE","Zimbabwe",63.4668817523833
