"code","iso","country","TCG.raw.2020"
466,"MLI","Mali",NA
470,"MLT","Malta",NA
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",NA
480,"MUS","Mauritius",NA
484,"MEX","Mexico",-1.24961159724414
583,"FSM","Micronesia",NA
498,"MDA","Moldova",NA
492,"MCO","Monaco",NA
496,"MNG","Mongolia",NA
499,"MNE","Montenegro",-1.81799878890259
504,"MAR","Morocco",NA
508,"MOZ","Mozambique",-10.2136484888013
104,"MMR","Myanmar",-3.45591436625199
516,"NAM","Namibia",NA
520,"NRU","Nauru",NA
524,"NPL","Nepal",1.46459527369351
528,"NLD","Netherlands",6.96115327326451
540,"NCL","New Caledonia",-1.01351744978707
554,"NZL","New Zealand",-0.974464380463636
558,"NIC","Nicaragua",-10.7502209000343
562,"NER","Niger",NA
566,"NGA","Nigeria",-6.06550860800472
570,"NIU","Niue",NA
408,"PRK","North Korea",1.12407268726535
807,"MKD","North Macedonia",-1.33544756090443
578,"NOR","Norway",-1.35168512991617
512,"OMN","Oman",NA
586,"PAK","Pakistan",NA
585,"PLW","Palau",-0.21370984070292
591,"PAN","Panama",-3.49494579546859
598,"PNG","Papua New Guinea",-0.0776534296129005
600,"PRY","Paraguay",-24.696891618131
604,"PER","Peru",-0.970326500386136
608,"PHL","Philippines",-1.44628084750847
616,"POL","Poland",3.84563110626594
620,"PRT","Portugal",-3.38821121559561
634,"QAT","Qatar",NA
178,"COG","Republic of Congo",-1.37652334032518
642,"ROU","Romania",1.46478190287314
643,"RUS","Russia",-0.0227139335417543
646,"RWA","Rwanda",-2.85789593648375
652,"BLM","Saint Barthelemy",-3.931918183936
659,"KNA","Saint Kitts and Nevis",1.18436082481568
662,"LCA","Saint Lucia",-1.36465862271424
670,"VCT","Saint Vincent and the Grenadines",-2.34753145345638
882,"WSM","Samoa",NA
674,"SMR","San Marino",1.06439760053185
678,"STP","Sao Tome and Principe",NA
682,"SAU","Saudi Arabia",NA
686,"SEN","Senegal",-0.764057772680571
688,"SRB","Serbia",1.17802148549317
690,"SYC","Seychelles",NA
694,"SLE","Sierra Leone",-9.0199709656683
702,"SGP","Singapore",-1.86715117735875
534,"SXM","Sint Maarten",-2.36611968078009
703,"SVK","Slovakia",-1.57730088307503
705,"SVN","Slovenia",-0.482437735316541
90,"SLB","Solomon Islands",-0.842703737930863
706,"SOM","Somalia",NA
710,"ZAF","South Africa",NA
410,"KOR","South Korea",-1.02090601395651
728,"SSD","South Sudan",1.05048481383157
724,"ESP","Spain",0.252546824075769
144,"LKA","Sri Lanka",-3.79351520592108
275,"PSE","State of Palestine",NA
729,"SDN","Sudan",NA
740,"SUR","Suriname",-0.423470949636201
752,"SWE","Sweden",-3.49540456490349
756,"CHE","Switzerland",-0.767665134930237
760,"SYR","Syria",NA
158,"TWN","Taiwan",0.166685597384316
762,"TJK","Tajikistan",NA
834,"TZA","Tanzania",-11.2993054475832
764,"THA","Thailand",0.38301498183448
626,"TLS","Timor-Leste",-0.109869848695595
768,"TGO","Togo",-5.85961312703599
776,"TON","Tonga",NA
780,"TTO","Trinidad and Tobago",-3.18071542442412
788,"TUN","Tunisia",NA
792,"TUR","Turkiye",0.650217121528898
795,"TKM","Turkmenistan",NA
796,"TCA","Turks and Caicos Islands",NA
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",-23.4017612301284
804,"UKR","Ukraine",4.07773859934994
784,"ARE","United Arab Emirates",NA
826,"GBR","United Kingdom",2.72112059200922
840,"USA","United States of America",-1.2288410740994
858,"URY","Uruguay",NA
860,"UZB","Uzbekistan",NA
548,"VUT","Vanuatu",-0.32068397298369
862,"VEN","Venezuela",-2.48915187232115
704,"VNM","Viet Nam",-3.14559890956874
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",NA
894,"ZMB","Zambia",-7.30561726920482
716,"ZWE","Zimbabwe",-5.91097145402282
