"code","iso","country","PCR.raw.1961","PCR.raw.1962","PCR.raw.1963","PCR.raw.1964","PCR.raw.1965","PCR.raw.1966","PCR.raw.1967","PCR.raw.1968","PCR.raw.1969","PCR.raw.1970","PCR.raw.1971","PCR.raw.1972","PCR.raw.1973","PCR.raw.1974","PCR.raw.1975","PCR.raw.1976","PCR.raw.1977","PCR.raw.1978","PCR.raw.1979","PCR.raw.1980","PCR.raw.1981","PCR.raw.1982","PCR.raw.1983","PCR.raw.1984","PCR.raw.1985","PCR.raw.1986","PCR.raw.1987","PCR.raw.1988","PCR.raw.1989","PCR.raw.1990","PCR.raw.1991","PCR.raw.1992","PCR.raw.1993","PCR.raw.1994","PCR.raw.1995","PCR.raw.1996","PCR.raw.1997","PCR.raw.1998","PCR.raw.1999","PCR.raw.2000","PCR.raw.2001","PCR.raw.2002","PCR.raw.2003","PCR.raw.2004","PCR.raw.2005","PCR.raw.2006","PCR.raw.2007","PCR.raw.2008","PCR.raw.2009","PCR.raw.2010","PCR.raw.2011","PCR.raw.2012","PCR.raw.2013","PCR.raw.2014","PCR.raw.2015","PCR.raw.2016","PCR.raw.2017","PCR.raw.2018","PCR.raw.2019","PCR.raw.2020","PCR.raw.2021"
36,"AUS","Australia",2.7362,3.0965,3.2809,3.4499,2.4941,3.766,2.3534,3.7608,3.1685,3.1065,3.8655,2.9936,4.9475,4.8732,5.7305,5.2657,4.3902,6.4244,5.7939,4.2537,5.7245,3.5596,6.9,5.8286,5.6252,5.73,5.1901,6.1829,6.4241,6.732,6.9308,6.8249,7.423,7.5471,5.8392,7.6582,8.7663,7.8422,8.2218,8.4178,7.8708,8.2231,4.7293,7.868,7.1071,8.1291,4.4061,5.627,6.4563,6.9081,6.852,7.7438,6.909,6.9171,6.5859,6.661,9.2367,6.9054,5.3819,4.6944,8.7662
40,"AUT","Austria",7.2949,7.2729,7.6828,7.9712,6.4057,8.5526,9.1821,9.5526,9.7979,8.9839,9.7215,9.2152,10.5596,11.0846,10.483,11.5357,11.0611,11.6984,10.5358,12.4743,11.387,13.2938,13.6812,14.5668,14.7436,13.6273,13.9219,15.0561,14.3854,15.5648,15.0575,13.934,13.7945,14.546,14.2445,13.7909,15.4958,15.3423,15.6028,13.9018,15.1723,14.88,13.2914,16.5848,15.3663,14.4113,14.8031,17.5515,16.1381,15.3402,17.8759,15.0677,14.9955,18.2053,15.3028,17.8607,15.6566,15.2135,16.6161,17.2944,16.9722
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0601,4.2777,3.9527,3.6218,3.8537,3.1049,2.83,3.0266,3.9281,4.8186,5.1961,5.1393,5.4984,5.978,5.5558,5.2294,5.8473,6.4849,4.7768,5.7404,6.2344,6.3344,5.2514,6.2307,6.4998,6.7134,7.4327,8.1315,7.8535,7.7942
44,"BHS","Bahamas",2.1004,2.183,2.2714,2.3422,2.4192,2.8602,3.2556,3.1263,2.9831,3.6654,2.8778,4.1515,4.1168,4.2659,4.5856,5.3853,5.0256,4.5356,4.6206,4.5609,5.307,5.2526,4.5658,5.191,4.6985,4.3944,4.4978,4.8644,5.3048,5.4513,4.8068,4.3054,4.7384,5.4536,4.9924,5.3252,5.0407,5.4753,5.7341,5.4209,5.9107,5.3312,5.416,5.698,5.695,6.0931,6.4296,6.469,6.2362,7.8603,7.26,7.2507,7.2859,7.6243,7.7384,7.7145,7.7476,7.8099,7.7595,7.7981,7.8254
48,"BHR","Bahrain",2.9769,3.0106,3.0427,3.0427,3.0587,2.8849,2.9243,2.9426,2.9606,2.9802,3.0384,3.0766,3.0769,3.3192,4.6078,6.0684,7.5542,7.4394,7.2513,7.3322,3.5044,2.8033,2.8111,2.8286,3.1969,3.3448,3.706,3.7505,3.7555,2.2644,2.463,2.7564,2.9573,3.491,4.1379,4.2447,4.1996,5.745,5.3934,4.5761,4.4261,4.2256,4.1724,4.3045,3.8726,6.0062,5.1733,5.037,5.2321,5.276,5.1903,5.556,5.6616,5.8666,6.1355,6.7305,5.929,6.0541,6.2612,6.4452,6.6745
50,"BGD","Bangladesh",5.6143,5.2686,6.1238,6.051,6.067,5.6979,6.5407,6.6401,7.0274,6.5917,5.9759,5.8033,6.6126,6.349,7.1066,6.7194,7.3436,7.4822,7.4232,8.056,8.0589,8.3199,8.575,8.5797,8.9672,8.9182,8.8064,8.5967,9.5078,9.5539,9.8898,10.8382,10.9087,10.3728,10.8224,11.5303,11.5555,12.0687,13.6296,14.7158,14.2422,14.7139,15.0082,14.3255,16.1309,16.2321,17.1937,18.7445,18.9581,19.9467,20.7122,20.8277,21.0917,21.4733,21.4272,20.9139,22.4167,22.2842,21.7932,22.0072,22.4202
52,"BRB","Barbados",27.0292,28.2863,32.6312,28.7436,33.2346,30.0438,35.1093,27.0482,24.963,28.3904,24.4245,21.3337,20.5203,18.7156,16.9543,18.1343,20.5833,18.0089,20.6811,23.6407,19.0272,16.2085,14.5099,16.2133,15.7112,17.8236,13.981,14.0166,11.5969,12.472,12.0492,10.936,9.3797,9.6615,8.2105,11.2336,11.7094,9.6096,11.4608,11.8845,9.486,9.9721,9.1705,9.4943,11.3548,9.3932,9.4352,8.3439,9.4332,7.9118,9.2237,9.3888,7.4216,7.3038,6.5917,6.2561,7.9426,8.9698,6.6201,6.6713,6.5741
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6763,6.258,4.808,4.6865,5.0935,5.095,4.2514,3.4962,4.4536,4.7993,5.2699,5.2239,6.6787,6.0161,5.8054,6.7063,8.2829,7.8384,6.7019,7.3424,8.3963,7.1117,8.4332,7.2625,6.4449,7.2904,5.9086,6.7899,7.7476,7.1578
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0375,20.3055,22.9509,22.5479,24.8887,23.1747,21.3576,22.1709,22.6795,24.4495,23.4595,24.1147,23.4314,23.9347,25.565,23.9955,18.9914,23.4838,18.9801,21.4231,19.7374,19.2816
84,"BLZ","Belize",2.8084,2.3148,2.3839,3.1657,3.4443,4.0219,5.2124,6.0128,5.2711,6.7579,6.4665,6.6242,7.0412,7.576,6.857,6.2324,8.1849,9.4422,8.1697,8.6081,8.4694,9.0881,8.7439,8.1292,7.969,7.2035,6.4511,6.0258,6.5509,6.8826,7.1431,7.0509,7.0396,6.8325,6.6745,7.2032,7.8826,7.2036,7.5101,8.2433,8.2767,8.9659,9.5324,11.9481,11.8136,12.9143,13.2544,11.5383,11.4633,12.5863,11.0118,10.6644,11.878,12.5473,9.0732,8.5093,9.429,8.895,8.2806,8.2682,9.6479
204,"BEN","Benin",2.5185,2.3531,2.2615,2.2518,2.282,2.0656,2.3599,2.4024,2.1597,2.2576,2.1737,2.1963,2.2961,2.0192,1.8037,1.9353,1.9569,2.241,2.2569,1.981,1.9154,1.9683,1.9961,2.8851,2.8853,3.2,2.4828,3.1927,3.1954,3.4712,3.8895,3.7297,4.5456,4.4113,4.7704,4.9448,4.6796,4.4067,4.5458,4.4147,4.4151,4.7206,4.4135,4.8202,3.8692,3.8881,4.2307,4.3273,4.3398,4.1954,4.9861,4.8789,5.1809,5.5568,5.0234,5.856,6.5699,7.3847,7.613,7.5706,7.9167
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",3.0193,3.1157,3.2085,3.295,3.3512,3.4404,3.5369,3.6221,3.7083,3.4937,3.578,3.6346,3.7177,3.6661,3.7465,3.6483,3.7346,3.8213,3.7853,3.7741,3.923,3.8777,3.8046,4.08,3.771,3.728,3.4201,2.4366,2.5721,3.118,2.687,2.7273,3.0204,3.2243,3.4259,3.533,3.5763,3.538,3.2692,2.3723,2.5674,2.2201,2.5388,3.3514,4.4594,4.7392,5.195,5.9965,5.1991,5.2172,6.697,5.8798,5.9501,6.0281,6.1537,6.7993,7.649,5.3565,4.9392,5.1089,4.0552
68,"BOL","Bolivia",1.6984,1.7298,1.9049,1.8184,1.9197,1.877,1.8477,2.0318,2.0579,2.0431,2.1445,2.3227,2.8212,2.6895,2.7534,2.7211,2.531,2.5635,2.5244,2.469,2.6875,2.6472,1.8037,2.6576,3.0782,3.0591,2.9411,2.962,3.184,3.2659,3.8986,3.7152,4.3093,4.493,4.7841,4.7919,4.6062,4.8546,4.4689,4.7176,4.7894,4.8562,5.2003,5.0164,5.1502,5.1776,5.0359,4.7856,6.0435,5.2802,5.3063,6.4878,6.8805,6.8184,7.5243,7.4345,6.6204,7.5489,7.2279,7.0924,8.0948
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7326,4.362,3.8901,3.3983,3.6345,5.0514,5.2251,5.2852,3.7268,4.3214,4.9395,3.3062,5.348,5.0771,5.0452,4.1314,5.2283,5.2743,4.2886,4.4184,3.6999,4.7655,4.1031,4.3889,5.9617,4.3296,6.2934,6.0261,6.9921,5.3479
72,"BWA","Botswana",0.936,0.4013,0.4314,0.4872,0.4715,0.613,0.9064,0.5289,0.7717,0.3694,1.2448,1.0364,0.5982,1.3184,0.9384,1.411,1.0276,0.7018,0.4754,0.7907,0.8515,0.5212,0.4752,0.4046,0.5195,0.5366,0.5374,1.3124,1.025,0.8432,0.9032,0.6551,0.7321,0.7273,0.8929,1.2109,0.8221,0.6662,0.7487,0.5522,0.9715,0.9327,1.2779,0.9127,1.1213,1.2748,1.1976,0.9295,0.9222,1.1796,1.2877,0.8728,0.6179,0.6969,1.1181,1.0975,0.7398,1.6788,1.1273,2.9193,2.0983
76,"BRA","Brazil",3.6878,3.9196,3.8858,3.8351,4.4167,4.1524,4.4876,4.4811,4.5429,4.7849,4.8942,4.8849,5.0711,5.5758,5.5734,5.5585,5.6926,4.6252,4.711,5.3305,5.309,5.2722,5.1275,5.6402,6.355,5.906,6.7249,7.1625,7.744,6.8729,6.8607,7.9697,8.1962,9.3225,9.9199,8.888,9.5222,9.8003,10.111,10.2208,11.3767,11.5498,13.5404,13.3279,12.8563,13.2225,14.7689,16.0009,15.182,16.6606,17.8737,17.1597,19.1912,19.703,20.865,19.5316,22.7931,22.4192,23.0672,23.8939,23.8988
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",1.498,1.562,1.285,0.9867,0.8948,1.0238,1.3825,1.3145,1.5391,1.5184,1.6386,1.6807,2.2824,3.1462,3.1374,2.7,2.4069,2.2579,2.4812,1.9571,1.9177,2.3299,2.5143,2.4469,1.2764,1.4603,1.3026,1.6136,1.47,1.3654,1.3407,1.2465,1.3638,1.4174,1.5093,1.6055,1.5743,1.5147,1.6151,1.9263,1.7491,1.8404,1.8768,1.9138,1.8346,1.5888,1.6155,1.6277,1.5016,1.587,1.7281,1.8143,1.7282,1.796,1.873,1.9033,1.87,1.8034,1.8028,2.0381,2.0564
100,"BGR","Bulgaria",4.5517,4.7587,4.8238,5.5675,5.6219,7.2002,6.8858,5.6168,6.3294,6.8101,7.0277,7.9493,7.2972,6.7223,7.8032,8.4905,7.7257,7.7817,8.5168,7.981,8.8626,10.2887,8.1274,9.5205,6.0294,8.8004,7.7323,8.1756,9.7295,8.4348,8.8854,6.6905,5.6594,6.5895,6.9256,3.7283,5.8477,6.1988,5.9757,5.1914,7.0023,8.1308,5.2686,9.3162,7.742,7.8395,5.4895,10.2468,9.2342,10.8839,10.9087,9.6037,12.1226,12.751,11.3857,12.1258,13.2227,13.3012,14.0463,10.9942,14.5483
854,"BFA","Burkina Faso",1.8035,2.1462,2.1555,2.387,2.2635,2.4034,2.4473,2.6494,2.5707,2.5496,2.2154,2.1622,1.9833,2.4272,2.7461,2.3547,2.3645,2.4953,2.5848,2.2971,2.6464,2.5428,2.4033,2.4009,3.327,3.8228,3.2992,3.4868,3.2965,2.8655,4.1815,4.0278,4.0099,3.8548,3.8568,4.2029,3.6472,4.3963,4.1483,3.2138,4.8135,4.7615,5.3112,4.5465,5.6426,5.6265,4.0477,6.0724,4.767,5.6574,4.5347,5.6973,5.9903,5.9925,5.4271,5.613,5.2396,5.3313,5.7335,5.8991,5.3116
108,"BDI","Burundi",3.589,3.4211,3.3302,3.6121,3.5103,3.5309,3.5679,3.6114,2.8819,3.1645,3.2682,2.9821,3.1819,2.7215,3.2075,3.2504,3.265,3.1837,3.2194,3.263,3.4867,3.355,3.3614,3.1381,3.7265,3.8397,3.93,3.9785,3.5408,4.0416,4.2088,4.2714,4.17,3.28,3.8437,3.7213,3.7408,3.5357,3.4427,3.2866,3.7387,3.9887,3.6323,3.9157,3.6289,3.8621,3.672,3.7547,3.7778,3.9742,3.8549,3.325,4.0992,3.7211,3.7092,4.439,4.0819,4.5817,5.6473,5.3974,4.6837
132,"CPV","Cabo Verde",2.4543,2.6687,2.735,2.8325,3.198,3.4284,3.4518,2.0802,1.8195,1.1931,1.0628,0.9955,0.9867,1.13,1.2598,1.4575,1.1807,1.3038,1.8255,2.7102,1.4422,1.5962,1.3979,1.7888,1.3267,2.595,4.218,3.4969,3.0332,2.6827,2.0964,1.9672,1.9299,1.5748,1.5305,1.6906,1.3139,1.3877,3.4553,3.4043,2.9801,2.0511,2.4592,2.2787,1.9171,2.0661,2.0039,2.0467,1.8981,1.8469,1.909,2.0589,2.1034,1.7844,2.3319,2.0125,1.6659,1.2436,1.3201,1.3673,1.4052
116,"KHM","Cambodia",2.9559,2.5081,3.1155,3.2402,2.8941,2.7877,2.9152,3.7549,3.1108,4.4402,5.0008,3.6471,2.2667,1.5745,2.2193,2.2314,2.1003,1.9656,1.243,2.8476,2.5735,3.1349,3.2837,2.1904,2.6547,2.6692,2.0726,2.3895,2.3664,2.2605,2.2106,2.0975,2.1806,2.0642,2.9758,2.9623,3.0062,3.0127,3.4827,3.504,3.568,3.3747,4.2605,3.9481,5.4747,5.7323,6.2264,6.7201,7.3134,7.7297,8.2241,8.5925,8.6315,8.2847,8.171,8.7138,9.0276,9.4776,9.0756,9.1676,9.2626
120,"CMR","Cameroon",1.0682,1.1108,1.1987,1.1698,1.1608,1.1873,1.1905,1.2535,1.3731,1.3677,1.3637,1.3984,1.363,1.4776,1.5884,1.4053,1.3724,1.3111,1.3345,1.3562,1.3349,1.3871,1.3288,1.2179,1.3414,1.55,1.2779,1.4848,1.3937,1.4425,1.5069,1.5189,1.5722,1.6489,1.8845,2.0285,1.9336,2.087,2.0594,2.1498,2.2137,2.299,2.4487,2.4351,2.9486,3.0985,3.3387,3.3013,3.5008,3.6667,3.6597,3.8841,3.9823,4.1187,4.529,4.5871,4.3555,4.5041,4.6712,4.5684,4.639
124,"CAN","Canada",1.9105,3.1489,3.6476,3.0726,3.4904,4.0856,3.1519,3.6226,3.8236,3.3085,4.2493,3.7616,3.8831,3.2946,3.9973,4.4926,4.5363,4.7419,4.2001,4.4344,5.1477,5.5169,4.9753,4.7178,5.2509,6.1395,5.7066,4.2229,5.2054,6.1341,6.0598,5.6432,6.2829,6.3939,6.5215,6.9763,6.6341,7.1314,7.6638,7.2678,5.7674,4.9576,6.7577,7.5171,8.0127,7.6911,7.6498,9.3999,9.0549,8.7825,9.2333,9.702,12.2874,10.4935,10.913,12.0211,12.0492,11.8884,11.9587,12.6031,8.9296
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",0.7875,0.8641,0.8414,0.8362,0.8245,0.9123,1.0141,1.0698,1.1033,1.0491,1.0085,1.0694,1.0553,1.1387,1.0779,1.1083,1.0292,0.982,1.0561,1.0304,1.0401,1.1378,1.0764,1.0753,1.1058,1.2238,1.0301,1.115,1.1119,1.079,0.9836,1.0151,0.9848,1.1051,1.2033,1.3492,1.4355,1.44,1.3722,1.421,1.5326,1.4324,1.3674,1.4239,1.4578,1.5073,1.5825,1.5964,1.6868,1.6659,1.7755,1.84,1.7543,1.5907,1.535,1.5764,1.6961,1.7372,1.7718,1.8126,1.7959
148,"TCD","Chad",1.5749,1.73,2.0825,1.8538,1.6875,1.8095,1.7464,1.9649,1.8426,1.6631,1.6749,1.4119,1.4307,1.7296,1.7975,1.6524,1.6316,1.6682,1.406,1.4111,1.1395,1.2465,1.543,1.2055,1.68,1.5146,1.5373,1.8734,1.7305,1.6882,2.0221,2.0255,1.4922,2.3157,2.1114,2.3003,2.5096,2.7248,2.5513,2.3056,2.8448,2.5737,2.8145,2.535,3.1005,2.969,2.93,2.9524,2.4189,4.4035,2.5703,4.3208,3.2903,3.3746,3.117,3.5466,3.1201,3.3169,3.5865,3.4451,3.2999
152,"CHL","Chile",2.2976,2.2152,2.4455,2.5124,2.4482,2.819,2.7551,2.7999,2.3858,2.6728,2.768,2.5955,1.8973,2.261,2.3578,2.2444,2.907,2.3609,2.8032,2.6872,2.6507,2.5792,2.4919,3.3667,3.6758,4.3201,4.8737,5.0065,5.3307,5.4887,5.6733,6.5397,6.2999,6.4207,7.1854,7.1149,7.7646,7.9676,7.1575,7.9395,9.0222,9.6977,10.6508,11.2372,11.7175,11.5643,10.0158,10.8516,10.5542,11.8766,13.1437,12.0029,13.4956,12.1639,13.0835,13.3588,12.7339,13.5652,12.268,11.1023,11.3823
156,"CHN","China",5.6532,6.1823,6.6658,7.3648,7.9088,8.5877,8.7722,8.586,8.5478,9.5789,9.8637,9.4989,10.6692,10.7966,11.25,11.2042,11.0933,12.4379,13.0466,12.864,13.3339,13.9823,14.5561,14.8625,12.9366,12.9966,13.4845,13.1583,13.1874,14.4053,14.4079,14.6389,15.1907,15.2123,16.0193,16.9605,17.0328,17.4223,17.3989,16.9139,16.952,17.0997,16.4496,17.9094,18.1442,18.6492,18.9065,19.8544,19.6404,20.0859,21.1486,21.8817,22.2339,22.5427,23.9584,23.9216,24.4537,24.7404,25.6439,25.3926,25.6642
170,"COL","Colombia",3.1952,3.4821,3.2038,3.5181,3.429,3.516,3.6742,4.0356,4.0387,4.1618,4.2182,4.5656,4.577,5.154,5.5135,5.4953,5.6438,6.0601,6.0896,6.2275,6.171,5.7724,5.6666,5.7913,5.9253,6.0309,6.2637,6.7122,7.1024,7.6426,8.1775,7.6877,7.3466,7.3752,7.9957,8.6774,8.3526,7.6888,8.1727,7.8395,8.6667,9.8761,10.7331,11.3661,11.4482,11.831,11.8412,11.897,12.1386,11.1959,11.499,12.0785,12.1915,12.3785,12.2829,12.154,11.3458,10.0119,10.0903,9.8316,9.6079
174,"COM","Comoros",2.8375,2.8474,2.8332,2.9253,2.8631,3.0845,3.117,3.192,3.3149,3.2222,3.1432,2.8872,3.5216,3.415,2.9885,3.0671,3.1605,3.1467,3.2857,3.0314,2.7036,2.8243,2.878,2.594,2.6413,2.7572,2.5875,2.6084,2.7125,3.1681,3.1852,3.2478,3.15,2.8772,3.2961,3.323,3.2664,3.2851,3.3051,3.2659,3.2909,3.2721,3.3017,3.3483,3.3501,3.4469,3.5111,3.6571,3.7801,3.9253,4.0835,4.2011,4.3325,3.775,4.0942,4.4106,4.4502,4.5437,4.5643,4.5369,4.5547
184,"COK","Cook Islands",6.7446,6.7018,6.9835,7.1604,7.7294,7.8665,6.5593,10.0494,8.0324,8.0361,8.1628,6.7951,7.3204,7.1235,7.007,6.8864,6.5451,6.134,7.7641,6.9343,8.1744,8.2555,6.1055,7.2969,7.1924,6.7207,4.7577,7.8323,6.2193,4.9122,5.964,6.6929,7.7212,7.3173,8.552,9.959,11.407,12.832,7.2667,7.6279,7.6121,10.2938,9.0707,7.314,8.4818,9.8739,9.7254,9.6993,9.2367,8.882,9.0733,9.3319,9.4566,9.3718,9.1565,9.3066,9.0686,9.1595,9.1564,9.12,9.1441
