"code","iso","country","PHL.raw.2022"
372,"IRL","Ireland",99.218364080576
833,"IMN","Isle of Man",NA
376,"ISR","Israel",98.6185408567854
380,"ITA","Italy",90.2959559328945
388,"JAM","Jamaica",91.6066693904591
392,"JPN","Japan",96.2185210364548
832,"JEY","Jersey",NA
400,"JOR","Jordan",97.7443454488521
398,"KAZ","Kazakhstan",85.267089728122
404,"KEN","Kenya",83.4185877448287
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",NA
414,"KWT","Kuwait",99.9605401764873
417,"KGZ","Kyrgyzstan",95.5843705945446
418,"LAO","Laos",99.5306684339795
428,"LVA","Latvia",92.2196552466082
422,"LBN","Lebanon",96.3493253649652
426,"LSO","Lesotho",95.9942050356378
430,"LBR","Liberia",99.4530016899458
434,"LBY","Libya",NA
438,"LIE","Liechtenstein",NA
440,"LTU","Lithuania",89.781314131067
442,"LUX","Luxembourg",70.016316401906
446,"MAC","Macao",NA
450,"MDG","Madagascar",98.4358806924644
454,"MWI","Malawi",98.3949338961439
458,"MYS","Malaysia",99.4124472273055
462,"MDV","Maldives",NA
466,"MLI","Mali",98.6342813969125
470,"MLT","Malta",78.515188291547
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",NA
480,"MUS","Mauritius",99.9467566330288
484,"MEX","Mexico",96.121912873439
583,"FSM","Micronesia",NA
498,"MDA","Moldova",NA
492,"MCO","Monaco",NA
496,"MNG","Mongolia",93.5523344674902
499,"MNE","Montenegro",97.7046952821434
504,"MAR","Morocco",94.0462161110272
508,"MOZ","Mozambique",99.4414195296169
104,"MMR","Myanmar",99.1717338080677
516,"NAM","Namibia",96.5146456727106
520,"NRU","Nauru",NA
524,"NPL","Nepal",95.9371066715704
528,"NLD","Netherlands",93.2326641459787
540,"NCL","New Caledonia",99.9313832497767
554,"NZL","New Zealand",99.9153394986331
558,"NIC","Nicaragua",99.356329288992
562,"NER","Niger",98.1816311271757
566,"NGA","Nigeria",89.7203739170166
570,"NIU","Niue",NA
408,"PRK","North Korea",NA
807,"MKD","North Macedonia",99.0372198914445
578,"NOR","Norway",99.9760737870342
512,"OMN","Oman",99.7589183614985
586,"PAK","Pakistan",85.7366239599679
585,"PLW","Palau",NA
591,"PAN","Panama",99.6309922397072
598,"PNG","Papua New Guinea",99.7629774464126
600,"PRY","Paraguay",96.9439666351907
604,"PER","Peru",99.7131022281314
608,"PHL","Philippines",96.266018797601
616,"POL","Poland",73.5501775853707
620,"PRT","Portugal",90.8531755309295
634,"QAT","Qatar",99.7581886493479
178,"COG","Republic of Congo",97.837166158173
642,"ROU","Romania",94.9291701078456
643,"RUS","Russia",98.5588259381724
646,"RWA","Rwanda",99.8775412650801
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",NA
662,"LCA","Saint Lucia",96.8701793630243
670,"VCT","Saint Vincent and the Grenadines",99.9251449079156
882,"WSM","Samoa",98.2133694863313
674,"SMR","San Marino",NA
678,"STP","Sao Tome and Principe",96.8529717351923
682,"SAU","Saudi Arabia",99.1981799187589
686,"SEN","Senegal",93.238511465888
688,"SRB","Serbia",97.4428273656576
690,"SYC","Seychelles",99.2702919267979
694,"SLE","Sierra Leone",99.4478288355426
702,"SGP","Singapore",98.5349389694438
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",94.881521915473
705,"SVN","Slovenia",91.9698635133344
90,"SLB","Solomon Islands",99.9455139847439
706,"SOM","Somalia",NA
710,"ZAF","South Africa",96.8020309501634
410,"KOR","South Korea",93.9334177687373
728,"SSD","South Sudan",94.6100101672551
724,"ESP","Spain",93.589264907181
144,"LKA","Sri Lanka",96.6736212012486
275,"PSE","State of Palestine",73.86355487467
729,"SDN","Sudan",92.6391667303896
740,"SUR","Suriname",99.7760255793032
752,"SWE","Sweden",99.8926689656589
756,"CHE","Switzerland",98.8523110474212
760,"SYR","Syria",NA
158,"TWN","Taiwan",99.7004716161065
762,"TJK","Tajikistan",98.0373079835753
834,"TZA","Tanzania",96.3799356265788
764,"THA","Thailand",98.9745909870251
626,"TLS","Timor-Leste",98.7951984173162
768,"TGO","Togo",87.0611332976012
776,"TON","Tonga",99.658259468022
780,"TTO","Trinidad and Tobago",98.8361882744655
788,"TUN","Tunisia",99.2561540339888
792,"TUR","Turkiye",85.7337760832265
795,"TKM","Turkmenistan",93.9631623141113
796,"TCA","Turks and Caicos Islands",NA
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",93.3576264102054
804,"UKR","Ukraine",79.5353667490402
784,"ARE","United Arab Emirates",99.87154022832
826,"GBR","United Kingdom",86.7458298717571
840,"USA","United States of America",98.1415546373036
858,"URY","Uruguay",98.1227400661677
860,"UZB","Uzbekistan",95.6570943304604
548,"VUT","Vanuatu",99.8443488237855
862,"VEN","Venezuela",98.5187164762583
704,"VNM","Viet Nam",96.9693060758389
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",NA
894,"ZMB","Zambia",98.606828388281
716,"ZWE","Zimbabwe",96.3824144007099
