"code","iso","country","PAR.raw.2024"
268,"GEO","Georgia",0.109566
276,"DEU","Germany",0.213958
288,"GHA","Ghana",0.136377
300,"GRC","Greece",0.126892
304,"GRL","Greenland",0.316125
308,"GRD","Grenada",NA
320,"GTM","Guatemala",0.173176
831,"GGY","Guernsey",NA
324,"GIN","Guinea",0.193974
624,"GNB","Guinea-Bissau",0.185671
328,"GUY","Guyana",0.259197
332,"HTI","Haiti",0.146386
336,"VAT","Holy See",NA
340,"HND","Honduras",0.188571
344,"HKG","Hong Kong",NA
348,"HUN","Hungary",0.130489
352,"ISL","Iceland",0.185041
356,"IND","India",0.0322561
360,"IDN","Indonesia",0.0797518
364,"IRN","Iran",0.0691196
368,"IRQ","Iraq",0.0662719
372,"IRL","Ireland",0.149547
833,"IMN","Isle of Man",NA
376,"ISR","Israel",0.088027
380,"ITA","Italy",0.168217
388,"JAM","Jamaica",0.14455
392,"JPN","Japan",0.10189
832,"JEY","Jersey",NA
400,"JOR","Jordan",0.11616
398,"KAZ","Kazakhstan",0.0747667
404,"KEN","Kenya",0.131202
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",0.155512
414,"KWT","Kuwait",0.143873
417,"KGZ","Kyrgyzstan",0.126444
418,"LAO","Laos",0.119137
428,"LVA","Latvia",0.140381
422,"LBN","Lebanon",0.0797291
426,"LSO","Lesotho",0.10312
430,"LBR","Liberia",0.100908
434,"LBY","Libya",0.0511683
438,"LIE","Liechtenstein",NA
440,"LTU","Lithuania",0.138394
442,"LUX","Luxembourg",0.243105
446,"MAC","Macao",NA
450,"MDG","Madagascar",0.122562
454,"MWI","Malawi",0.1869
458,"MYS","Malaysia",0.0789872
462,"MDV","Maldives",NA
466,"MLI","Mali",0.0819664
470,"MLT","Malta",NA
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",0.0491509
480,"MUS","Mauritius",NA
484,"MEX","Mexico",0.0864364
583,"FSM","Micronesia",NA
498,"MDA","Moldova",0.0826066
492,"MCO","Monaco",NA
496,"MNG","Mongolia",0.105054
499,"MNE","Montenegro",0.189212
504,"MAR","Morocco",0.0745796
508,"MOZ","Mozambique",0.196644
104,"MMR","Myanmar",0.0627145
516,"NAM","Namibia",0.266168
520,"NRU","Nauru",NA
524,"NPL","Nepal",0.0773939
528,"NLD","Netherlands",0.162679
540,"NCL","New Caledonia",0.602877
554,"NZL","New Zealand",0.109446
558,"NIC","Nicaragua",0.233628
562,"NER","Niger",0.164956
566,"NGA","Nigeria",0.108799
570,"NIU","Niue",NA
408,"PRK","North Korea",0.0575288
807,"MKD","North Macedonia",0.139625
578,"NOR","Norway",0.261505
512,"OMN","Oman",0.139259
586,"PAK","Pakistan",0.0614918
585,"PLW","Palau",NA
591,"PAN","Panama",0.197823
598,"PNG","Papua New Guinea",0.0413508
600,"PRY","Paraguay",0.141874
604,"PER","Peru",0.153033
608,"PHL","Philippines",0.109517
616,"POL","Poland",0.192772
620,"PRT","Portugal",0.148504
634,"QAT","Qatar",0.168098
178,"COG","Republic of Congo",0.199886
642,"ROU","Romania",0.142918
643,"RUS","Russia",0.106601
646,"RWA","Rwanda",0.122332
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",NA
662,"LCA","Saint Lucia",NA
670,"VCT","Saint Vincent and the Grenadines",NA
882,"WSM","Samoa",NA
674,"SMR","San Marino",NA
678,"STP","Sao Tome and Principe",NA
682,"SAU","Saudi Arabia",0.121627
686,"SEN","Senegal",0.16597
688,"SRB","Serbia",0.12305
690,"SYC","Seychelles",NA
694,"SLE","Sierra Leone",0.100834
702,"SGP","Singapore",NA
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",0.183682
705,"SVN","Slovenia",0.19994
90,"SLB","Solomon Islands",0.0287171
706,"SOM","Somalia",0.0463055
710,"ZAF","South Africa",0.0828289
410,"KOR","South Korea",0.0888896
728,"SSD","South Sudan",0.172311
724,"ESP","Spain",0.177247
144,"LKA","Sri Lanka",0.177939
275,"PSE","State of Palestine",0.0984456
729,"SDN","Sudan",0.0711675
740,"SUR","Suriname",0.321154
752,"SWE","Sweden",0.134976
756,"CHE","Switzerland",0.250409
760,"SYR","Syria",0.0495004
158,"TWN","Taiwan",0.0995069
762,"TJK","Tajikistan",0.111728
834,"TZA","Tanzania",0.284148
764,"THA","Thailand",0.106151
626,"TLS","Timor-Leste",0.0795886
768,"TGO","Togo",0.147048
776,"TON","Tonga",NA
780,"TTO","Trinidad and Tobago",0.313977
788,"TUN","Tunisia",0.0704136
792,"TUR","Turkiye",0.0588961
795,"TKM","Turkmenistan",0.0520811
796,"TCA","Turks and Caicos Islands",NA
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",0.132555
804,"UKR","Ukraine",0.0961241
784,"ARE","United Arab Emirates",0.140063
826,"GBR","United Kingdom",0.17841
840,"USA","United States of America",0.0791086
858,"URY","Uruguay",0.0608157
860,"UZB","Uzbekistan",0.0707595
548,"VUT","Vanuatu",0.0507362
862,"VEN","Venezuela",0.341872
704,"VNM","Viet Nam",0.102706
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",0.0349709
887,"YEM","Yemen",0.0509307
894,"ZMB","Zambia",0.265096
716,"ZWE","Zimbabwe",0.188689
