"code","iso","country","FSS.raw.1950","FSS.raw.1951","FSS.raw.1952","FSS.raw.1953","FSS.raw.1954","FSS.raw.1955","FSS.raw.1956","FSS.raw.1957","FSS.raw.1958","FSS.raw.1959","FSS.raw.1960","FSS.raw.1961","FSS.raw.1962","FSS.raw.1963","FSS.raw.1964","FSS.raw.1965","FSS.raw.1966","FSS.raw.1967","FSS.raw.1968","FSS.raw.1969","FSS.raw.1970","FSS.raw.1971","FSS.raw.1972","FSS.raw.1973","FSS.raw.1974","FSS.raw.1975","FSS.raw.1976","FSS.raw.1977","FSS.raw.1978","FSS.raw.1979","FSS.raw.1980","FSS.raw.1981","FSS.raw.1982","FSS.raw.1983","FSS.raw.1984","FSS.raw.1985","FSS.raw.1986","FSS.raw.1987","FSS.raw.1988","FSS.raw.1989","FSS.raw.1990","FSS.raw.1991","FSS.raw.1992","FSS.raw.1993","FSS.raw.1994","FSS.raw.1995","FSS.raw.1996","FSS.raw.1997","FSS.raw.1998","FSS.raw.1999","FSS.raw.2000","FSS.raw.2001","FSS.raw.2002","FSS.raw.2003","FSS.raw.2004","FSS.raw.2005","FSS.raw.2006","FSS.raw.2007","FSS.raw.2008","FSS.raw.2009","FSS.raw.2010","FSS.raw.2011","FSS.raw.2012","FSS.raw.2013","FSS.raw.2014","FSS.raw.2015","FSS.raw.2016","FSS.raw.2017","FSS.raw.2018","FSS.raw.2019"
36,"AUS","Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017872744893395,0,0.0276684065595331,0.0483548839487616,0.0309754116062155,0.0209060615047944,0.023831839392706,0.0289674511544849,0.0299981988581436,0.257613274933671,0.420167362826681,0.0982168881998952,0.352083848017285,0.374799321270497,0.369824722496384,0.328598711172042,0.202940832491627,0.125500943188608,0.0772567380624734,0.0777870424272049,0.0664002480957991,0.0445521344261258,0.0854187481250571,0.211987328738228,0.347579017789266,0.449764841330757,0.472294656388154,0.489811072750718,0.496629928793538,0.626687679851001,0.86475697553243,0.891081391889055,1.1480258130775,1.06173711561696,1.61109723501813,1.67588325134004,1.93339638382279,2.72922565777236,3.50840814520786,4.19785331157398,4.11442317779381,3.8659148547511,3.85373313794765,3.73777211217886,3.67114215260654,3.92489405585067,4.25587851349406,4.44462931169034,4.27626843105932,4.02868015772596,3.8879693054465,3.84242051799615,3.89272666069345
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.14001400140014,0,0.18001800180018,0.16,0,0.12001200120012,0.01000100010001,0,0,0.01000100010001,0,0.03999600039996,0.04,0.1,0.11001100110011,0.14001400140014,0.15,0.23,0.27,0.25,0.26002600260026,0.23002300230023,0.25002500250025,0.21,0.31,0.4,0.44004400440044,0.39,0.25,0.2000200020002,0.46995300469953,0.4999500049995,0.78,0.6,0.75992400759924,0.65006500650065,0.63006300630063,0.62,0.47995200479952,0.52,0.46,0.51,0.53,0.6000600060006,0.63,0.63993600639936,0.64006400640064,0.67,0.72992700729927
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00999900009999,0.01,0,0,0.01,0.01,0.04,0.05,0.07,0.06999300069993,0.08,0.06999300069993,0.07,0.06999300069993,0.08
52,"BRB","Barbados",0,0,0,5.95,0,0,6.15061506150615,8.36,0,0,0,5.5994400559944,3.67,0,4.03,0,0,0,5.56,7.52,0,4.5,2.69026902690269,1.2,0.97,0.75,0,0,0.73,0,1.99,4.03,6.28,4.96950304969503,4.40955904409559,3.76,3.84,6.98069806980698,6.65,8.41915808419158,8.25,6.09,6.39,7.66,7.53075307530753,8.75,7.46,7.01929807019298,5.51,5.17,6.15,6.67933206679332,7.55924407559244,7.8,7.99,8.18,8.79,7.58075807580758,8.51,8.1,9.4009400940094,9.94,9.85098509850985,8.86,8.6,10.12,11.8988101189881,11.4688531146885,11.3311331133113,12.7
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415307593757583,0.447977943031269,0.442561575780533,0.017299048266666,0.0150166431869481,0.0265881950649599,0.295626858794454,0.375939805835076,0.385925000107148,0.0998647494471809,0.0599156023292439,0.245733917619314,0.437491688669713,0.787877670649709,0.896763338280619,0.904451846936777,0.906971604371504,0.893364298443793,0.986218985167412,1.12075876416426,0.903892606751197,0.710685538985619,0.366908136807677,0.961562549399137,1.21686585164387,1.38422887260839,0.911911935691641,0.964802836847421,0.988003962060271,1.32851391465132,1.20239131047784,1.94402493921482,1.74219607078451,1.82479967497552,1.04503065184173,0.880594234275296,0.556606522298915,0.684844034574812,0.712121949324662,0.762125353118551,0.704391466249715,0.784063226131246,0.773720770069281,0.683672105208252,0.612599338681975,0.574680577740997,0.610835930536869,0.649575334583582,0.772230335636474,0.750763112319335,0.681318327283662,0.747284304072413
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"BGR","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0.06000600060006,0,0,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01000100010001,0.01,0.02,0.01999800019998,0,0.05,0.04999500049995,0.06,0.04,0.03,0.03,0.03,0.03,0.04,0.02,0.12,0.23997600239976,0.35,0,0,0.27,0.33,0.62993700629937
116,"KHM","Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17998200179982,0.23997600239976,0.37996200379962,0.34,0.46995300469953,0.48995100489951,0.45,0.27997200279972,0.18001800180018,0.16,0.11,0.0699860027994401,0.02,0.02000200020002,0.01999800019998,0.02,0.06999300069993,0.07000700070007,0.08,0.05,0.04000400040004,0.04,0.04,0.04000400040004,0.05,0.05,0.05999400059994,0.18,0.21,0.27,0.21,0.31,0.58005800580058,1.28,2.28,2.98,2.76972302769723,4.06040604060406,4.41,6.44,6,6.35936406359364,5.22,5.14948505149485,5.22947705229477
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",0,0,0,0,0,0,0,0,0,0,0,0,0.00292069125292138,0,0.00210479809376572,0.00228229762924521,0.00315470446087605,0.0325348740615034,0.0746011485808045,0.157885309593408,0.249288201425022,0.17212856822392,0.103526756031043,0.0259305797558708,0.018867480451584,0.925949195760866,1.70741075890918,2.53595282378395,1.86406929509511,4.42185287192586,4.39098713038698,6.3053683889108,6.95384157100804,6.9412311071562,5.27019536934572,1.91647536916952,1.84368029644323,2.20342714769916,2.05882078733183,2.90842750318664,3.57164435625165,4.65181992922641,7.93749749504341,10.1249181303249,11.5731431103839,11.8750638783556,11.814333994618,13.2116412862518,14.9454741756638,15.8721531214066,18.4210155354677,16.1601043771777,15.0766586084362,12.6140793539118,10.4767123574197,10.7396727097185,10.8450156814775,12.1739156308233,11.8503690236697,13.2285990904671,13.6228247085633,14.5681213233643,15.5158437790277,17.2836871995652,18.2780830516235,18.1168410747471,19.3824228743388,19.6118981878939,19.860003660437,18.4654098566017
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",0,0,0,0,0,0,0,0,0,0,0,0.3,0.24,0.22,0.22997700229977,0.19,0.17,0.15,0.17,0.15001500150015,0.21,0.28002800280028,0.59,0.54,0.57,0.48,0.74,0.5,0.63,0.58994100589941,1.02,0.95,0.9000900090009,0.76,0.67,0.56,0.48,0.43,0.47004700470047,0.57005700570057,0.68993100689931,0.78007800780078,0.82,1.8,3.05,4.11041104110411,3.89,3.8,4.42955704429557,5.19,5.55888822235553,3.91,4.04,3.6003600360036,4.06,3.4,3.13031303130313,2.51025102510251,2.21022102210221,2,3.42,3.67,3.67963203679632,1.86981301869813,7.28927107289271,8.28,17.78,10.52,10.6789321067893,5.33
156,"CHN","China",0,0,0,0,0,0.01999800019998,0,0,0.07,0,0,0.11,0.13,0.13,0.16,0.18,0.19001900190019,0.16,0.17,0.15,0.21,0.21,0.19,0.17,0.15998400159984,0.18,0.28,0.3,0.4,0.35,0.42,0.34,0.23,0.35003500350035,0.34,0.4000400040004,0.32,0.37003700370037,0.35996400359964,0.3,0.24,0.2,0.28,0.29,0.29002900290029,0.21002100210021,0.21002100210021,0.33003300330033,0.4,0.46,0.35,0.34,0.33,0.35,0.4,0.46995300469953,0.54005400540054,0.62,0.66993300669933,0.74007400740074,0.72992700729927,0.7,0.69,0.68,0.7000700070007,0.70992900709929,0.71,0.74,0.76992300769923,0.8
170,"COL","Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458116878526081,0.0833729107791818,0.8696373749962,1.18722501737318,0.95965848806366,0.591060425571672,0.750432343363804,2.5758126764079,2.46298641123274,4.04245327832141,2.32001929125309,5.5440907467803,8.68342161471345,8.68076996160572,9.15692398759327,7.52042072371174,6.84061216454211,3.21499603838366,2.49383812772448,4.63678078903692,5.01373949697126,4.12385271353756,1.5964223860302,2.07244288819664,2.64930617500686,4.98312995565112,8.75600899477314,8.40068937268823,5.44695308953647,5.15473466109276,10.1559237204916,5.39980884431557,5.63237947333681,6.45322580645161,3.80403960533171,12.7933627867274,9.9325326246382,8.07466772623423,15.2818267853807,13.6863993972391,14.0274201945148,13.8522303919603,11.4163769398658,11.61446681336,19.8424387011266,20.3701785567784,12.5026852129658,12.6528703736097,16.3177020010148,21.2874812787059,29.0220528295726,20.6995927100961
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,3.16,0,0,0.15,0.15,0.11,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.1000100010001,0,0,0,0,0,0,0,0,0,0,0,0.36,0.78007800780078,0.91009100910091,1.18988101189881,0.76,0.54
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",0,0,0,0,0,0.27,0,0.14,0,0,0.02,0.01,0.02,0.01,0.01,0,0,0.33,0.5,1.2,1.57,1.57,1.21,0.46,0.42,0.49,1.01010101010101,1.000100010001,0.56,0.48,2.54,3.26,7.54924507549245,7.87078707870787,5.52055205520552,1.63,0.58,0.32003200320032,0.46,0.38,0.73,3.16,3.35,4.37,2.26,1.67,1.94,2.04,1.9,0.59005900590059,1.89018901890189,4.47,4.61,4.8995100489951,1.97980201979802,1.98,0.22,3.12968703129687,4.73,6.35,6.44064406440644,6.38063806380638,5.39,4.73952604739526,5.18,5.56,5.51,6.11,7.12,6.78932106789321
384,"CIV","Cote d'Ivoire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.10998900109989,0.1,0.62006200620062,0.66006600660066,1.18,1.07,1.08,0.56,0.27,0.1999800019998,0.37003700370037,0.31,0.84,1.27,1.26012601260126,1.58984101589841,1.71,2.39,1.85981401859814,1.65,1.23,1.09,1.05,1.65016501650165,1.85981401859814,1.81981801819818,1.49,1.58,2.28022802280228,2.18,1.75982401759824,1.45,1.75,2.34,2.3,2.15978402159784,1.99,1.99,2.26977302269773,2.36,2.23,1.64,1.14,0.88,0.97,0.98,1.09010901090109,0.96,1.10988901109889,1.15011501150115,2.29,3.93
