"code","iso","country","CBP.raw.2022"
222,"SLV","El Salvador",2.32313255308763
226,"GNQ","Equatorial Guinea",3.71129394490701
232,"ERI","Eritrea",2.37200438962687
233,"EST","Estonia",1.07757244797049
748,"SWZ","Eswatini",2.33379328089127
231,"ETH","Ethiopia",2.39440339003213
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",2.24309865188471
246,"FIN","Finland",2.12893432781956
250,"FRA","France",3.00940480565596
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",3.91706009362109
270,"GMB","Gambia",1.49854338593036
268,"GEO","Georgia",4.2898274970569
276,"DEU","Germany",2.94429508283583
288,"GHA","Ghana",2.62365937764003
300,"GRC","Greece",1.90835173780853
304,"GRL","Greenland",NA
308,"GRD","Grenada",4.9519990576106
320,"GTM","Guatemala",3.41079934466744
831,"GGY","Guernsey",NA
324,"GIN","Guinea",3.43042561350706
624,"GNB","Guinea-Bissau",2.00907454252402
328,"GUY","Guyana",6.80832120479594
332,"HTI","Haiti",1.51737082724595
336,"VAT","Holy See",NA
340,"HND","Honduras",2.82177405833803
344,"HKG","Hong Kong",1.57626378292266
348,"HUN","Hungary",4.74213542283622
352,"ISL","Iceland",5.84392825821392
356,"IND","India",3.6462296048231
360,"IDN","Indonesia",5.02455555277047
364,"IRN","Iran",6.62057639154203
368,"IRQ","Iraq",6.69426055861813
372,"IRL","Ireland",5.65364053616415
833,"IMN","Isle of Man",NA
376,"ISR","Israel",4.97420338281525
380,"ITA","Italy",3.91263053994574
388,"JAM","Jamaica",1.88234354786911
392,"JPN","Japan",3.08346142098914
832,"JEY","Jersey",NA
400,"JOR","Jordan",2.91558747057172
398,"KAZ","Kazakhstan",6.39496374722206
404,"KEN","Kenya",3.08185963156973
296,"KIR","Kiribati",1.3081678740749
689,"XKX","Kosovo",3.89247318846255
414,"KWT","Kuwait",10.1131747978049
417,"KGZ","Kyrgyzstan",2.87982330829706
418,"LAO","Laos",7.51495226778915
428,"LVA","Latvia",3.95368807500981
422,"LBN","Lebanon",4.94383546388451
426,"LSO","Lesotho",2.31270062889582
430,"LBR","Liberia",1.34708280248858
434,"LBY","Libya",8.37517968908633
438,"LIE","Liechtenstein",NA
440,"LTU","Lithuania",4.51205229217506
442,"LUX","Luxembourg",3.33140220522785
446,"MAC","Macao",1.04187484618518
450,"MDG","Madagascar",1.68306507847706
454,"MWI","Malawi",1.87200263854353
458,"MYS","Malaysia",6.76407749406554
462,"MDV","Maldives",5.08369957691985
466,"MLI","Mali",3.67560642917123
470,"MLT","Malta",1.93107165359382
584,"MHL","Marshall Islands",3.89146506367783
478,"MRT","Mauritania",4.46808891963386
480,"MUS","Mauritius",4.38090302653058
484,"MEX","Mexico",4.51403762988648
583,"FSM","Micronesia",2.41913375949341
498,"MDA","Moldova",3.45540653789464
492,"MCO","Monaco",NA
496,"MNG","Mongolia",9.83455350342168
499,"MNE","Montenegro",4.75105540857059
504,"MAR","Morocco",3.6316061756439
508,"MOZ","Mozambique",1.86114132543961
104,"MMR","Myanmar",2.49973096622119
516,"NAM","Namibia",5.61491911490107
520,"NRU","Nauru",4.01166720775362
524,"NPL","Nepal",2.6123131527959
528,"NLD","Netherlands",3.81727222228856
540,"NCL","New Caledonia",NA
554,"NZL","New Zealand",5.7447310789411
558,"NIC","Nicaragua",3.48797000260632
562,"NER","Niger",2.9072437308648
566,"NGA","Nigeria",2.06757465867907
570,"NIU","Niue",NA
408,"PRK","North Korea",NA
807,"MKD","North Macedonia",4.10165391807741
578,"NOR","Norway",5.08302355175985
512,"OMN","Oman",8.02506806139017
586,"PAK","Pakistan",3.1429730676014
585,"PLW","Palau",5.10873131247838
591,"PAN","Panama",4.09853614842083
598,"PNG","Papua New Guinea",2.01721808145425
600,"PRY","Paraguay",5.44472428024638
604,"PER","Peru",3.51570724026878
608,"PHL","Philippines",3.22768175435862
616,"POL","Poland",5.21641162387583
620,"PRT","Portugal",3.22887896367043
634,"QAT","Qatar",9.62731242531241
178,"COG","Republic of Congo",4.81660352701722
642,"ROU","Romania",3.93671000434145
643,"RUS","Russia",6.78905312561018
646,"RWA","Rwanda",1.15671156676967
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",4.12941746831403
662,"LCA","Saint Lucia",3.35676021553444
670,"VCT","Saint Vincent and the Grenadines",2.84485479753453
882,"WSM","Samoa",2.29015271444896
674,"SMR","San Marino",NA
678,"STP","Sao Tome and Principe",1.65472291141751
682,"SAU","Saudi Arabia",8.10576176550306
686,"SEN","Senegal",2.61251252554797
688,"SRB","Serbia",5.1887888505172
690,"SYC","Seychelles",7.22956422732164
694,"SLE","Sierra Leone",1.29209060764653
702,"SGP","Singapore",6.46912873276016
534,"SXM","Sint Maarten",5.89453502288924
703,"SVK","Slovakia",4.67917691281791
705,"SVN","Slovenia",3.83609858921388
90,"SLB","Solomon Islands",0.94634918517936
706,"SOM","Somalia",2.23263263756824
710,"ZAF","South Africa",4.39289015989272
410,"KOR","South Korea",5.52551565209546
728,"SSD","South Sudan",4.70683696998121
724,"ESP","Spain",3.50261513232799
144,"LKA","Sri Lanka",1.86252556231131
275,"PSE","State of Palestine",1.17894317447039
729,"SDN","Sudan",2.86908757391373
740,"SUR","Suriname",5.47161927195348
752,"SWE","Sweden",3.05822002798983
756,"CHE","Switzerland",2.91229616757809
760,"SYR","Syria",NA
158,"TWN","Taiwan",6.00307898339532
762,"TJK","Tajikistan",3.668053582058
834,"TZA","Tanzania",2.23736573479583
764,"THA","Thailand",4.39200596511842
626,"TLS","Timor-Leste",0.601020405888776
768,"TGO","Togo",2.07175735324638
776,"TON","Tonga",4.09313522829378
780,"TTO","Trinidad and Tobago",6.68654206072332
788,"TUN","Tunisia",3.93300764369781
792,"TUR","Turkiye",6.02096635977538
795,"TKM","Turkmenistan",7.08984297615704
796,"TCA","Turks and Caicos Islands",6.19898818460449
798,"TUV","Tuvalu",2.27173797137612
800,"UGA","Uganda",1.64259907979301
804,"UKR","Ukraine",2.3567066393389
784,"ARE","United Arab Emirates",8.70731238364768
826,"GBR","United Kingdom",1.75603196559081
840,"USA","United States of America",5.48901031798761
858,"URY","Uruguay",6.54711039641884
860,"UZB","Uzbekistan",4.79658030105296
548,"VUT","Vanuatu",1.44245022211946
862,"VEN","Venezuela",3.94827753616934
704,"VNM","Viet Nam",6.71660023115394
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",0.641966226017904
894,"ZMB","Zambia",2.43929234038165
716,"ZWE","Zimbabwe",1.28059622320472
