"code","iso","country","WHR.raw.2023"
678,"STP","Sao Tome and Principe",-8888
682,"SAU","Saudi Arabia",6.46260023117065
686,"SEN","Senegal",4.85510015487671
688,"SRB","Serbia",6.14359998703003
690,"SYC","Seychelles",-8888
694,"SLE","Sierra Leone",3.13759994506836
702,"SGP","Singapore",6.58669996261597
534,"SXM","Sint Maarten",-8888
703,"SVK","Slovakia",6.46859979629517
705,"SVN","Slovenia",6.64989995956421
90,"SLB","Solomon Islands",-8888
706,"SOM","Somalia",-8888
710,"ZAF","South Africa",5.2746000289917
410,"KOR","South Korea",5.95109987258911
728,"SSD","South Sudan",-8888
724,"ESP","Spain",6.43620014190674
144,"LKA","Sri Lanka",4.44159984588623
275,"PSE","State of Palestine",4.90780019760132
729,"SDN","Sudan",-8888
740,"SUR","Suriname",-8888
752,"SWE","Sweden",7.3951997756958
756,"CHE","Switzerland",7.24009990692139
760,"SYR","Syria",-8888
158,"TWN","Taiwan",6.53539991378784
762,"TJK","Tajikistan",5.32980012893677
834,"TZA","Tanzania",3.69379997253418
764,"THA","Thailand",5.84299993515015
626,"TLS","Timor-Leste",-8888
768,"TGO","Togo",4.13740015029907
776,"TON","Tonga",-8888
780,"TTO","Trinidad and Tobago",-8888
788,"TUN","Tunisia",4.49669981002808
792,"TUR","Turkiye",4.61350011825562
795,"TKM","Turkmenistan",-8888
796,"TCA","Turks and Caicos Islands",-8888
798,"TUV","Tuvalu",-8888
800,"UGA","Uganda",4.43249988555908
804,"UKR","Ukraine",5.07140016555786
784,"ARE","United Arab Emirates",6.57119989395142
826,"GBR","United Kingdom",6.79559993743896
840,"USA","United States of America",6.89370012283325
858,"URY","Uruguay",6.49389982223511
860,"UZB","Uzbekistan",6.01429986953735
548,"VUT","Vanuatu",-8888
862,"VEN","Venezuela",5.21059989929199
704,"VNM","Viet Nam",5.7632999420166
876,"WLF","Wallis and Futuna Islands",-8888
732,"ESH","Western Sahara",-8888
887,"YEM","Yemen",-8888
894,"ZMB","Zambia",3.98219990730286
716,"ZWE","Zimbabwe",3.20350003242493
