"code","iso","country","PAE.raw.2022"
624,"GNB","Guinea-Bissau",62.5
328,"GUY","Guyana",80
332,"HTI","Haiti",27.2727272727273
336,"VAT","Holy See",NA
340,"HND","Honduras",58.0645161290323
344,"HKG","Hong Kong",NA
348,"HUN","Hungary",35.8490566037736
352,"ISL","Iceland",100
356,"IND","India",91.6666666666667
360,"IDN","Indonesia",84.5323741007194
364,"IRN","Iran",75.9259259259259
368,"IRQ","Iraq",77.7777777777778
372,"IRL","Ireland",76.9230769230769
833,"IMN","Isle of Man",NA
376,"ISR","Israel",62.5
380,"ITA","Italy",79.059829059829
388,"JAM","Jamaica",66.6666666666667
392,"JPN","Japan",78.2778864970646
832,"JEY","Jersey",NA
400,"JOR","Jordan",70
398,"KAZ","Kazakhstan",52.5
404,"KEN","Kenya",52.0618556701031
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",NA
414,"KWT","Kuwait",90.9090909090909
417,"KGZ","Kyrgyzstan",75
418,"LAO","Laos",82.1428571428571
428,"LVA","Latvia",79.7752808988764
422,"LBN","Lebanon",60
426,"LSO","Lesotho",75
430,"LBR","Liberia",69.2307692307692
434,"LBY","Libya",NA
438,"LIE","Liechtenstein",NA
440,"LTU","Lithuania",65.2631578947368
442,"LUX","Luxembourg",8.82352941176471
446,"MAC","Macao",NA
450,"MDG","Madagascar",77.906976744186
454,"MWI","Malawi",47.3684210526316
458,"MYS","Malaysia",86.0869565217391
462,"MDV","Maldives",NA
466,"MLI","Mali",45.631067961165
470,"MLT","Malta",0
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",NA
480,"MUS","Mauritius",100
484,"MEX","Mexico",54.4973544973545
583,"FSM","Micronesia",NA
498,"MDA","Moldova",NA
492,"MCO","Monaco",NA
496,"MNG","Mongolia",48.9795918367347
499,"MNE","Montenegro",88.8888888888889
504,"MAR","Morocco",60.6060606060606
508,"MOZ","Mozambique",87.2727272727273
104,"MMR","Myanmar",68.5714285714286
516,"NAM","Namibia",62.5
520,"NRU","Nauru",NA
524,"NPL","Nepal",67.6470588235294
528,"NLD","Netherlands",50
540,"NCL","New Caledonia",100
554,"NZL","New Zealand",97.9439252336449
558,"NIC","Nicaragua",76.3636363636364
562,"NER","Niger",55.5555555555556
566,"NGA","Nigeria",53.2154340836013
570,"NIU","Niue",NA
408,"PRK","North Korea",NA
807,"MKD","North Macedonia",83.3333333333333
578,"NOR","Norway",99.6753246753247
512,"OMN","Oman",80
586,"PAK","Pakistan",54.054054054054
585,"PLW","Palau",NA
591,"PAN","Panama",80.6451612903226
598,"PNG","Papua New Guinea",85.7142857142857
600,"PRY","Paraguay",56.9230769230769
604,"PER","Peru",88.4057971014493
608,"PHL","Philippines",69.2913385826772
616,"POL","Poland",27.3408239700374
620,"PRT","Portugal",56.8181818181818
634,"QAT","Qatar",75
178,"COG","Republic of Congo",73.3333333333333
642,"ROU","Romania",69.5652173913043
643,"RUS","Russia",85.3823814133592
646,"RWA","Rwanda",100
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",NA
662,"LCA","Saint Lucia",0
670,"VCT","Saint Vincent and the Grenadines",100
882,"WSM","Samoa",50
674,"SMR","San Marino",NA
678,"STP","Sao Tome and Principe",33.3333333333333
682,"SAU","Saudi Arabia",81.1320754716981
686,"SEN","Senegal",42
688,"SRB","Serbia",67.3913043478261
690,"SYC","Seychelles",50
694,"SLE","Sierra Leone",89.5833333333333
702,"SGP","Singapore",100
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",69.6428571428571
705,"SVN","Slovenia",71.1711711711712
90,"SLB","Solomon Islands",100
706,"SOM","Somalia",NA
710,"ZAF","South Africa",91.1392405063291
410,"KOR","South Korea",67.9245283018868
728,"SSD","South Sudan",76.9230769230769
724,"ESP","Spain",64.4308943089431
144,"LKA","Sri Lanka",52.7027027027027
275,"PSE","State of Palestine",0
729,"SDN","Sudan",0
740,"SUR","Suriname",83.3333333333333
752,"SWE","Sweden",97.9073243647235
756,"CHE","Switzerland",91.304347826087
760,"SYR","Syria",NA
158,"TWN","Taiwan",96.551724137931
762,"TJK","Tajikistan",80
834,"TZA","Tanzania",69.4117647058823
764,"THA","Thailand",74.8603351955307
626,"TLS","Timor-Leste",86.2068965517241
768,"TGO","Togo",51.1627906976744
776,"TON","Tonga",100
780,"TTO","Trinidad and Tobago",89.4736842105263
788,"TUN","Tunisia",73.3333333333333
792,"TUR","Turkiye",62.5
795,"TKM","Turkmenistan",75
796,"TCA","Turks and Caicos Islands",NA
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",42.5287356321839
804,"UKR","Ukraine",59.9009900990099
784,"ARE","United Arab Emirates",91.6666666666667
826,"GBR","United Kingdom",80.4878048780488
840,"USA","United States of America",80.1333968556455
858,"URY","Uruguay",60
860,"UZB","Uzbekistan",82.7586206896552
548,"VUT","Vanuatu",83.3333333333333
862,"VEN","Venezuela",79.0393013100437
704,"VNM","Viet Nam",51.1811023622047
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",NA
894,"ZMB","Zambia",67.9245283018868
716,"ZWE","Zimbabwe",59.4117647058824
