"code","iso","country","IFA.raw.2000"
270,"GMB","Gambia",NA
268,"GEO","Georgia",437486.540408328
276,"DEU","Germany",NA
288,"GHA","Ghana",NA
300,"GRC","Greece",NA
304,"GRL","Greenland",NA
308,"GRD","Grenada",NA
320,"GTM","Guatemala",565146.721614607
831,"GGY","Guernsey",NA
324,"GIN","Guinea",NA
624,"GNB","Guinea-Bissau",NA
328,"GUY","Guyana",14356808.5401145
332,"HTI","Haiti",NA
336,"VAT","Holy See",NA
340,"HND","Honduras",673471.621519585
344,"HKG","Hong Kong",NA
348,"HUN","Hungary",NA
352,"ISL","Iceland",NA
356,"IND","India",2566731.94905621
360,"IDN","Indonesia",35627847.0425611
364,"IRN","Iran",NA
368,"IRQ","Iraq",NA
372,"IRL","Ireland",NA
833,"IMN","Isle of Man",NA
376,"ISR","Israel",NA
380,"ITA","Italy",NA
388,"JAM","Jamaica",NA
392,"JPN","Japan",112487.411143337
832,"JEY","Jersey",NA
400,"JOR","Jordan",NA
398,"KAZ","Kazakhstan",209615.762421074
404,"KEN","Kenya",NA
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",NA
414,"KWT","Kuwait",NA
417,"KGZ","Kyrgyzstan",NA
418,"LAO","Laos",843451.41043202
428,"LVA","Latvia",NA
422,"LBN","Lebanon",NA
426,"LSO","Lesotho",NA
430,"LBR","Liberia",474806.607599608
434,"LBY","Libya",NA
438,"LIE","Liechtenstein",NA
440,"LTU","Lithuania",NA
442,"LUX","Luxembourg",NA
446,"MAC","Macao",NA
450,"MDG","Madagascar",1694526.34246047
454,"MWI","Malawi",NA
458,"MYS","Malaysia",2108652.00125492
462,"MDV","Maldives",NA
466,"MLI","Mali",NA
470,"MLT","Malta",NA
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",NA
480,"MUS","Mauritius",NA
484,"MEX","Mexico",1450480.25319598
583,"FSM","Micronesia",NA
498,"MDA","Moldova",NA
492,"MCO","Monaco",NA
496,"MNG","Mongolia",588890.148465436
499,"MNE","Montenegro",NA
504,"MAR","Morocco",NA
508,"MOZ","Mozambique",NA
104,"MMR","Myanmar",5009587.14399878
516,"NAM","Namibia",NA
520,"NRU","Nauru",NA
524,"NPL","Nepal",17505.7959307348
528,"NLD","Netherlands",NA
540,"NCL","New Caledonia",NA
554,"NZL","New Zealand",3330924.2130353
558,"NIC","Nicaragua",1026969.8638926
562,"NER","Niger",NA
566,"NGA","Nigeria",300756.980833157
570,"NIU","Niue",NA
408,"PRK","North Korea",NA
807,"MKD","North Macedonia",NA
578,"NOR","Norway",39589.3093516944
512,"OMN","Oman",NA
586,"PAK","Pakistan",NA
585,"PLW","Palau",NA
591,"PAN","Panama",1447923.51994861
598,"PNG","Papua New Guinea",15746096.1349339
600,"PRY","Paraguay",4265487.85550294
604,"PER","Peru",56497464.0333849
608,"PHL","Philippines",402067.953406637
616,"POL","Poland",NA
620,"PRT","Portugal",NA
634,"QAT","Qatar",NA
178,"COG","Republic of Congo",13864693.8019846
642,"ROU","Romania",62161.0321678091
643,"RUS","Russia",195273245.060006
646,"RWA","Rwanda",NA
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",NA
662,"LCA","Saint Lucia",NA
670,"VCT","Saint Vincent and the Grenadines",NA
882,"WSM","Samoa",NA
674,"SMR","San Marino",NA
678,"STP","Sao Tome and Principe",NA
682,"SAU","Saudi Arabia",NA
686,"SEN","Senegal",NA
688,"SRB","Serbia",NA
690,"SYC","Seychelles",NA
694,"SLE","Sierra Leone",NA
702,"SGP","Singapore",NA
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",NA
705,"SVN","Slovenia",NA
90,"SLB","Solomon Islands",781674.866183776
706,"SOM","Somalia",NA
710,"ZAF","South Africa",NA
410,"KOR","South Korea",NA
728,"SSD","South Sudan",NA
724,"ESP","Spain",NA
144,"LKA","Sri Lanka",NA
275,"PSE","State of Palestine",NA
729,"SDN","Sudan",NA
740,"SUR","Suriname",10682940.3245238
752,"SWE","Sweden",649934.799939539
756,"CHE","Switzerland",NA
760,"SYR","Syria",NA
158,"TWN","Taiwan",NA
762,"TJK","Tajikistan",NA
834,"TZA","Tanzania",344199.111787095
764,"THA","Thailand",1916772.76019498
626,"TLS","Timor-Leste",NA
768,"TGO","Togo",NA
776,"TON","Tonga",NA
780,"TTO","Trinidad and Tobago",NA
788,"TUN","Tunisia",NA
792,"TUR","Turkiye",NA
795,"TKM","Turkmenistan",NA
796,"TCA","Turks and Caicos Islands",NA
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",90300.1221747896
804,"UKR","Ukraine",NA
784,"ARE","United Arab Emirates",NA
826,"GBR","United Kingdom",NA
840,"USA","United States of America",35331592.4628082
858,"URY","Uruguay",NA
860,"UZB","Uzbekistan",NA
548,"VUT","Vanuatu",70468.1458011387
862,"VEN","Venezuela",30817467.9842076
704,"VNM","Viet Nam",402122.375080626
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",NA
894,"ZMB","Zambia",NA
716,"ZWE","Zimbabwe",NA
