country,relationship_type,study_count
notspecified,Unknown/Other,2
uk,Antagonistic/Biocontrol,2
uk,Mutualistic,2
various,Endophytic,2
"'or']""",Endophytic,1
21 countries,Endophytic,1
68 degrees 29n,Endophytic,1
69?03'n,Pathogenic,1
8 countries,Endophytic,1
89 countries,Pathogenic,1
AGO,Pathogenic,1
ALB,Pathogenic,1
ARE,Antagonistic/Biocontrol,1
ARE,Mutualistic,1
ARE,Pathogenic,1
ASM,Pathogenic,1
ATA,Antagonistic/Biocontrol,1
AUT,Antagonistic/Biocontrol,1
AUT,Mycorrhizal,1
AZE,Endophytic,1
BEL,Mycorrhizal,1
BEL,Unknown/Other,1
BEN,Endophytic,1
BEN,Unknown/Other,1
BGD,Antagonistic/Biocontrol,1
BGR,Antagonistic/Biocontrol,1
BGR,Unknown/Other,1
BIH,Endophytic,1
BIH,Pathogenic,1
BIH,Unknown/Other,1
BRA,Saprotrophic,1
BRB,Pathogenic,1
BRN,Pathogenic,1
BTN,Endophytic,1
BTN,Pathogenic,1
BWA,Endophytic,1
CAF,Endophytic,1
CHE,Mutualistic,1
CIV,Pathogenic,1
CMR,Antagonistic/Biocontrol,1
COD,Endophytic,1
COD,Pathogenic,1
CRI,Unknown/Other,1
CUB,Antagonistic/Biocontrol,1
DMA,Pathogenic,1
DNK,Mycorrhizal,1
DNK,Unknown/Other,1
DOM,Endophytic,1
DOM,Pathogenic,1
ECU,Antagonistic/Biocontrol,1
ECU,Saprotrophic,1
EGY,Mutualistic,1
ERI,Endophytic,1
ERI,Mycorrhizal,1
ESP,Mutualistic,1
ETH,Mutualistic,1
FRA,Saprotrophic,1
FRO,Mutualistic,1
FSM,Pathogenic,1
GAB,Pathogenic,1
GBR,Antagonistic/Biocontrol,1
GBR,Saprotrophic,1
GEO,Antagonistic/Biocontrol,1
GEO,Mutualistic,1
GIN,Mycorrhizal,1
GNB,Unknown/Other,1
GRC,Unknown/Other,1
GRL,Mutualistic,1
GRL,Mycorrhizal,1
GRL,Pathogenic,1
GTM,Pathogenic,1
GUF,Antagonistic/Biocontrol,1
GUF,Mycorrhizal,1
GUM,Pathogenic,1
HKG,Unknown/Other,1
HND,Pathogenic,1
HRV,Mycorrhizal,1
HRV,Unknown/Other,1
HUN,Mutualistic,1
HUN,Mycorrhizal,1
HUN,Unknown/Other,1
IDN,Mutualistic,1
IMN,Endophytic,1
IND,Saprotrophic,1
IRL,Unknown/Other,1
IRN,Mutualistic,1
IRN,Mycorrhizal,1
IRQ,Antagonistic/Biocontrol,1
IRQ,Unknown/Other,1
ISL,Mutualistic,1
ISL,Unknown/Other,1
ITA,Mutualistic,1
JAM,Endophytic,1
JAM,Unknown/Other,1
JEY,Pathogenic,1
JEY,Unknown/Other,1
JOR,Mycorrhizal,1
JOR,Pathogenic,1
KAZ,Mutualistic,1
KGZ,Endophytic,1
KGZ,Mutualistic,1
KOR,Mutualistic,1
KWT,Endophytic,1
LAO,Pathogenic,1
LBN,Antagonistic/Biocontrol,1
LBN,Pathogenic,1
LBY,Pathogenic,1
LBY,Unknown/Other,1
LKA,Antagonistic/Biocontrol,1
LSO,Mycorrhizal,1
LTU,Mycorrhizal,1
LTU,Unknown/Other,1
LUX,Endophytic,1
LUX,Pathogenic,1
LUX,Unknown/Other,1
MAR,Antagonistic/Biocontrol,1
MAR,Mutualistic,1
MAR,Mycorrhizal,1
MAR,Unknown/Other,1
MDA,Pathogenic,1
MDG,Antagonistic/Biocontrol,1
MLI,Mycorrhizal,1
MLT,Endophytic,1
MNG,Antagonistic/Biocontrol,1
MNG,Mutualistic,1
MRT,Pathogenic,1
MTQ,Endophytic,1
MUS,Endophytic,1
MUS,Pathogenic,1
MUS,Unknown/Other,1
MWI,Endophytic,1
MYS,Mutualistic,1
NAM,Endophytic,1
NAM,Mycorrhizal,1
NAM,Unknown/Other,1
NCL,Endophytic,1
NCL,Pathogenic,1
NCL,Unknown/Other,1
NER,Mutualistic,1
NGA,Antagonistic/Biocontrol,1
NIC,Endophytic,1
NIC,Mycorrhizal,1
NIC,Pathogenic,1
NLD,Antagonistic/Biocontrol,1
NOR,Mutualistic,1
NOR,Saprotrophic,1
NZL,Saprotrophic,1
PAN,Antagonistic/Biocontrol,1
PAN,Mycorrhizal,1
PHL,Antagonistic/Biocontrol,1
PNG,Mycorrhizal,1
PNG,Unknown/Other,1
POL,Antagonistic/Biocontrol,1
PRI,Mycorrhizal,1
PRY,Antagonistic/Biocontrol,1
PYF,Endophytic,1
PYF,Pathogenic,1
QAT,Antagonistic/Biocontrol,1
QAT,Pathogenic,1
REU,Endophytic,1
REU,Unknown/Other,1
ROU,Antagonistic/Biocontrol,1
ROU,Endophytic,1
RUS,Antagonistic/Biocontrol,1
RUS,Mutualistic,1
SEN,Endophytic,1
SEN,Mycorrhizal,1
SEN,Pathogenic,1
SGP,Unknown/Other,1
SGS,Mutualistic,1
SGS,Saprotrophic,1
SGS,Unknown/Other,1
SRB,Unknown/Other,1
SVK,Unknown/Other,1
SVN,Unknown/Other,1
SWE,Antagonistic/Biocontrol,1
SYR,Antagonistic/Biocontrol,1
SYR,Mycorrhizal,1
TCD,Pathogenic,1
TGO,Pathogenic,1
THA,Saprotrophic,1
TLS,Endophytic,1
TTO,Pathogenic,1
TTO,Unknown/Other,1
TUN,Mutualistic,1
TUN,Mycorrhizal,1
TUN,Unknown/Other,1
TUR,Mycorrhizal,1
TWN,Antagonistic/Biocontrol,1
TWN,Saprotrophic,1
TZA,Unknown/Other,1
UGA,Unknown/Other,1
URY,Unknown/Other,1
USA,Saprotrophic,1
UZB,Antagonistic/Biocontrol,1
UZB,Unknown/Other,1
VEN,Mutualistic,1
VUT,Unknown/Other,1
WSM,Pathogenic,1
XKX,Pathogenic,1
ZWE,Mycorrhizal,1
[unavailable],Endophytic,1
"a common crop in many countries)""",Antagonistic/Biocontrol,1
"abstract analysis)""",Antagonistic/Biocontrol,1
"abstract analysis)""",Endophytic,1
"abstract does not specify)""",Endophytic,1
"abstract-based analysis)""",Mycorrhizal,1
"abstract-based analysis)""",Pathogenic,1
africa,Antagonistic/Biocontrol,1
africa,Endophytic,1
africa,Unknown/Other,1
africa and middle eastern countries,Pathogenic,1
americas,Antagonistic/Biocontrol,1
americas,Pathogenic,1
americas,Unknown/Other,1
"and the americas)""",Pathogenic,1
andes,Mycorrhizal,1
arabian peninsula,Unknown/Other,1
"as cultivated on the yamuna river bank)""",Endophytic,1
"as mangroves are found in tropical and subtropical regions)""",Endophytic,1
asia,Mycorrhizal,1
asia,Unknown/Other,1
asia and africa,Pathogenic,1
asia and africa,Unknown/Other,1
asian and african countries,Endophytic,1
"assumed as location of mangroves)""",Endophytic,1
"assumed to be in the mediterranean region)""",Endophytic,1
"assumed: wherever a-wh-20-2 was collected)""",Endophytic,1
australasia,Endophytic,1
baltic sea,Endophytic,1
banana-exporting countries,Pathogenic,1
"based on pitch pine distribution)""",Endophytic,1
"but context suggests it's relevant to the mediterranean area)""",Pathogenic,1
"but likely multiple due to mention of various mountain ecosystems)""",Mycorrhizal,1
"but likely tropical)""",Endophytic,1
"but plant is native to asia)""",Endophytic,1
caribbean,Endophytic,1
central and northern europe,Antagonistic/Biocontrol,1
central asia,Mycorrhizal,1
central europe,Endophytic,1
central europe,Unknown/Other,1
circum mediterranean countries,Antagonistic/Biocontrol,1
circum mediterranean countries,Endophytic,1
circum-mediterranean,Antagonistic/Biocontrol,1
cisural region,Endophytic,1
cosmopolitan,Pathogenic,1
cumbria,Mycorrhizal,1
czechia,Mycorrhizal,1
data collected from web of science and pubmed databases,Endophytic,1
earth,Endophytic,1
east africa,Antagonistic/Biocontrol,1
east africa,Pathogenic,1
east asia,Antagonistic/Biocontrol,1
east asia,Endophytic,1
east asia,Unknown/Other,1
eastern africa,Endophytic,1
eastern pre-pyrenees,Pathogenic,1
eleven african countries,Endophytic,1
eurasia,Mutualistic,1
europe and africa,Antagonistic/Biocontrol,1
europe and temperate asia,Endophytic,1
europe and western asia,Pathogenic,1
"europe""",Mycorrhizal,1
"extract from citation or database search)""",Endophytic,1
"extract from citation>""",Pathogenic,1
"extract from reference list if available)""",Pathogenic,1
"extract from source if possible)""",Endophytic,1
"extract from source needed)""",Pathogenic,1
"extract from source)""",Endophytic,1
"extract from source)""",Pathogenic,1
"extract from the journal's website or database)""",Pathogenic,1
"extract from the publication if available)""",Endophytic,1
"extract from the source article if possible)""",Pathogenic,1
"extract from the source if available)""",Endophytic,1
"extract if available)""",Endophytic,1
"extracted from context)""",Endophytic,1
"extracted from the title or database search]""",Pathogenic,1
"extracted text)""",Endophytic,1
"field experiment location)""",Endophytic,1
five regions of rice seed production,Pathogenic,1
foreign countries,Pathogenic,1
"full text may contain country information)""",Endophytic,1
geographically diverse,Mycorrhizal,1
geographically diverse,Pathogenic,1
global,Mutualistic,1
"global)""",Pathogenic,1
iberian peninsula,Mutualistic,1
iberian peninsula,Unknown/Other,1
"indo-pacific """,Endophytic,1
introduced range,Unknown/Other,1
leningrad region,Endophytic,1
"likely in locations where wheat is cultivated)""",Pathogenic,1
"likely where the study was conducted)""",Endophytic,1
local,Endophytic,1
"location is a high-elevation landscape)""",Endophytic,1
"location is a high-elevation landscape)""",Mycorrhizal,1
"ma""",Pathogenic,1
"mangrove study)""",Endophytic,1
many parts of the world,Endophytic,1
many parts of the world,Pathogenic,1
"marine environment)""",Endophytic,1
mediterranean,Endophytic,1
mediterranean basin,Endophytic,1
mediterranean island,Endophytic,1
mediterranean region,Antagonistic/Biocontrol,1
mediterranean sea,Endophytic,1
middle east,Endophytic,1
middle east,Pathogenic,1
middle eastern countries,Endophytic,1
"mo""",Endophytic,1
monoculture areas from indigenous 'mapuche' communities,Pathogenic,1
more than 80 countries where coffee is grown,Pathogenic,1
multiple,Mutualistic,1
multiple countries across sub-saharan africa,Endophytic,1
multiple countries in sub-saharan africa,Pathogenic,1
neolithic and early agricultural sites,Endophytic,1
nine countries across six continents,Unknown/Other,1
"no location specified in text)""",Mutualistic,1
none specified,Pathogenic,1
north and south of the alps,Endophytic,1
north temperate zone,Endophytic,1
northern europe,Endophytic,1
northern fennoscandia,Mycorrhizal,1
northern hemisphere,Pathogenic,1
northwest mediterranean sea,Pathogenic,1
northwestern mediterranean sea,Endophytic,1
not specific,Mycorrhizal,1
not specific,Pathogenic,1
not specifically mentioned,Pathogenic,1
not-mentioned-specifically,Endophytic,1
not-specified,Mutualistic,1
not-specified-in-text,Antagonistic/Biocontrol,1
not-specified-in-text,Endophytic,1
not_mentioned,Mutualistic,1
not_mentioned_specifically_in_text,Endophytic,1
not_specific_in_text,Endophytic,1
not_specific_in_text,Unknown/Other,1
not_specificied_in_text,Antagonistic/Biocontrol,1
notprovided,Antagonistic/Biocontrol,1
notprovided,Mycorrhizal,1
notprovided,Unknown/Other,1
notspecified,Pathogenic,1
nw mediterranean sea,Endophytic,1
occurrences on six continents,Mutualistic,1
pacific northwest,Pathogenic,1
pampa region,Endophytic,1
"please check the original source)""",Endophytic,1
"please check the source)""",Mycorrhizal,1
"please check the source>""",Endophytic,1
"possibly multiple locations)""",Pathogenic,1
"presumed culture isolation)""",Endophytic,1
pyrenees mountains,Endophytic,1
red sea coast,Unknown/Other,1
saskatchewan,Mycorrhizal,1
"silwood park)""",Pathogenic,1
south asia,Endophytic,1
south asia and asia pacific regions,Pathogenic,1
south east asia,Unknown/Other,1
southeast iberian peninsula,Pathogenic,1
southeastern asian countries,Pathogenic,1
southern africa,Endophytic,1
southern baltics,Pathogenic,1
southern cone,Endophytic,1
"study conducted in a salt marsh)""",Endophytic,1
"study conducted in natural forests)""",Pathogenic,1
"study does not specify a particular country)""",Pathogenic,1
"study may be global as it focuses on common bean)""",Endophytic,1
"study was conducted in lake water)""",Unknown/Other,1
"study was not location-specific)""",Endophytic,1
"sub-saharan africa""",Endophytic,1
"subarctic and temperate regions""",Endophytic,1
three production areas,Pathogenic,1
tropical africa,Pathogenic,1
tropical countries,Pathogenic,1
u.s.,Endophytic,1
"uk""",Endophytic,1
"uk""",Pathogenic,1
ussr,Mycorrhizal,1
west asia,Unknown/Other,1
"west nusa tenggara""",Endophytic,1
western and southern europe,Endophytic,1
western world,Unknown/Other,1
wide geographic sampling,Unknown/Other,1
worldwide,Mutualistic,1
worldwide,Mycorrhizal,1
xiong'an new area,Unknown/Other,1
