tissue_token,study_count
endophytic microbiome of hazelnut,1
endophytic tissue,1
endosymbiont,1
endotrophic,1
environmental exposure,1
environmental substrata,1
epibiotic upon the surface of ferns,1
epidermal strips,1
epiphytes,1
epiphytic vine,1
episphere,1
ergot sclerotia,1
erythrocytes,1
explants,1
external fungal structures,1
faeces,1
feces,1
fermentation product,1
fermentation products,1
fern-leaved grevillea tree,1
field conditions,1
figs,1
floral buds,1
floral tissues,1
floret,1
florets stamens,1
forage grasses,1
fungal comb,1
fungal garden,1
fungal tissues,1
gall cortex,1
gall rust tumors,1
gall tissue,1
gallery,1
gastrointestinal tract,1
gel,1
genome,1
genomic dna of calluses,1
genomic sequences,1
germ tube,1
germlings,1
germs,1
gi tract,1
graft union,1
grafting plants,1
grape bunches,1
grape cell,1
grape cells,1
grapes,1
grapevine,1
grapevine associated microbiota,1
grapevine tissues,1
grass above-ground parts,1
grass clump,1
grass herbage,1
grass hosts,1
grass individuals,1
grass litter,1
grass plant,1
grass sheaths,1
grass straw,1
grass stroma,1
grass sward,1
grass tillers,1
grasses of the poaceae subfamily pooideae,1
grassland,1
grazed grass,1
grazed pasture,1
green tissues of the tree,1
green-manure plants,1
growing host tissues,1
growing on agricultural waste substrates,1
gut-associated microbiomes,1
guttation fluid,1
hair,1
harvested onions,1
haustorium,1
heads,1
health tissues of plants,1
healthy,1
healthy citrus plants,1
healthy k angustifolia,1
healthy parts of ginger,1
healthy plant tissue,1
hemolymph,1
herbal medicine,1
hidden microbiomes,1
higher plant tissue,1
honey,1
host apoplast,1
host cuticle,1
host extract,1
host granulomas,1
host growth cycle,1
host organism,1
host plant tissue,1
host plants tissues,1
host substrate,1
host surface,1
hydatid cysts,1
hyphal,1
hyphal cells,1
hypocotyl cuttings,1
hypodermis,1
hypodermis of a pinnule fragment,1
immature inflorescences,1
implicitly plant surface,1
in planta environment,1
in vitro cell suspension cultures,1
in vitro liquid medium,1
in vitro mycelial growth,1
in vitro mycelium,1
indoor air,1
infected grass tissue,1
infected plant hosts,1
infected plant tissue,1
infected scale insect,1
infected tissues of f excelsior,1
infected tissues of weeds,1
infection site,1
inflorescence axis,1
inflorescence tissues,1
ingested conidia within the alimentary tracts,1
ingested through forage,1
inner compartments of the host plant,1
inner cortical cells,1
inner parts of plants,1
inner regions of various plant parts,1
inoculum multiplication,1
inorescences,1
inplant,1
insect cuticle,1
insect honeydew,1
insects body,1
inside part of plants,1
inside plant tissue,1
inter-,1
interaction with grass host,1
intercellular or intracellular host tissues,1
intercellular spaces of host grasses,1
intercellular spaces of host plants,1
intercellular spaces of the plant,1
intercellular tissues,1
interior of crops,1
interior of healthy plants,1
interior of host plants,1
interior of lichen thalli,1
interior of multiple tissues in apparently healthy hosts,1
interior of saxicolous lichens,1
interior of thai pigmented rice cultivars horn nin,1
interior plant environment,1
interior tissue,1
interior walls,1
internal host tissue,1
internal microbiome,1
internal no specific tissue mentioned,1
internal plant tissue,1
internal tissue,1
internal tissue of plants,1
internal tissues of fungi-infected peanuts,1
internal tissues of host plants,1
internal tissues of the host plant,1
intestinal contents,1
intestinal tract,1
intestine,1
intestines,1
intra-cellular,1
intra-plant,1
intra-planta,1
intracellular or intercellular parts of host plants,1
intracellular within fungus,1
intraradical hyphae,1
junction of the mesocotyl,1
juvenile plant,1
kelp detritus,1
knots,1
knots caused by pseudomonas savastanoi pv savastanoi dapp-pg 722 in olive trees,1
konjac tissue,1
larva,1
laticifers,1
leave,1
lesion,1
lesions dissected from imported diseased oranges,1
lesions hard spots,1
lichen body,1
lichen surface,1
lichens,1
limbs,1
liquid medium,1
litter layers l,1
live,1
live polyp tissue,1
live tissues,1
liverwort,1
liverwort tissue,1
living material,1
living parts,1
living phloem,1
living photosynthetic tissue,1
living plants,1
living tillers,1
living tissue,1
living tissues,1
living tissues of different parts of a plant,1
living tissues of host plant,1
living tissues of the host plant,1
living tissues of visually healthy trees,1
log,1
luem pua glutinous rice,1
lungs,1
macroalgal tissue,1
macrophage,1
maize ear,1
maize plants,1
mammary gland,1
mangrove,1
marine algae,1
marine green alga,1
mature pecan nut,1
medicinal plant,1
medicinal plant tissue samples,1
medulla,1
mesocotyl,1
mesophyll,1
midgut,1
midgut lumen,1
miniestacas,1
mitochondria,1
mitochondrial genomes,1
moss layer,1
moss profile,1
moss water layer,1
mosses,1
mound soils,1
multilayered midrib tissue,1
multiple tissues of alfalfa cultivars,1
mycelia grown in culture plates,1
mycelia or fermented liquor,1
mycelial,1
mycelial growth on agar,1
mycelial solid culture,1
mycelial tissue,1
mycetangia of emerging females,1
mycorrhizae,1
mycorrhizal,1
mycorrhizal morphotype hyphal mantle,1
mycorrhizas,1
necrotic tissue pieces from symptomatic pears,1
nematode,1
nematode eggs,1
nest fiber,1
nest material,1
nodal segments,1
nodal segments of adult plants,1
node explants,1
nodes,1
non-embedded tissues,1
non-gall tissues,1
non-treated plant,1
nonstroma bearing tillers,1
normal tissues,1
not applied,1
not directly specified in text,1
not specific,1
not-specified-in-text,1
nuts,1
nymphal stage,1
oil body organelles,1
olive organs,1
on plant surfaces,1
onion plants,1
oral cavity,1
organ tissue,1
outer cortex of the aerial axes,1
ovarial grass,1
ovary,1
ovular nucellus,1
paddy sheath,1
painted surface,1
panicle initiation stage,1
panicles,1
parchment,1
parenchyma,1
pasture forage,1
pasture grass,1
pasture herbage,1
pasture samples,1
pathogenic fungi,1
pda medium,1
peat,1
peduncle,1
peduncles,1
pelotons,1
pericarp,1
periderm,1
periderm cells,1
perithecia,1
perithecia structure studied,1
perithecial stroma,1
phloem sap,1
phloem-feeding aphid,1
photosynthetic,1
photosynthetic tissue,1
pigeon pea,1
pinna,1
pinnae,1
plant accessions,1
plant associated,1
plant biomass,1
plant body,1
plant callus,1
plant cane,1
plant cell wall,1
plant community,1
plant growing in soil,1
plant interiors,1
plant internal tissues,1
plant litter,1
plant materials throughout the growing season,1
plant microbiome,1
plant organ infected,1
plant organs height,1
plant parts affected include those mentioned during growth,1
plant protein extracts,1
plant samples non-specific,1
plant sap,1
plant segments,1
plant structures,1
plant substrate,1
plant substrates in early stages of decay attached to host,1
plant surface,1
plant surfaces,1
plant tissue as a whole,1
plant tissue cultured,1
plant tissue in general,1
plant transcriptome,1
plant whole plant after dipping,1
plant-derived endophytic fungus,1
planting material,1
plants in general,1
plants soil,1
plants were asymptomatic,1
plants without specific tissue mentioned,1
plasma,1
plasma membrane,1
pleural effusion,1
plum yew,1
pneumatophore,1
pneumatophores,1
pod surface,1
podetia,1
pollen mother cells,1
pots,1
powdery mildew,1
production field setting,1
prostrate axes,1
protoplast,1
protoplast lysis,1
proventriculus,1
pst pustules,1
pulp,1
pupae inferred from context,1
rachis,1
ramet,1
ramets,1
rat liver tissue,1
ratoon,1
receptacle,1
regrowth,1
regrowth tissue,1
residues,1
resinous tissues,1
respective host plants,1
retina,1
rhizodermis,1
rhizoid environment,1
rhizoid parenchyma cortex,1
rhizomatous axis,1
rhizoplane soil,1
rice fermentation extract,1
rice fermented,1
rice plant interiors,1
rice sheath,1
rice tissues,1
river filtrates,1
rock surface,1
rumen contents,1
rumen microbiome,1
rust pustules,1
ryegrass silage,1
ryegrass tillers,1
sapling,1
saprophytic,1
savory tissues,1
sawdust,1
scale tissues of the buds,1
scions,1
sclerotia in maize silage,1
scutellum regions,1
secondary cell walls,1
sediment,1
sediments,1
semitendinosus muscle,1
setts,1
silage,1
sinus tissues,1
six plant parts,1
skeleton,1
skoog medium,1
sloth hair,1
snow-covered alpine bare soil,1
soil layers,1
soil microsite,1
soil residue,1
soil surface,1
soil under canopy,1
soil-borne,1
soil-derived debris,1
soil-derived rhizospheric soil,1
solid culture,1
solid state reactor substrate,1
solid substrate fermentation,1
solid-substrate fermentation cultures,1
somatic embryos,1
soybean hulls,1
spermatial stromata,1
spermosphere,1
spicae,1
spike,1
sporocarp,1
sporophytes,1
sputum,1
stalk parenchyma cells,1
stalk tissues,1
sterile conditions on murashige,1
stern,1
stigmas,1
stolons,1
stomach,1
stored sugar beets,1
stump,1
style,1
subcutaneous,1
subcutaneous tissue,1
submerged cultures,1
substrate media,1
subterranean axes,1
sucker wounds,1
sugarcane plants,1
summer-baled hay,1
surface ice,1
surface litter,1
surface of cucumber,1
surface of host,1
surface of humid soils,1
surface of living curtobacterium sp strain er1,1
surface of straw,1
surface tissues,1
suspension cell,1
suspension cell cultures,1
sweet sorghum straw,1
symptomatic plants,1
symptomatic tissue,1
t venezuelana,1
tall fescue,1
tall fescue plant,1
tall fescue plant litter,1
tall fescue tillers,1
tall fescue tissues,1
talos de los gametofitos,1
tea plant,1
teff hay,1
teliospores,1
tepals,1
terminal buds,1
testes,1
testicular,1
thallose liverwort,1
thrips tabaci lindeman,1
thylakoids,1
tiller bases,1
tiller sections,1
tissue culture material,1
tissue of natural l casuarinoides,1
tissue of podocarpus,1
tissue samples,1
tissues of barnyard grass weed,1
tissues of brassicaceae plants,1
tissues of c acuminata,1
tissues of healthy theobroma cacao l,1
tissues of mangrove plant,1
tissues of ryegrass,1
tissues of the plants,1
tomato tissues,1
toxic plant,1
tracheoesophageal voice prosthesis,1
tree injection site,1
tree tissue,1
tree tissues,1
umbel,1
umbilical artery,1
underground living tissues,1
underground parts,1
undetermined as the study focuses on bacteria,1
undisclosed study mentions sporangia production,1
uninfected plants,1
unpolished rice,1
upper,1
urediniospore,1
uterine,1
vagina,1
various organs,1
various organs of asymptomatic weeds,1
various parts of pinellia ternata,1
various parts of s flavescens,1
various parts of the host plant,1
various surface-sterilized tissues,1
various symptoms,1
various tissues of neem tree,1
vascular tissue,1
vasculature,1
vegetables,1
vegetal tissues,1
vegetative,1
vegetative buds,1
vegetative growth,1
vegetative parts,1
vegetative state,1
vegetative tillers,1
venom glands,1
vent,1
water column,1
waxy cuticle superficially,1
wheat bran,1
wheat floral tissue,1
wheat spike,1
wheat spikes,1
wheat tissues,1
whole plant plates,1
whole plant under drought stress,1
whole vegetable,1
wild lavender,1
within living plant cells,1
within plant hosts,1
young inflorescences,1
