"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean","paper_id","interaction_id","fungal_taxon_raw","fungal_taxon_resolved","fungal_taxon_status","fungal_taxon_resolution_method","fungal_taxon_confidence","fungal_taxon_accepted_ids","plant_host_raw","plant_host_resolved","plant_host_status","plant_host_resolution_method","plant_host_confidence","plant_host_accepted_ids","publication_year","filter_reason"
"Relevant","abstract","abstract","0.0","10.1080/10549811.2019.1570467","quercus virginiana (fagaceae)","cantharellales","root","present","mycorrhiza","isolated as ectomycorrhizal symbionts from root of q.virginiana seedlings","forest","CHN","abstract-csv","doi_10.1080_10549811.2019.1570467","Abstract","doi:10.1080/10549811.2019.1570467","int_904d4b7bb4e91723","cantharellales","cantharellales","Resolved","exact_accepted","1.0","1300","quercus virginiana (fagaceae)","quercus virginiana","Resolved","exact_accepted","1.0","2878092","2019.0","guild"
"Relevant","abstract","abstract","0.0","10.1080/10549811.2019.1570467","quercus virginiana (fagaceae)","cantharellales","seed","present","mycorrhiza","isolated as ectomycorrhizal symbionts from root of q.virginiana seedlings","forest","CHN","abstract-csv","doi_10.1080_10549811.2019.1570467","Abstract","doi:10.1080/10549811.2019.1570467","int_904d4b7bb4e91723","cantharellales","cantharellales","Resolved","exact_accepted","1.0","1300","quercus virginiana (fagaceae)","quercus virginiana","Resolved","exact_accepted","1.0","2878092","2019.0","guild"
"Relevant","full-text","full-text","17.0","10.15835/nsb11110397","manihot esculenta crantz","arbuscular mycorrhizal","root","present","mycorrhiza","isolated from root and associated soil samples of cassava varieties in salem and kolli hills","mountain","IND","full-text","doi_10.15835_nsb11110397","Full-Text","doi:10.15835/nsb11110397","int_d1b86b3fcd799c16","arbuscular mycorrhizal","glomeromycota","Resolved","alias_exact_accepted","1.0","18","manihot esculenta crantz","manihot esculenta","Resolved","exact_accepted","1.0","3060998","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","bambusa bambos (l.) voss","glomus","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_109b83f9a8132fb6","glomus","glomus","Resolved","exact_accepted","1.0","2559545","bambusa bambos (l.) voss","bambusa bambos","Resolved","exact_accepted","1.0","2705752","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","bambusa bambos (l.) voss","acaulospora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_c018ac3f9d0bd6b4","acaulospora","acaulospora","Resolved","exact_accepted","1.0","2560108","bambusa bambos (l.) voss","bambusa bambos","Resolved","exact_accepted","1.0","2705752","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","bambusa bambos (l.) voss","gigaspora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_5d106ad17812b489","gigaspora","gigaspora","Resolved","exact_accepted","1.0","2560147","bambusa bambos (l.) voss","bambusa bambos","Resolved","exact_accepted","1.0","2705752","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","bambusa bambos (l.) voss","scutellospora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_d2b95f77d84eb224","scutellospora","scutellospora","Resolved","exact_accepted","1.0","2560156","bambusa bambos (l.) voss","bambusa bambos","Resolved","exact_accepted","1.0","2705752","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","bambusa bambos (l.) voss","entrophospora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_86869717c4141b5c","entrophospora","entrophospora","Resolved","exact_accepted","1.0","8174198","bambusa bambos (l.) voss","bambusa bambos","Resolved","exact_accepted","1.0","2705752","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. tulda roxb.","glomus","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_98d8081c0025688d","glomus","glomus","Resolved","exact_accepted","1.0","2559545","b. tulda roxb.","bambusa tulda","Resolved","abbreviation_context_first","0.75","2705765","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. tulda roxb.","acaulospora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_065ccd1bf0e08355","acaulospora","acaulospora","Resolved","exact_accepted","1.0","2560108","b. tulda roxb.","bambusa tulda","Resolved","abbreviation_context_first","0.75","2705765","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. tulda roxb.","gigaspora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_26aa6e3a23b94407","gigaspora","gigaspora","Resolved","exact_accepted","1.0","2560147","b. tulda roxb.","bambusa tulda","Resolved","abbreviation_context_first","0.75","2705765","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. tulda roxb.","scutellospora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_f959b19a904b00da","scutellospora","scutellospora","Resolved","exact_accepted","1.0","2560156","b. tulda roxb.","bambusa tulda","Resolved","abbreviation_context_first","0.75","2705765","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. tulda roxb.","entrophospora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_3fa1f075343d933d","entrophospora","entrophospora","Resolved","exact_accepted","1.0","8174198","b. tulda roxb.","bambusa tulda","Resolved","abbreviation_context_first","0.75","2705765","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. pallida munro","glomus","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_86028ee791ad36d2","glomus","glomus","Resolved","exact_accepted","1.0","2559545","b. pallida munro","bacidia pallida","Resolved","abbreviation_context_first","0.55","3396754","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. pallida munro","acaulospora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_1491e866f5406f63","acaulospora","acaulospora","Resolved","exact_accepted","1.0","2560108","b. pallida munro","bacidia pallida","Resolved","abbreviation_context_first","0.55","3396754","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. pallida munro","gigaspora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_df405b5010e805e9","gigaspora","gigaspora","Resolved","exact_accepted","1.0","2560147","b. pallida munro","bacidia pallida","Resolved","abbreviation_context_first","0.55","3396754","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. pallida munro","scutellospora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_fd0dde014b8365ce","scutellospora","scutellospora","Resolved","exact_accepted","1.0","2560156","b. pallida munro","bacidia pallida","Resolved","abbreviation_context_first","0.55","3396754","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. pallida munro","entrophospora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_5e9b1b95fe4f37b6","entrophospora","entrophospora","Resolved","exact_accepted","1.0","8174198","b. pallida munro","bacidia pallida","Resolved","abbreviation_context_first","0.55","3396754","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. nutans wall. ex. munro","glomus","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_4518f9c1e95078c8","glomus","glomus","Resolved","exact_accepted","1.0","2559545","b. nutans wall. ex. munro","bambusa nutans","Resolved","abbreviation_context_first","0.55","4141718","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. nutans wall. ex. munro","acaulospora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_e9f1176d2d6abf63","acaulospora","acaulospora","Resolved","exact_accepted","1.0","2560108","b. nutans wall. ex. munro","bambusa nutans","Resolved","abbreviation_context_first","0.55","4141718","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. nutans wall. ex. munro","gigaspora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_74b6ec8f05e1594f","gigaspora","gigaspora","Resolved","exact_accepted","1.0","2560147","b. nutans wall. ex. munro","bambusa nutans","Resolved","abbreviation_context_first","0.55","4141718","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. nutans wall. ex. munro","scutellospora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_8de9be03ff53d807","scutellospora","scutellospora","Resolved","exact_accepted","1.0","2560156","b. nutans wall. ex. munro","bambusa nutans","Resolved","abbreviation_context_first","0.55","4141718","2019.0","guild"
"Relevant","full-text","full-text","8.0","10.15835/nsb11310343","b. nutans wall. ex. munro","entrophospora","root","present","mycorrhiza","mycorrhizal""; arbuscular mycorrhizae (am) colonization; isolated from rhizospheric soil and root samples.","forest","IND","full-text","doi_10.15835_nsb11310343","Full-Text","doi:10.15835/nsb11310343","int_0d0a4ddef59cb4e1","entrophospora","entrophospora","Resolved","exact_accepted","1.0","8174198","b. nutans wall. ex. munro","bambusa nutans","Resolved","abbreviation_context_first","0.55","4141718","2019.0","guild"
"Relevant","abstract","abstract","0.0","10.5846/stxb201710251909","populus (populus spp.)","laccaria bicolor","root","present","mycorrhiza","involved in ectomycorrhizae development and abiotic tolerance mechanisms","forest","","abstract-csv","doi_10.5846_stxb201710251909","Abstract","doi:10.5846/stxb201710251909","int_249516017d60a02d","laccaria bicolor","laccaria bicolor","Resolved","exact_accepted","1.0","2530973","populus (populus spp.)","populus","Resolved","exact_accepted","1.0","3040183","2019.0","guild"
"Relevant","abstract","abstract","0.0","10.3923/ajps.2019.33.45","nephrolepis exaltata","arbuscular mycorrhizal fungi","root","present","mycorrhiza","association observed in root colonization","deccan plateau zone of india","IND","abstract-csv","doi_10.3923_ajps.2019.33.45","Abstract","doi:10.3923/ajps.2019.33.45","int_5989ac78bf2ffa5f","arbuscular mycorrhizal fungi","glomeromycota","Resolved","alias_exact_accepted","1.0","18","nephrolepis exaltata","nephrolepis exaltata","Resolved","exact_accepted","1.0","2650927","2018.0","guild"
"Relevant","abstract","abstract","0.0","10.14720/aas.2019.113.1.16","not specified","","soil","present","mycorrhiza","mycorrhizal""; helps plants to overcome abiotic and biotic stress through growth promotion and induced resistance.","","SVN","abstract-csv","doi_10.14720_aas.2019.113.1.16","Abstract","doi:10.14720/aas.2019.113.1.16","int_5421d3772f590e40","","","Unresolved","none","0.0","","not specified","","Unresolved","none","0.0","","2019.0","guild"
